[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 1] These are also proverbs of Solomon, which the men of Hezekiah king of Judah copied out.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 2] It is the glory of God to conceal a thing: but the honor of kings is to search out a matter.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 3] The heaven for hight, and the earth for depth, and the heart of kings is unsearchable.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 4] Take away the dross from the silver, and there shall come forth a vessel for the finer.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 5] Take away the wicked from before the king, and his throne shall be established in righteousness.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 6] Put not forth thyself in the presence of the king, and stand not in the place of great men :
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 7] For better it is that it be said to thee, Come up hither; than that thou shouldst be put lower in the presence of the prince whom thy eyes have seen.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 8] Go not forth hastily to strive, lest thou know not what to do in the end thereof, when thy neighbor hath put thee to shame.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 9] Debate thy cause with thy neighbor himself ; and reveal not a secret to another:
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 10] Lest he that heareth it put thee to shame, and thy infamy turn not away.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 11] A word fitly spoken is like apples of gold in pictures of silver.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 12] As an ear-ring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 13] As the cold of snow in the time of harvest, so is a faithful messenger to them that send him: for he refresheth the soul of his masters.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 14] Whoever boasteth himself of a false gift is like clouds and wind without rain.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 15] By long forbearing is a prince persuaded, and a soft tongue breaketh the bone.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 16] Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled with it, and vomit it.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 17] Withdraw thy foot from thy neighbor's house; lest he be weary of thee, and so hate thee.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 18] A man that beareth false witness against his neighbor is a maul, and a sword, and a sharp arrow.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 19] Confidence in an unfaithful man in time of trouble is like a broken tooth, and a foot out of joint.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 20] As he that taketh away a garment in cold weather, and as vinegar upon nitre; so is he that singeth songs to a heavy heart.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 21] If thy enemy shall hunger, give him bread to eat; and if he shall thirst, give him water to drink:
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 22] For thou shalt heap coals of fire upon his head, and the LORD will reward thee.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 23] The north wind driveth away rain: so doth an angry countenance a backbiting tongue.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 24] It is better to dwell in a corner of the house-top, than with a brawling woman and in a wide house.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 25] As cold waters to a thirsty soul, so is good news from a far country.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 26] A righteous man falling down before the wicked is as a turbid fountain, and a corrupt spring.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 27] It is not good to eat much honey: so for men to search their own glory is not glory.
[WEBSTER | EN | OT | Proverbs | Chapter 25 | Verse 28] He that hath no rule over his own spirit is like a city that is broken down, and without walls.
