[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 1] The king's heart is in the hand of the LORD, as the rivers of water: he turneth it whithersoever he will.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 2] Every way of a man is right in his own eyes: but the LORD pondereth the hearts.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 3] To do justice and judgment is more acceptable to the LORD than sacrifice.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 4] A high look, and a proud heart, and the plowing of the wicked, is sin.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 5] The thoughts of the diligent tend only to plenteousness; but of every one that is hasty only to want.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 6] The getting of treasures by a lying tongue is a vanity tossed to and fro by them that seek death.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 7] The robbery of the wicked shall destroy them; because they refuse to do judgment.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of man is froward and strange: but as for the pure, his work is right.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 9] It is better to dwell in a corner of the house-top, than with a brawling woman in a wide house.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked desireth evil: his neighbor findeth no favor in his eyes.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 11] When the scorner is punished, the simple is made wise: and when the wise is instructed, he receiveth knowledge.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 12] The righteous man wisely considereth the house of the wicked: but God overthroweth the wicked for their wickedness.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoever stoppeth his ears at the cry of the poor, he also shall cry himself, but shall not be heard.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret pacifieth anger: and a reward in the bosom, strong wrath.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 15] It is joy to the just to do judgment: but destruction shall be to the workers of iniquity.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 16] The man that wandereth out of the way of understanding shall remain in the congregation of the dead.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 17] He that loveth pleasure shall be a poor man: he that loveth wine and oil shall not be rich.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked shall be a ransom for the righteous, and the transgressor for the upright.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 19] It is better to dwell in the wilderness, than with a contentious and an angry woman.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 20] There is a treasure to be desired, and oil in the dwelling of the wise; but a foolish man spendeth it up.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 21] He that followeth after righteousness and mercy findeth life, righteousness, and honor.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man scaleth the city of the mighty, and casteth down the strength of its confidence.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 23] Whoever keepeth his mouth and his tongue keepeth his soul from troubles.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 24] Proud and haughty scorner is his name, who dealeth in proud wrath.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 25] The desire of the slothful killeth him; for his hands refuse to labor.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 26] He coveteth greedily all the day long: but the righteous giveth and spareth not.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is abomination: how much more, when he bringeth it with a wicked mind?
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 28] A false witness shall perish: but the man that heareth speaketh constantly.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardeneth his face: but as for the upright, he directeth his way.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom nor understanding nor counsel against the LORD.
[WEBSTER | EN | OT | Proverbs | Chapter 21 | Verse 31] The horse is prepared against the day of battle: but safety is from the LORD.
