[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if thou art surety for thy friend, if thou hast stricken thy hand with a stranger,
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 2] Thou art snared with the words of thy mouth, thou art taken with the words of thy mouth.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 3] Do this now, my son, and deliver thyself, when thou art come into the hand of thy friend; go, humble thyself, and make sure thy friend.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 4] Give not sleep to thy eyes, nor slumber to thy eyelids.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 5] Deliver thyself as a roe from the hand of the hunter , and as a bird from the hand of the fowler.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 6] Go to the ant, thou sluggard; consider her ways, and be wise:
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 7] Which having no guide, overseer, or ruler,
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 8] Provideth her provisions in the summer, and gathereth her food in the harvest.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 9] How long wilt thou sleep, O sluggard? when wilt thou arise out of thy sleep?
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 10] Yet a little sleep, a little slumber, a little folding of the hands to sleep:
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 11] So shall thy poverty come as one that traveleth, and thy want as an armed man.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 12] A naughty person, a wicked man, walketh with a froward mouth.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 13] He winketh with his eyes, he speaketh with his feet, he teacheth with his fingers;
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 14] Frowardness is in his heart, he deviseth mischief continually; he soweth discord.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore shall his calamity come suddenly; suddenly shall he be broken without remedy.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 16] These six things doth the LORD hate: yes, seven are an abomination to him:
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 17] A proud look, a lying tongue, and hands that shed innocent blood.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 18] A heart that deviseth wicked imaginations, feet that are swift in running to mischief,
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 19] A false witness that speaketh lies, and him that soweth discord among brethren.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, keep thy father's commandment, and forsake not the law of thy mother:
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them continually upon thy heart, and tie them about thy neck.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 22] When thou goest, it shall lead thee; when thou sleepest, it shall keep thee; and when thou awakest, it shall talk with thee.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 23] For the commandment is a lamp; and the law is light; and reproofs of instruction are the way of life:
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 24] To keep thee from the evil woman, from the flattery of the tongue of a strange woman.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 25] Lust not after her beauty in thy heart; neither let her take thee with her eyelids.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 26] For by means of a lewd woman a man is brought to a piece of bread: and the adulteress will hunt for the precious life.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man take fire in his bosom, and his clothes not be burned?
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 28] Can one go upon hot coals, and his feet not be burned?
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 29] So he that goeth in to his neighbor's wife; whoever toucheth her shall not be innocent.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not despise a thief, if he stealeth to satisfy his soul when he is hungry;
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 31] But if he is found, he shall restore seven-fold; he shall give all the substance of his house.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 32] But whoever committeth adultery with a woman lacketh understanding: he that doeth it destroyeth his own soul.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 33] A wound and dishonor shall he get; and his reproach shall not be wiped away.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 34] For jealousy is the rage of a man: therefore he will not spare in the day of vengeance.
[WEBSTER | EN | OT | Proverbs | Chapter 6 | Verse 35] He will not regard any ransom; neither will he rest content, though thou givest many gifts.
