[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 1] A soft answer turneth away wrath: but grievous words stir up anger.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 2] The tongue of the wise useth knowledge aright: but the mouth of fools poureth out foolishness.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 3] The eyes of the LORD are in every place, beholding the evil and the good.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 4] A wholesome tongue is a tree of life: but perverseness in it is a breach in the spirit.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 5] A fool despiseth his father's instruction: but he that regardeth reproof is prudent.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 6] In the house of the righteous is much treasure: but in the revenues of the wicked is trouble.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 7] The lips of the wise diffuse knowledge: but the heart of the foolish doeth not so.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 8] The sacrifice of the wicked is an abomination to the LORD: but the prayer of the upright is his delight.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 9] The way of the wicked is an abomination to the LORD; but he loveth him that followeth after righteousness.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 10] Correction is grievous to him that forsaketh the way: and he that hateth reproof shall die.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 11] Hell and destruction are before the LORD: how much more then the hearts of the children of men?
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 12] A scorner loveth not one that reproveth him: neither will he go to the wise.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 13] A merry heart maketh a cheerful countenance: but by sorrow of the heart the spirit is broken.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 14] The heart of him that hath understanding seeketh knowledge: but the mouth of fools feedeth on foolishness.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 15] All the days of the afflicted are evil: but he that is of a merry heart hath a continual feast.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 16] Better is little with the fear of the LORD, than great treasure and trouble with it.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 17] Better is a dinner of herbs where love is, than a stalled ox and hatred with it.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 18] A wrathful man stirreth up strife: but he that is slow to anger appeaseth strife.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 19] The way of the slothful man is as a hedge of thorns: but the way of the righteous is made plain.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 20] A wise son maketh a glad father: but a foolish man despiseth his mother.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 21] Folly is joy to him that is destitute of wisdom: but a man of understanding walketh uprightly.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 22] Without counsel purposes are disappointed: but in the multitude of counselors they are established.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 23] A man hath joy by the answer of his mouth: and a word spoken in due season, how good it is !
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 24] The way of life is above to the wise, that he may depart from hell beneath.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 25] The LORD will destroy the house of the proud: but he will establish the border of the widow.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 26] The thoughts of the wicked are an abomination to the LORD: but the words of the pure are pleasant words.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 27] He that is greedy of gain troubleth his own house; but he that hateth gifts shall live.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 28] The heart of the righteous studieth to answer: but the mouth of the wicked poureth out evil things.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 29] The LORD is far from the wicked: but he heareth the prayer of the righteous.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 30] The light of the eyes rejoiceth the heart; and a good report maketh the bones fat.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 31] The ear that heareth the reproof of life abideth among the wise.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 32] He that refuseth instruction despiseth his own soul: but he that heareth reproof getteth understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 15 | Verse 33] The fear of the LORD is the instruction of wisdom: and before honor is humility.
