[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 1] My son, keep my words, and lay up my commandments with thee.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 2] Keep my commandments, and live; and my law as the apple of thy eye.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 3] Bind them upon thy fingers, write them upon the table of thy heart.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 4] Say to wisdom, Thou art my sister; and call understanding thy kinswoman:
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 5] That they may keep thee from the strange woman, from the stranger which flattereth with her words.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 6] For at the window of my house I looked through my casement,
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 7] And beheld among the simple ones, I discerned among the youths, a young man void of understanding,
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 8] Passing through the street near her corner; and he went the way to her house.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 9] In the twilight, in the evening, in the black and dark night:
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 10] And behold, there met him a woman with the attire of a harlot, and subtil of heart.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 11] (She is loud and stubborn; her feet abide not in her house:
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 12] Now is she without, now in the streets, and lieth in wait at every corner.)
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 13] So she caught him, and kissed him, and with an impudent face said to him,
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 14] I have peace-offerings with me; this day have I paid my vows.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 15] Therefore I came forth to meet thee, diligently to seek thy face, and I have found thee.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 16] I have decked my bed with coverings of tapestry, with carved works , with fine linen of Egypt.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 17] I have perfumed my bed with myrrh, aloes, and cinnamon.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 18] Come, let us take our fill of love until the morning: let us solace ourselves with loves.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 19] For the good-man is not at home, he is gone a long journey:
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 20] He hath taken a bag of money with him, and will come home at the day appointed.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 21] With her much fair speech she caused him to yield, with the flattering of her lips she impelled him.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 22] He goeth after her quickly, as an ox goeth to the slaughter, or as a fool to the correction of the stocks;
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 23] Till a dart striketh through his liver; as a bird hasteth to the snare, and knoweth not that it is for his life.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 24] Now therefore hearken to me, O ye children, and attend to the words of my mouth.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 25] Let not thy heart decline to her ways, go not astray in her paths.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 26] For she hath cast down many wounded: yes, many strong men have been slain by her.
[WEBSTER | EN | OT | Proverbs | Chapter 7 | Verse 27] Her house is the way to hell, going down to the chambers of death.
