[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 1] As snow in summer, and as rain in harvest; so honor is not seemly for a fool.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 2] As the bird by wandering, as the swallow by flying, so the curse causeless shall not come.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 3] A whip for the horse, a bridle for the ass, and a rod for the fool's back.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 4] Answer not a fool according to his folly, lest thou also be like him.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 5] Answer a fool according to his folly, lest he be wise in his own conceit.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 6] He that sendeth a message by the hand of a fool cutteth off the feet, and drinketh damage.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 7] The legs of the lame are not equal: so is a parable in the mouth of fools.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 8] As he that bindeth a stone in a sling, so is he that giveth honor to a fool.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 9] As a thorn goeth up into the hand of a drunkard, so is a parable in the mouth of fools.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 10] The great God that formed all things both rewardeth the fool, and rewardeth transgressors.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 11] As a dog returneth to his vomit, so a fool returneth to his folly.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 12] Seest thou a man wise in his own conceit? there is more hope of a fool than of him.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 13] The slothful man saith, There is a lion in the way; a lion is in the streets.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 14] As the door turneth upon its hinges, so doth the slothful upon his bed.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 15] The slothful hideth his hand in his bosom; it grieveth him to bring it again to his mouth.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 16] The sluggard is wiser in his own conceit than seven men that can render a reason.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 17] He that passeth by, and meddleth with strife belonging not to him, is like one that taketh a dog by the ears.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 18] As a mad man who casteth fire-brands, arrows, and death,
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 19] So is the man that deceiveth his neighbor, and saith, Am not I in sport?
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 20] Where no wood is, there the fire goeth out: so where there is no tale-bearer, the strife ceaseth.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 21] As coals are to burning coals, and wood to fire; so is a contentious man to kindle strife.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 22] The words of a tale-bearer are as wounds, and they go down into the innermost parts of the belly.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 23] Burning lips and a wicked heart are like a potsherd covered with silver dross.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 24] He that hateth dissembleth with his lips, and layeth up deceit within him;
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 25] When he speaketh fair, believe him not: for there are seven abominations in his heart.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 26] Whose hatred is covered by deceit, his wickedness shall be shown before the whole congregation.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 27] Whoever diggeth a pit shall fall into it: and he that rolleth a stone, it will return upon him.
[WEBSTER | EN | OT | Proverbs | Chapter 26 | Verse 28] A lying tongue hateth those that are afflicted by it; and a flattering mouth worketh ruin.
