[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 1] Hear, ye children, the instruction of a father, and attend to know understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 2] For I give you good doctrine, forsake ye not my law.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 3] For I was my father's son, tender and only beloved in the sight of my mother.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 4] He taught me also, and said to me, Let thy heart retain my words: keep my commandments, and live.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 5] Get wisdom, get understanding: forget it not; neither decline from the words of my mouth.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 6] Forsake her not, and she shall preserve thee: love her, and she shall keep thee.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 7] Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 8] Exalt her, and she shall promote thee: she shall bring thee to honor, when thou dost embrace her.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 9] She shall give to thy head an ornament of grace: a crown of glory shall she deliver to thee.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 10] Hear, O my son, and receive my sayings; and the years of thy life shall be many.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 11] I have taught thee in the way of wisdom; I have led thee in right paths.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 12] When thou goest, thy steps shall not be straitened; and when thou runnest, thou shalt not stumble.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 13] Take fast hold of instruction; let her not go: keep her; for she is thy life.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 14] Enter not into the path of the wicked, and go not in the way of evil men .
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 15] Avoid it, pass not by it, turn from it, and pass away.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 16] For they sleep not, except they have done mischief; and their sleep is taken away, unless they cause some to fall.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 17] For they eat the bread of wickedness, and drink the wine of violence.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 18] But the path of the just is as the shining light, that shineth more and more to the perfect day.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 19] The way of the wicked is as darkness: they know not at what they stumble.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 20] My son, attend to my words; incline thy ear to my sayings.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 21] Let them not depart from thy eyes; keep them in the midst of thy heart.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 22] For they are life to those that find them, and health to all their flesh.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 23] Keep thy heart with all diligence; for out of it are the issues of life.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 24] Put away from thee a froward mouth, and perverse lips put far from thee.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 25] Let thy eyes look right on, and let thy eyelids look straight before thee.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 26] Ponder the path of thy feet, and let all thy ways be established.
[WEBSTER | EN | OT | Proverbs | Chapter 4 | Verse 27] Turn not to the right hand nor to the left: remove thy foot from evil.
