[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 1] He, that being often reproved hardeneth his neck, shall suddenly be destroyed, and that without remedy.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous are in authority, the people rejoice: but when the wicked beareth rule, the people mourn.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 3] He that loveth wisdom rejoiceth his father: but he that keepeth company with harlots spendeth his substance.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 4] The king by judgment establisheth the land: but he that receiveth gifts overthroweth it.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 5] A man that flattereth his neighbor spreadeth a net for his feet.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 6] In the transgression of an evil man there is a snare: but the righteous doth sing and rejoice.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous considereth the cause of the poor: but the wicked regardeth not to know it .
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 8] Scornful men bring a city into a snare: but wise men turn away wrath.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man contendeth with a foolish man, whether he rageth or laugheth, there is no rest.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 10] The blood-thirsty hate the upright: but the just seek his soul.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool uttereth all his mind: but a wise man keepeth it in till afterwards.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 12] If a ruler hearkeneth to lies, all his servants are wicked.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor and the deceitful man meet together: the LORD enlighteneth both their eyes.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 14] The king that faithfully judgeth the poor, his throne shall be established for ever.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 15] The rod and reproof give wisdom: but a child left to himself bringeth his mother to shame.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked are multiplied, transgression increaseth: but the righteous shall see their fall.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 17] Correct thy son, and he shall give thee rest; yes, he shall give delight to thy soul.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people perish: but he that keepeth the law, happy is he.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 19] A servant will not be corrected by words: for though he understandeth, he will not answer.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 20] Seest thou a man that is hasty in his words? there is more hope of a fool than of him.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 21] He that delicately bringeth up his servant from a child shall have him at length become his son.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirreth up strife, and a furious man aboundeth in transgression.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 23] A man's pride shall bring him low: but honor shall uphold the humble in spirit.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 24] Whoever is partner with a thief, hateth his own soul: he heareth cursing, and discloseth it not.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 25] The fear of man bringeth a snare: but he who putteth his trust in the LORD shall be safe.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the ruler's favor; but every man's judgment cometh from the LORD.
[WEBSTER | EN | OT | Proverbs | Chapter 29 | Verse 27] An unjust man is an abomination to the just: and he that is upright in the way is abomination to the wicked.
