[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 1] My son, if thou wilt receive my words, and hide my commandments with thee;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 2] So that thou incline thy ear to wisdom, and apply thy heart to understanding;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 3] Yes, if thou criest after knowledge, and liftest up thy voice for understanding;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 4] If thou seekest her as silver, and searchest for her as for hid treasures;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 5] Then shalt thou understand the fear of the LORD, and find the knowledge of God.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 6] For the LORD giveth wisdom: out of his mouth cometh knowledge and understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 7] He layeth up sound wisdom for the righteous: he is a buckler to them that walk uprightly.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 8] He keepeth the paths of judgment, and preserveth the way of his saints.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 9] Then shalt thou understand righteousness, and judgment, and equity; and every good path.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 10] When wisdom entereth into thy heart, and knowledge is pleasant to thy soul;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 11] Discretion shall preserve thee, understanding shall keep thee:
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 12] To deliver thee from the way of the evil man , from the man that speaketh froward things;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 13] Who leave the paths of uprightness, to walk in the ways of darkness;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 14] Who rejoice to do evil, and delight in the frowardness of the wicked;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 15] Whose ways are crooked, and they froward in their paths:
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 16] To deliver thee from the strange woman, even from the stranger who flattereth with her words;
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 17] Who forsaketh the guide of her youth, and forgetteth the covenant of her God.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 18] For her house inclineth to death, and her paths to the dead.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 19] None that go to her return again, neither do they take hold of the paths of life.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 20] That thou mayest walk in the way of good men , and keep the paths of the righteous.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 21] For the upright shall dwell in the land, and the perfect shall remain in it.
[WEBSTER | EN | OT | Proverbs | Chapter 2 | Verse 22] But the wicked shall be cut off from the earth, and the transgressors shall be rooted out of it.
