[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 1] Better is a dry morsel, and quietness with it, than a house full of sacrifices with strife.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 2] A wise servant shall have rule over a son that causeth shame, and shall have part of the inheritance among the brethren.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 3] The fining-pot is for silver, and the furnace for gold: but the LORD trieth the hearts.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 4] A wicked doer giveth heed to false lips: and a liar giveth ear to a naughty tongue.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 5] He that mocketh the poor reproacheth his Maker; and he that is glad at calamities shall not be unpunished.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 6] Children's children are the crown of old men; and the glory of children is their fathers.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 7] Excellent speech becometh not a fool: much less do lying lips a prince.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 8] A gift is as a precious stone in the eyes of him that hath it: whithersoever it turneth, it prospereth.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 9] He that covereth a transgression seeketh love; but he that repeateth a matter separateth very friends.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 10] A reproof entereth more into a wise man than a hundred stripes into a fool.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 11] An evil man seeketh only rebellion: therefore a cruel messenger shall be sent against him.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 12] Let a bear robbed of her whelps meet a man, rather than a fool in his folly.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 13] Whoever rewardeth evil for good, evil shall not depart from his house.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 14] The beginning of strife is as when one letteth out water: therefore withdraw from contention, before it be meddled with.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 15] He that justifieth the wicked, and he that condemneth the just, even they both are abomination to the LORD.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 16] Why is there a price in the hand of a fool to get wisdom, seeing he hath no heart to it ?
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 17] A friend loveth at all times, and a brother is born for adversity.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 18] A man void of understanding striketh hands, and becometh surety in the presence of his friend.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 19] He loveth transgression that loveth strife: and he that exalteth his gate seeketh destruction.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 20] He that hath a froward heart findeth no good: and he that hath a perverse tongue falleth into mischief.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 21] He that begetteth a fool doeth it to his sorrow: and the father of a fool hath no joy.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 22] A merry heart doeth good like a medicine: but a broken spirit drieth the bones.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 23] A wicked man taketh a gift out of the bosom to pervert the ways of judgment.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 24] Wisdom is before him that hath understanding; but the eyes of a fool are in the ends of the earth.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 25] A foolish son is a grief to his father, and bitterness to her that bore him.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 26] Also to punish the just is not good, nor to strike princes for equity.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 27] He that hath knowledge spareth his words: and a man of understanding is of an excellent spirit.
[WEBSTER | EN | OT | Proverbs | Chapter 17 | Verse 28] Even a fool, when he holdeth his peace, is counted wise: and he that shutteth his lips is esteemed a man of understanding.
