[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my law; but let thy heart keep my commandments;
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 2] For length of days, and long life, and peace, shall they add to thee.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not mercy and truth forsake thee: bind them about thy neck; write them upon the table of thy heart:
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 4] So shalt thou find favor and good understanding in the sight of God and man.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 5] Trust in the LORD with all thy heart; and lean not to thy own understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 6] In all thy ways acknowledge him, and he will direct thy paths.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thy own eyes: fear the LORD, and depart from evil.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 8] It shall be health to thy navel, and marrow to thy bones.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 9] Honor the LORD with thy substance, and with the first-fruits of all thy increase:
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 10] So shall thy barns be filled with plenty, and thy presses shall burst out with new wine.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the chastening of the LORD; neither be weary of his correction:
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 12] For whom the LORD loveth he correcteth; even as a father the son in whom he delighteth.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 13] Happy is the man that findeth wisdom, and the man that getteth understanding.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 14] For the merchandise of it is better than the merchandise of silver, and the gain of it than fine gold.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies: and all the things thou canst desire are not to be compared to her.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand; and in her left hand riches and honor.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, and all her paths are peace.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 19] The LORD by wisdom hath founded the earth; by understanding hath he established the heavens.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the depths are broken up, and the clouds drop down the dew.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let not them depart from thy eyes: keep sound wisdom and discretion:
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 22] So shall they be life to thy soul, and grace to thy neck.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way safely, and thy foot shall not stumble.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 24] When thou liest down, thou shalt not be afraid: but thou shalt lie down, and thy sleep shall be sweet.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 26] For the LORD will be thy confidence, and will keep thy foot from being taken.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from them to whom it is due, when it is in the power of thy hand to do it .
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not to thy neighbor, Go, and come again, and to-morrow I will give; when thou hast it by thee.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbor, seeing he dwelleth securely by thee.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, if he hath done thee no harm.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy thou not the oppressor, and choose none of his ways.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 32] For the froward is abomination to the LORD: but his secret is with the righteous.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of the LORD is in the house of the wicked: but he blesseth the habitation of the just.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 34] Surely he scorneth the scorners: but he giveth grace to the lowly.
[WEBSTER | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit glory: but shame shall be the promotion of fools.
