[WEB | EN | OT | Isaiah | Chapter 3 | Verse 1] For, behold, the Lord, GOD of Armies, takes away from Jerusalem and from Judah supply and support, the whole supply of bread, and the whole supply of water;
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 2] the mighty man, the man of war, the judge, the prophet, the diviner, the elder,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 3] the captain of fifty, the honorable man, the counselor, the skilled craftsman, and the clever enchanter.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 4] I will give boys to be their princes, and children shall rule over them.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 5] The people will be oppressed, everyone by another, and everyone by his neighbor. The child will behave himself proudly against the old man, and the wicked against the honorable.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 6] Indeed a man shall take hold of his brother in the house of his father, saying, “You have clothing, you be our ruler, and let this ruin be under your hand.”
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 7] In that day he will cry out, saying, “I will not be a healer; for in my house is neither bread nor clothing. You shall not make me ruler of the people.”
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 8] For Jerusalem is ruined, and Judah is fallen; because their tongue and their doings are against the LORD, to provoke the eyes of his glory.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 9] The look of their faces testify against them. They parade their sin like Sodom. They don’t hide it. Woe to their soul! For they have brought disaster upon themselves.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 10] Tell the righteous that it will be well with them, for they will eat the fruit of their deeds.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 11] Woe to the wicked! Disaster is upon them, for the deeds of their hands will be paid back to them.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 12] As for my people, children are their oppressors, and women rule over them. My people, those who lead you cause you to err, and destroy the way of your paths.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 13] The LORD stands up to contend, and stands to judge the peoples.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 14] The LORD will enter into judgment with the elders of his people and their leaders: “It is you who have eaten up the vineyard. The plunder of the poor is in your houses.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 15] What do you mean that you crush my people, and grind the face of the poor?” says the Lord, GOD of Armies.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 16] Moreover the LORD said, “Because the daughters of Zion are arrogant, and walk with outstretched necks and flirting eyes, walking daintily as they go, jingling ornaments on their feet;
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 17] therefore the Lord brings sores on the crown of the head of the women of Zion, and the LORD will make their scalps bald.”
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 18] In that day the Lord will take away the beauty of their anklets, the headbands, the crescent necklaces,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 19] the earrings, the bracelets, the veils,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 20] the headdresses, the ankle chains, the sashes, the perfume containers, the charms,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 21] the signet rings, the nose rings,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 22] the fine robes, the capes, the cloaks, the purses,
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 23] the hand mirrors, the fine linen garments, the tiaras, and the shawls.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 24] It shall happen that instead of sweet spices, there shall be rottenness; instead of a belt, a rope; instead of well set hair, baldness; instead of a robe, a wearing of sackcloth; and branding instead of beauty.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 25] Your men shall fall by the sword, and your mighty in the war.
[WEB | EN | OT | Isaiah | Chapter 3 | Verse 26] Her gates shall lament and mourn. She shall be desolate and sit on the ground.
