[WEB | EN | OT | Isaiah | Chapter 32 | Verse 1] Behold, a king shall reign in righteousness, and princes shall rule in justice.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 2] A man shall be as a hiding place from the wind, and a covert from the storm, as streams of water in a dry place, as the shade of a large rock in a weary land.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 3] The eyes of those who see will not be dim, and the ears of those who hear will listen.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 4] The heart of the rash will understand knowledge, and the tongue of the stammerers will be ready to speak plainly.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 5] The fool will no longer be called noble, nor the scoundrel be highly respected.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 6] For the fool will speak folly, and his heart will work iniquity, to practice profanity, and to utter error against the LORD, to make empty the soul of the hungry, and to cause the drink of the thirsty to fail.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 7] The ways of the scoundrel are evil. He devises wicked plans to destroy the humble with lying words, even when the needy speaks right.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 8] But the noble devises noble things, and he will continue in noble things.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 9] Rise up, you women who are at ease! Hear my voice! You careless daughters, give ear to my speech!
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 10] For days beyond a year you will be troubled, you careless women; for the vintage will fail. The harvest won’t come.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 11] Tremble, you women who are at ease! Be troubled, you careless ones! Strip yourselves, make yourselves naked, and put sackcloth on your waist.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 12] Beat your breasts for the pleasant fields, for the fruitful vine.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 13] Thorns and briers will come up on my people’s land; yes, on all the houses of joy in the joyous city.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 14] For the palace will be forsaken. The populous city will be deserted. The hill and the watchtower will be for dens forever, a delight for wild donkeys, a pasture of flocks,
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 15] until the Spirit is poured on us from on high, and the wilderness becomes a fruitful field, and the fruitful field is considered a forest.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 16] Then justice will dwell in the wilderness; and righteousness will remain in the fruitful field.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 17] The work of righteousness will be peace, and the effect of righteousness, quietness and confidence forever.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 18] My people will live in a peaceful habitation, in safe dwellings, and in quiet resting places,
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 19] though hail flattens the forest, and the city is leveled completely.
[WEB | EN | OT | Isaiah | Chapter 32 | Verse 20] Blessed are you who sow beside all waters, who send out the feet of the ox and the donkey.
