[WEB | EN | OT | Isaiah | Chapter 19 | Verse 1] The burden of Egypt. “Behold, the LORD rides on a swift cloud, and comes to Egypt. The idols of Egypt will tremble at his presence; and the heart of Egypt will melt within it.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 2] I will stir up the Egyptians against the Egyptians, and they will fight everyone against his brother, and everyone against his neighbor; city against city, and kingdom against kingdom.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 3] The spirit of the Egyptians will fail within them. I will destroy their counsel. They will seek the idols, the charmers, those who have familiar spirits, and the wizards.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 4] I will give over the Egyptians into the hand of a cruel lord. A fierce king will rule over them,” says the Lord, GOD of Armies.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 5] The waters will fail from the sea, and the river will be wasted and become dry.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 6] The rivers will become foul. The streams of Egypt will be diminished and dried up. The reeds and flags will wither away.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 7] The meadows by the Nile, by the brink of the Nile, and all the sown fields of the Nile, will become dry, be driven away, and be no more.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 8] The fishermen will lament, and all those who fish in the Nile will mourn, and those who spread nets on the waters will languish.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 9] Moreover those who work in combed flax, and those who weave white cloth, will be confounded.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 10] The pillars will be broken in pieces. All those who work for hire will be grieved in soul.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 11] The princes of Zoan are utterly foolish. The counsel of the wisest counselors of Pharaoh has become stupid. How do you say to Pharaoh, “I am the son of the wise, the son of ancient kings”?
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 12] Where then are your wise men? Let them tell you now; and let them know what the LORD of Armies has purposed concerning Egypt.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 13] The princes of Zoan have become fools. The princes of Memphis are deceived. They have caused Egypt to go astray, those who are the cornerstone of her tribes.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 14] The LORD has mixed a spirit of perverseness in the middle of her; and they have caused Egypt to go astray in all of its works, like a drunken man staggers in his vomit.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 15] Neither shall there be any work for Egypt, which head or tail, palm branch or rush, may do.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 16] In that day the Egyptians will be like women. They will tremble and fear because of the shaking of the LORD of Armies’s hand, which he shakes over them.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 17] The land of Judah will become a terror to Egypt. Everyone to whom mention is made of it will be afraid, because of the plans of the LORD of Armies, which he determines against it.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 18] In that day, there will be five cities in the land of Egypt that speak the language of Canaan, and swear to the LORD of Armies. One will be called “The city of destruction.”
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 19] In that day, there will be an altar to the LORD in the middle of the land of Egypt, and a pillar to the LORD at its border.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 20] It will be for a sign and for a witness to the LORD of Armies in the land of Egypt; for they will cry to the LORD because of oppressors, and he will send them a savior and a defender, and he will deliver them.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 21] The LORD will be known to Egypt, and the Egyptians will know the LORD in that day. Yes, they will worship with sacrifice and offering, and will vow a vow to the LORD, and will perform it.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 22] The LORD will strike Egypt, striking and healing. They will return to the LORD, and he will be entreated by them, and will heal them.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 23] In that day there will be a highway out of Egypt to Assyria, and the Assyrian shall come into Egypt, and the Egyptian into Assyria; and the Egyptians will worship with the Assyrians.
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 24] In that day, Israel will be the third with Egypt and with Assyria, a blessing within the earth;
[WEB | EN | OT | Isaiah | Chapter 19 | Verse 25] because the LORD of Armies has blessed them, saying, “Blessed be Egypt my people, Assyria the work of my hands, and Israel my inheritance.”
