[WEB | EN | OT | Isaiah | Chapter 54 | Verse 1] “Sing, barren, you who didn’t give birth! Break out into singing, and cry aloud, you who didn’t travail with child! For more are the children of the desolate than the children of the married wife,” says the LORD.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 2] “Enlarge the place of your tent, and let them stretch out the curtains of your habitations; don’t spare; lengthen your cords, and strengthen your stakes.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 3] For you will spread out on the right hand and on the left; and your offspring will possess the nations and settle in desolate cities.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 4] “Don’t be afraid, for you will not be ashamed. Don’t be confounded, for you will not be disappointed. For you will forget the shame of your youth. You will remember the reproach of your widowhood no more.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 5] For your Maker is your husband; the LORD of Armies is his name. The Holy One of Israel is your Redeemer. He will be called the God of the whole earth.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 6] For the LORD has called you as a wife forsaken and grieved in spirit, even a wife of youth, when she is cast off,” says your God.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 7] “For a small moment I have forsaken you, but I will gather you with great mercies.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 8] In overflowing wrath I hid my face from you for a moment, but with everlasting loving kindness I will have mercy on you,” says the LORD your Redeemer.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 9] “For this is like the waters of Noah to me; for as I have sworn that the waters of Noah will no more go over the earth, so I have sworn that I will not be angry with you, nor rebuke you.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 10] For the mountains may depart, and the hills be removed, but my loving kindness will not depart from you, and my covenant of peace will not be removed,” says the LORD who has mercy on you.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 11] “You afflicted, tossed with storms, and not comforted, behold, I will set your stones in beautiful colors, and lay your foundations with sapphires.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 12] I will make your pinnacles of rubies, your gates of sparkling jewels, and all your walls of precious stones.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 13] All your children will be taught by the LORD, and your children’s peace will be great.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 14] You will be established in righteousness. You will be far from oppression, for you will not be afraid, and far from terror, for it shall not come near you.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 15] Behold, they may gather together, but not by me. Whoever gathers together against you will fall because of you.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 16] “Behold, I have created the blacksmith who fans the coals into flame, and forges a weapon for his work; and I have created the destroyer to destroy.
[WEB | EN | OT | Isaiah | Chapter 54 | Verse 17] No weapon that is formed against you will prevail; and you will condemn every tongue that rises against you in judgment. This is the heritage of the LORD’s servants, and their righteousness is of me,” says the LORD.
