[WEB | EN | OT | Isaiah | Chapter 22 | Verse 1] The burden of the valley of vision. What ails you now, that you have all gone up to the housetops?
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 2] You that are full of shouting, a tumultuous city, a joyous town, your slain are not slain with the sword, neither are they dead in battle.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 3] All your rulers fled away together. They were bound by the archers. All who were found by you were bound together. They fled far away.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 4] Therefore I said, “Look away from me. I will weep bitterly. Don’t labor to comfort me for the destruction of the daughter of my people.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 5] For it is a day of confusion, and of treading down, and of perplexity from the Lord, GOD of Armies, in the valley of vision, a breaking down of the walls, and a crying to the mountains.”
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 6] Elam carried his quiver, with chariots of men and horsemen; and Kir uncovered the shield.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 7] Your choicest valleys were full of chariots, and the horsemen set themselves in array at the gate.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 8] He took away the covering of Judah; and you looked in that day to the armor in the house of the forest.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 9] You saw the breaches of David’s city, that they were many; and you gathered together the waters of the lower pool.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 10] You counted the houses of Jerusalem, and you broke down the houses to fortify the wall.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 11] You also made a reservoir between the two walls for the water of the old pool. But you didn’t look to him who had done this, neither did you have respect for him who planned it long ago.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 12] In that day, the Lord, GOD of Armies, called to weeping, to mourning, to baldness, and to dressing in sackcloth;
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 13] and behold, there is joy and gladness, killing cattle and killing sheep, eating meat and drinking wine: “Let’s eat and drink, for tomorrow we will die.”
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 14] The LORD of Armies revealed himself in my ears, “Surely this iniquity will not be forgiven you until you die,” says the Lord, GOD of Armies.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 15] The Lord, GOD of Armies says, “Go, get yourself to this treasurer, even to Shebna, who is over the house, and say,
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 16] ‘What are you doing here? Who has you here, that you have dug out a tomb here?’ Cutting himself out a tomb on high, chiseling a habitation for himself in the rock!”
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 17] Behold, the LORD will overcome you and hurl you away violently. Yes, he will grasp you firmly.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 18] He will surely wind you around and around, and throw you like a ball into a large country. There you will die, and there the chariots of your glory will be, you disgrace of your lord’s house.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 19] I will thrust you from your office. You will be pulled down from your station.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 20] It will happen in that day that I will call my servant Eliakim the son of Hilkiah,
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 21] and I will clothe him with your robe, and strengthen him with your belt. I will commit your government into his hand; and he will be a father to the inhabitants of Jerusalem, and to the house of Judah.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 22] I will lay the key of David’s house on his shoulder. He will open, and no one will shut. He will shut, and no one will open.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 23] I will fasten him like a nail in a sure place. He will be for a throne of glory to his father’s house.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 24] They will hang on him all the glory of his father’s house, the offspring and the issue, every small vessel, from the cups even to all the pitchers.
[WEB | EN | OT | Isaiah | Chapter 22 | Verse 25] “In that day,” says the LORD of Armies, “the nail that was fastened in a sure place will give way. It will be cut down and fall. The burden that was on it will be cut off, for the LORD has spoken it.”
