[WEB | EN | OT | Isaiah | Chapter 1 | Verse 1] The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 2] Hear, heavens, and listen, earth; for the LORD has spoken: “I have nourished and brought up children and they have rebelled against me.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 3] The ox knows his owner, and the donkey his master’s crib; but Israel doesn’t know. My people don’t consider.”
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 4] Ah sinful nation, a people loaded with iniquity, offspring of evildoers, children who deal corruptly! They have forsaken the LORD. They have despised the Holy One of Israel. They are estranged and backward.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 5] Why should you be beaten more, that you revolt more and more? The whole head is sick, and the whole heart faint.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 6] From the sole of the foot even to the head there is no soundness in it, but wounds, welts, and open sores. They haven’t been closed, bandaged, or soothed with oil.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 7] Your country is desolate. Your cities are burned with fire. Strangers devour your land in your presence and it is desolate, as overthrown by strangers.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 8] The daughter of Zion is left like a shelter in a vineyard, like a hut in a field of melons, like a besieged city.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 9] Unless the LORD of Armies had left to us a very small remnant, we would have been as Sodom. We would have been like Gomorrah.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 10] Hear the LORD’s word, you rulers of Sodom! Listen to the law of our God, you people of Gomorrah!
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 11] “What are the multitude of your sacrifices to me?”, says the LORD. “I have had enough of the burnt offerings of rams and the fat of fed animals. I don’t delight in the blood of bulls, or of lambs, or of male goats.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 12] When you come to appear before me, who has required this at your hand, to trample my courts?
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 13] Bring no more vain offerings. Incense is an abomination to me. New moons, Sabbaths, and convocations— I can’t stand evil assemblies.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 14] My soul hates your New Moons and your appointed feasts. They are a burden to me. I am weary of bearing them.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 15] When you spread out your hands, I will hide my eyes from you. Yes, when you make many prayers, I will not hear. Your hands are full of blood.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 16] Wash yourselves. Make yourself clean. Put away the evil of your doings from before my eyes. Cease to do evil.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 17] Learn to do well. Seek justice. Relieve the oppressed. Defend the fatherless. Plead for the widow.”
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 18] “Come now, and let’s reason together,” says the LORD: “Though your sins are as scarlet, they shall be as white as snow. Though they are red like crimson, they shall be as wool.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 19] If you are willing and obedient, you will eat the good of the land;
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 20] but if you refuse and rebel, you will be devoured with the sword; for the LORD’s mouth has spoken it.”
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 21] How the faithful city has become a prostitute! She was full of justice. Righteousness lodged in her, but now there are murderers.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 22] Your silver has become dross, your wine mixed with water.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 23] Your princes are rebellious and companions of thieves. Everyone loves bribes and follows after rewards. They don’t defend the fatherless, neither does the cause of the widow come to them.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 24] Therefore the Lord, GOD of Armies, the Mighty One of Israel, says: “Ah, I will get relief from my adversaries, and avenge myself on my enemies.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 25] I will turn my hand on you, thoroughly purge away your dross, and will take away all your tin.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 26] I will restore your judges as at the first, and your counselors as at the beginning. Afterward you shall be called ‘The city of righteousness, a faithful town.’
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 27] Zion shall be redeemed with justice, and her converts with righteousness.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 28] But the destruction of transgressors and sinners shall be together, and those who forsake the LORD shall be consumed.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 29] For they shall be ashamed of the oaks which you have desired, and you shall be confounded for the gardens that you have chosen.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 30] For you shall be as an oak whose leaf fades, and as a garden that has no water.
[WEB | EN | OT | Isaiah | Chapter 1 | Verse 31] The strong will be like tinder, and his work like a spark. They will both burn together, and no one will quench them.”
