[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 1] Παρῆσαν δέ τινες ἐν αὐτῷ τῷ καιρῷ ἀπαγγέλλοντες αὐτῷ περὶ τῶν Γαλιλαίων, ὧν τὸ αἷμα Πιλάτος ἔμιξε μετὰ τῶν θυσιῶν αὐτῶν.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 2] Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπεν αὐτοῖς, Δοκεῖτε ὅτι οἱ Γαλιλαῖοι οὗτοι ἁμαρτωλοὶ παρὰ πάντας τοὺς Γαλιλαίους ἐγένοντο, ὅτι τοιαῦτα πεπόνθασιν;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 3] Οὐχί, λέγω ὑμῖν· ἀλλ᾿ ἐὰν μὴ μετανοῆτε, πάντες ὡσαύτως ἀπολεῖσθε.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 4] Ἢ ἐκεῖνοι οἱ δέκα καὶ ὀκτώ, ἐφ᾿ οὓς ἔπεσεν ὁ πύργος ἐν τῷ Σιλωὰμ καὶ ἀπέκτεινεν αὐτούς, δοκεῖτε ὅτι οὗτοι ὀφειλέται ἐγένοντο παρὰ πάντας ἀνθρώπους τοὺς κατοικοῦντας ἐν Ἱερουσαλήμ;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 5] Οὐχί, λέγω ὑμῖν· ἀλλ᾿ ἐὰν μὴ μετανοῆτε, πάντες ὁμοίως ἀπολεῖσθε.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 6] Ἔλεγε δὲ ταύτην τὴν παραβολήν· Συκῆν εἶχέ τις ἐν τῷ ἀμπελῶνι αὐτοῦ πεφυτευμένην· καὶ ἦλθε καρπὸν ζητῶν ἐν αὐτῇ, καὶ οὐχ εὗρεν.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 7] Εἶπε δὲ πρὸς τὸν ἀμπελουργόν, Ἰδού, τρία ἔτη ἔρχομαι ζητῶν καρπὸν ἐν τῇ συκῇ ταύτῃ, καὶ οὐχ εὑρίσκω· ἔκκοψον αὐτήν· ἵνα τί καὶ τὴν γῆν καταργεῖ;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 8] Ὁ δὲ ἀποκριθεὶς λέγει αὐτῷ, Κύριε, ἄφες αὐτὴν καὶ τοῦτο τὸ ἔτος, ἕως ὅτου σκάψω περὶ αὐτήν, καὶ βάλω + 13:8 κοπρίαν ¦ κοπρία ELZ κοπρίαν·
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 9] κἂν μὲν ποιήσῃ καρπόν· εἰ δὲ μήγε, εἰς τὸ μέλλον ἐκκόψεις αὐτήν.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 10] Ἦν δὲ διδάσκων ἐν μιᾷ τῶν συναγωγῶν ἐν τοῖς σάββασι·
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 11] καὶ ἰδού, γυνὴ ἦν πνεῦμα ἔχουσα ἀσθενείας ἔτη δέκα καὶ ὀκτώ, καὶ ἦν συγκύπτουσα, καὶ μὴ δυναμένη ἀνακύψαι εἰς τὸ παντελές.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 12] Ἰδὼν δὲ αὐτὴν ὁ Ἰησοῦς προσεφώνησε, καὶ εἶπεν αὐτῇ, Γύναι, ἀπολέλυσαι τῆς ἀσθενείας σου.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 13] Καὶ ἐπέθηκεν αὐτῇ τὰς χεῖρας· καὶ παραχρῆμα ἀνωρθώθη, καὶ ἐδόξαζε τὸν Θεόν.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 14] Ἀποκριθεὶς δὲ ὁ ἀρχισυνάγωγος, ἀγανακτῶν ὅτι τῷ σαββάτῳ ἐθεράπευσεν ὁ Ἰησοῦς, ἔλεγε τῷ ὄχλῳ, Ἓξ ἡμέραι εἰσὶν ἐν αἷς δεῖ ἐργάζεσθαι· ἐν ταύταις οὖν ἐρχόμενοι θεραπεύεσθε, καὶ μὴ τῇ ἡμέρᾳ τοῦ σαββάτου.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 15] Ἀπεκρίθη οὖν αὐτῷ ὁ Κύριος, καὶ εἶπεν, Ὑποκριτά, ἕκαστος ὑμῶν τῷ σαββάτῳ οὐ λύει τὸν βοῦν αὐτοῦ ἢ τὸν ὄνον ἀπὸ τῆς φάτνης, καὶ ἀπαγαγὼν ποτίζει;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 16] Ταύτην δέ, θυγατέρα Ἀβραὰμ οὖσαν, ἣν ἔδησεν ὁ Σατανᾶς, ἰδού, δέκα καὶ ὀκτὼ ἔτη, οὐκ ἔδει λυθῆναι ἀπὸ τοῦ δεσμοῦ τούτου τῇ ἡμέρᾳ τοῦ σαββάτου;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 17] Καὶ ταῦτα λέγοντος αὐτοῦ, κατῃσχύνοντο πάντες οἱ ἀντικείμενοι αὐτῷ· καὶ πᾶς ὁ ὄχλος ἔχαιρεν ἐπὶ πᾶσι τοῖς ἐνδόξοις τοῖς γινομένοις ὑπ᾿ αὐτοῦ.
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 18] Ἔλεγε δέ, Τίνι ὁμοία ἐστὶν ἡ βασιλεία τοῦ Θεοῦ; Καὶ τίνι ὁμοιώσω αὐτήν;
[GRCGTR | EL | NT | Luke | Chapter 13 | Verse 19] Ὁμοία ἐστὶ κόκκῳ σινάπεως, + 13:19 ὃν ¦ ὃ ELZ ὃν λαβὼν ἄνθρωπος ἔβαλεν εἰς κῆπον ἑαυτοῦ· καὶ ηὔξησε, καὶ ἐγένετο εἰς δένδρον μέγα, καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατεσκήνωσεν ἐν τοῖς κλάδοις αὐτοῦ.
