[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 1] Καὶ ἐγένετο ἐν τῷ καθεξῆς, καὶ αὐτὸς διώδευε κατὰ πόλιν καὶ κώμην, κηρύσσων καὶ εὐαγγελιζόμενος τὴν βασιλείαν τοῦ Θεοῦ· καὶ οἱ δώδεκα σὺν αὐτῷ,
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 2] καὶ γυναῖκές τινες αἳ ἦσαν τεθεραπευμέναι ἀπὸ πνευμάτων πονηρῶν καὶ ἀσθενειῶν, Μαρία ἡ καλουμένη Μαγδαληνή, ἀφ᾿ ἧς δαιμόνια ἑπτὰ ἐξεληλύθει,
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 3] καὶ Ἰωάννα γυνὴ Χουζᾶ ἐπιτρόπου Ἡρῴδου, καὶ Σουσάννα, καὶ ἕτεραι πολλαί, αἵτινες διηκόνουν αὐτῷ ἀπὸ τῶν ὑπαρχόντων αὐταῖς.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 4] Συνιόντος δὲ ὄχλου πολλοῦ, καὶ τῶν κατὰ πόλιν ἐπιπορευομένων πρὸς αὐτόν, εἶπε διὰ παραβολῆς,
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 5] Ἐξῆλθεν ὁ σπείρων τοῦ σπεῖραι τὸν σπόρον αὐτοῦ. Καὶ ἐν τῷ σπείρειν αὐτόν, ὃ μὲν ἔπεσε παρὰ τὴν ὁδόν, καὶ κατεπατήθη, καὶ τὰ πετεινὰ τοῦ οὐρανοῦ κατέφαγεν αὐτό.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 6] Καὶ ἕτερον ἔπεσεν ἐπὶ τὴν πέτραν, καὶ φυὲν ἐξηράνθη, διὰ τὸ μὴ ἔχειν ἰκμάδα.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 7] Καὶ ἕτερον ἔπεσεν ἐν μέσῳ τῶν ἀκανθῶν, καὶ συμφυεῖσαι αἱ ἄκανθαι ἀπέπνιξαν αὐτό.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 8] Καὶ ἕτερον ἔπεσεν ἐπὶ τὴν γῆν τὴν ἀγαθήν, καὶ φυὲν ἐποίησε καρπὸν ἑκατονταπλασίονα. Ταῦτα λέγων ἐφώνει, Ὁ ἔχων ὦτα ἀκούειν ἀκουέτω.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 9] Ἐπηρώτων δὲ αὐτὸν οἱ μαθηταὶ αὐτοῦ, λέγοντες, Τίς εἴη ἡ παραβολὴ αὕτη;
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 10] Ὁ δὲ εἶπεν, Ὑμῖν δέδοται γνῶναι τὰ μυστήρια τῆς βασιλείας τοῦ Θεοῦ· τοῖς δὲ λοιποῖς ἐν παραβολαῖς, ἵνα βλέποντες μὴ βλέπωσι, καὶ ἀκούοντες μὴ συνιῶσιν.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 11] Ἔστι δὲ αὕτη ἡ παραβολή· Ὁ σπόρος ἐστὶν ὁ λόγος τοῦ Θεοῦ.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 12] Οἱ δὲ παρὰ τὴν ὁδὸν εἰσὶν οἱ ἀκούοντες, εἶτα ἔρχεται ὁ διάβολος καὶ αἴρει τὸν λόγον ἀπὸ τῆς καρδίας αὐτῶν, ἵνα μὴ πιστεύσαντες σωθῶσιν.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 13] Οἱ δὲ ἐπὶ τῆς πέτρας οἵ, ὅταν ἀκούσωσι, μετὰ χαρᾶς δέχονται τὸν λόγον, καὶ οὗτοι ῥίζαν οὐκ ἔχουσιν, οἳ πρὸς καιρὸν πιστεύουσι, καὶ ἐν καιρῷ πειρασμοῦ ἀφίστανται.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 14] Τὸ δὲ εἰς τὰς ἀκάνθας πεσόν, οὗτοί εἰσιν οἱ ἀκούσαντες, καὶ ὑπὸ μεριμνῶν καὶ πλούτου καὶ ἡδονῶν τοῦ βίου πορευόμενοι συμπνίγονται, καὶ οὐ τελεσφοροῦσι.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 15] Τὸ δὲ ἐν τῇ καλῇ γῇ, οὗτοί εἰσιν οἵτινες ἐν καρδίᾳ καλῇ καὶ ἀγαθῇ, ἀκούσαντες τὸν λόγον κατέχουσι, καὶ καρποφοροῦσιν ἐν ὑπομονῇ.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 16] Οὐδεὶς δὲ λύχνον ἅψας καλύπτει αὐτὸν σκεύει, ἢ ὑποκάτω κλίνης τίθησιν, ἀλλ᾿ ἐπὶ λυχνίας ἐπιτίθησιν, ἵνα οἱ εἰσπορευόμενοι βλέπωσι τὸ φῶς.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 17] Οὐ γάρ ἐστι κρυπτόν, ὃ οὐ φανερὸν γενήσεται· οὐδὲ ἀπόκρυφον, ὃ οὐ γνωσθήσεται καὶ εἰς φανερὸν ἔλθῃ.
[GRCGTR | EL | NT | Luke | Chapter 8 | Verse 18] Βλέπετε οὖν πῶς ἀκούετε· ὃς γὰρ ἂν ἔχῃ, δοθήσεται αὐτῷ· καὶ ὃς ἂν μὴ ἔχῃ, καὶ ὃ δοκεῖ ἔχειν ἀρθήσεται ἀπ᾿ αὐτοῦ.
