[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 1] Καὶ ἐγένετο ἐν τῷ ἐλθεῖν αὐτὸν εἰς οἶκόν τινος τῶν ἀρχόντων τῶν Φαρισαίων σαββάτῳ φαγεῖν ἄρτον, καὶ αὐτοὶ ἦσαν παρατηρούμενοι αὐτόν.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 2] Καὶ ἰδού, ἄνθρωπός τις ἦν ὑδρωπικὸς ἔμπροσθεν αὐτοῦ.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 3] Καὶ ἀποκριθεὶς ὁ Ἰησοῦς εἶπε πρὸς τοὺς νομικοὺς καὶ Φαρισαίους, λέγων, Εἰ ἔξεστι τῷ σαββάτῳ θεραπεύειν;
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 4] Οἱ δὲ ἡσύχασαν. Καὶ ἐπιλαβόμενος ἰάσατο αὐτόν, καὶ ἀπέλυσε.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 5] Καὶ ἀποκριθεὶς πρὸς αὐτοὺς εἶπε, Τίνος ὑμῶν ὄνος ἢ βοῦς εἰς φρέαρ ἐμπεσεῖται, καὶ οὐκ εὐθέως ἀνασπάσει αὐτὸν ἐν τῇ ἡμέρᾳ τοῦ σαββάτου;
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 6] Καὶ οὐκ ἴσχυσαν ἀνταποκριθῆναι αὐτῷ πρὸς ταῦτα.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 7] Ἔλεγε δὲ πρὸς τοὺς κεκλημένους παραβολήν, ἐπέχων πῶς τὰς πρωτοκλισίας ἐξελέγοντο, λέγων πρὸς αὐτούς,
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 8] Ὅταν κληθῇς ὑπό τινος εἰς γάμους, μὴ κατακλιθῇς εἰς τὴν πρωτοκλισίαν· μήποτε ἐντιμότερός σου ᾖ κεκλημένος ὑπ᾿ αὐτοῦ,
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 9] καὶ ἐλθὼν ὁ σὲ καὶ αὐτὸν καλέσας ἐρεῖ σοι, Δὸς τούτῳ τόπον· καὶ τότε ἄρξῃ μετ᾿ αἰσχύνης τὸν ἔσχατον τόπον κατέχειν.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 10] Ἀλλ᾿ ὅταν κληθῇς, πορευθεὶς ἀνάπεσον εἰς τὸν ἔσχατον τόπον· ἵνα, ὅταν ἔλθῃ ὁ κεκληκώς σε, εἴπῃ σοι, Φίλε, προσανάβηθι ἀνώτερον· τότε ἔσται σοι δόξα ἐνώπιον τῶν συνανακειμένων σοι.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 11] Ὅτι πᾶς ὁ ὑψῶν ἑαυτὸν ταπεινωθήσεται, καὶ ὁ ταπεινῶν ἑαυτὸν ὑψωθήσεται.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 12] Ἔλεγε δὲ καὶ τῷ κεκληκότι αὐτόν, Ὅταν ποιῇς ἄριστον ἢ δεῖπνον, μὴ φώνει τοὺς φίλους σου, μηδὲ τοὺς ἀδελφούς σου, μηδὲ τοὺς συγγενεῖς σου, μηδὲ γείτονας πλουσίους· μήποτε καὶ αὐτοί σε ἀντικαλέσωσι, καὶ γένηταί σοι ἀνταπόδομα.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 13] Ἀλλ᾿ ὅταν ποιῇς δοχήν, κάλει πτωχούς, ἀναπήρους, χωλούς, τυφλούς·
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 14] καὶ μακάριος ἔσῃ, ὅτι οὐκ ἔχουσιν ἀνταποδοῦναί σοι· ἀνταποδοθήσεται γάρ σοι ἐν τῇ ἀναστάσει τῶν δικαίων.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 15] Ἀκούσας δέ τις τῶν συνανακειμένων ταῦτα εἶπεν αὐτῷ, Μακάριος, ὃς φάγεται ἄρτον ἐν τῇ βασιλείᾳ τοῦ Θεοῦ.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 16] Ὁ δὲ εἶπεν αὐτῷ, Ἄνθρωπός τις ἐποίησε δεῖπνον μέγα, καὶ ἐκάλεσε πολλούς·
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 17] καὶ ἀπέστειλε τὸν δοῦλον αὐτοῦ τῇ ὥρᾳ τοῦ δείπνου εἰπεῖν τοῖς κεκλημένοις, Ἔρχεσθε, ὅτι ἤδη ἕτοιμά ἐστι πάντα.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 18] Καὶ ἤρξαντο ἀπὸ μιᾶς παραιτεῖσθαι πάντες. Ὁ πρῶτος εἶπεν αὐτῷ, Ἀγρὸν ἠγόρασα, καὶ ἔχω ἀνάγκην ἐξελθεῖν καὶ ἰδεῖν αὐτόν· ἐρωτῶ σε, ἔχε με παρῃτημένον.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 19] Καὶ ἕτερος εἶπε, Ζεύγη βοῶν ἠγόρασα πέντε, καὶ πορεύομαι δοκιμάσαι αὐτά· ἐρωτῶ σε, ἔχε με παρῃτημένον.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 20] Καὶ ἕτερος εἶπε, Γυναῖκα ἔγημα, καὶ διὰ τοῦτο οὐ δύναμαι ἐλθεῖν.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 21] Καὶ παραγενόμενος ὁ δοῦλος ἐκεῖνος ἀπήγγειλε τῷ κυρίῳ αὐτοῦ ταῦτα. Τότε ὀργισθεὶς ὁ οἰκοδεσπότης εἶπε τῷ δούλῳ αὐτοῦ, Ἔξελθε ταχέως εἰς τὰς πλατείας καὶ ῥύμας τῆς πόλεως, καὶ τοὺς πτωχοὺς καὶ ἀναπήρους καὶ χωλοὺς καὶ τυφλοὺς εἰσάγαγε ὧδε.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 22] Καὶ εἶπεν ὁ δοῦλος, Κύριε, γέγονεν ὡς ἐπέταξας, καὶ ἔτι τόπος ἐστί.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 23] Καὶ εἶπεν ὁ κύριος πρὸς τὸν δοῦλον, Ἔξελθε εἰς τὰς ὁδοὺς καὶ φραγμούς, καὶ ἀνάγκασον εἰσελθεῖν, ἵνα γεμισθῇ ὁ οἶκός μου.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 24] Λέγω γὰρ ὑμῖν ὅτι οὐδεὶς τῶν ἀνδρῶν ἐκείνων τῶν κεκλημένων γεύσεταί μου τοῦ δείπνου.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 25] Συνεπορεύοντο δὲ αὐτῷ ὄχλοι πολλοί· καὶ στραφεὶς εἶπε πρὸς αὐτούς,
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 26] Εἴ τις ἔρχεται πρός με, καὶ οὐ μισεῖ τὸν πατέρα ἑαυτοῦ, καὶ τὴν μητέρα, καὶ τὴν γυναῖκα, καὶ τὰ τέκνα, καὶ τοὺς ἀδελφούς, καὶ τὰς ἀδελφάς, ἔτι δὲ καὶ τὴν ἑαυτοῦ ψυχήν, οὐ δύναταί μου μαθητὴς εἶναι.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 27] Καὶ ὅστις οὐ βαστάζει τὸν σταυρὸν αὐτοῦ καὶ ἔρχεται ὀπίσω μου, οὐ δύναταί μου εἶναί μαθητής.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 28] Τίς γὰρ ἐξ ὑμῶν, θέλων πύργον οἰκοδομῆσαι, οὐχὶ πρῶτον καθίσας ψηφίζει τὴν δαπάνην, εἰ ἔχει τὰ πρὸς ἀπαρτισμόν;
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 29] Ἵνα μήποτε, θέντος αὐτοῦ θεμέλιον καὶ μὴ ἰσχύοντος ἐκτελέσαι, πάντες οἱ θεωροῦντες ἄρξωνται ἐμπαίζειν αὐτῷ,
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 30] λέγοντες, ὅτι Οὗτος ὁ ἄνθρωπος ἤρξατο οἰκοδομεῖν, καὶ οὐκ ἴσχυσεν ἐκτελέσαι.
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 31] Ἢ τίς βασιλεὺς πορευόμενος συμβαλεῖν ἑτέρῳ βασιλεῖ εἰς πόλεμον οὐχὶ καθίσας πρῶτον βουλεύεται εἰ δυνατός ἐστιν ἐν δέκα χιλιάσιν ἀπαντῆσαι τῷ μετὰ εἴκοσι χιλιάδων ἐρχομένῳ ἐπ᾿ αὐτόν;
[GRCGTR | EL | NT | Luke | Chapter 14 | Verse 32] Εἰ δὲ μήγε, ἔτι αὐτοῦ πόρρω ὄντος, πρεσβείαν ἀποστείλας ἐρωτᾷ τὰ πρὸς εἰρήνην.
