[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 1] Καὶ ἐγένετο ἐν μιᾷ τῶν ἡμερῶν ἐκείνων, διδάσκοντος αὐτοῦ τὸν λαὸν ἐν τῷ ἱερῷ καὶ εὐαγγελιζομένου, ἐπέστησαν οἱ ἀρχιερεῖς καὶ οἱ γραμματεῖς σὺν τοῖς πρεσβυτέροις,
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 2] καὶ εἶπον πρὸς αὐτόν, λέγοντες, Εἰπὲ ἡμῖν, ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιεῖς, ἢ τίς ἐστιν ὁ δούς σοι τὴν ἐξουσίαν ταύτην;
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 3] Ἀποκριθεὶς δὲ εἶπε πρὸς αὐτούς, Ἐρωτήσω ὑμᾶς κἀγὼ ἕνα λόγον, καὶ εἴπατέ μοι·
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 4] Τὸ βάπτισμα Ἰωάννου ἐξ οὐρανοῦ ἦν, ἢ ἐξ ἀνθρώπων;
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 5] Οἱ δὲ συνελογίσαντο πρὸς ἑαυτούς, λέγοντες ὅτι Ἐὰν εἴπωμεν, Ἐξ οὐρανοῦ, ἐρεῖ, Διὰ τί οὖν οὐκ ἐπιστεύσατε αὐτῷ;
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 6] Ἐὰν δὲ εἴπωμεν, Ἐξ ἀνθρώπων, πᾶς ὁ λαὸς καταλιθάσει ἡμᾶς· πεπεισμένος γάρ ἐστιν Ἰωάννην προφήτην εἶναι.
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 7] Καὶ ἀπεκρίθησαν μὴ εἰδέναι πόθεν.
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 8] Καὶ ὁ Ἰησοῦς εἶπεν αὐτοῖς, Οὐδὲ ἐγὼ λέγω ὑμῖν ἐν ποίᾳ ἐξουσίᾳ ταῦτα ποιῶ.
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 9] Ἤρξατο δὲ πρὸς τὸν λαὸν λέγειν τὴν παραβολὴν ταύτην· Ἄνθρωπός τις ἐφύτευσεν ἀμπελῶνα, καὶ ἐξέδοτο αὐτὸν γεωργοῖς, καὶ ἀπεδήμησε χρόνους ἱκανούς·
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 10] καὶ ἐν καιρῷ ἀπέστειλε πρὸς τοὺς γεωργοὺς δοῦλον, ἵνα ἀπὸ τοῦ καρποῦ τοῦ ἀμπελῶνος δῶσιν αὐτῷ. Οἱ δὲ γεωργοὶ δείραντες αὐτὸν ἐξαπέστειλαν κενόν.
[GRCGTR | EL | NT | Luke | Chapter 20 | Verse 11] Καὶ προσέθετο πέμψαι ἕτερον δοῦλον· οἱ δὲ κἀκεῖνον δείραντες καὶ ἀτιμάσαντες ἐξαπέστειλαν κενόν.
