[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 1] Ἐπεὶ δὲ ἐπλήρωσε πάντα τὰ ῥήματα αὐτοῦ εἰς τὰς ἀκοὰς τοῦ λαοῦ, εἰσῆλθεν εἰς Καπερναούμ.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 2] Ἑκατοντάρχου δέ τινος δοῦλος κακῶς ἔχων ἤμελλε τελευτᾷν, ὃς ἦν αὐτῷ ἔντιμος.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 3] Ἀκούσας δὲ περὶ τοῦ Ἰησοῦ, ἀπέστειλε πρὸς αὐτὸν πρεσβυτέρους τῶν Ἰουδαίων, ἐρωτῶν αὐτὸν ὅπως ἐλθὼν διασώσῃ τὸν δοῦλον αὐτοῦ.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 4] Οἱ δέ, παραγενόμενοι πρὸς τὸν Ἰησοῦν, παρεκάλουν αὐτὸν σπουδαίως, λέγοντες ὅτι ἄξιός ἐστιν ᾧ παρέξει τοῦτο·
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 5] ἀγαπᾷ γὰρ τὸ ἔθνος ἡμῶν, καὶ τὴν συναγωγὴν αὐτὸς ᾠκοδόμησεν ἡμῖν.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 6] Ὁ δὲ Ἰησοῦς ἐπορεύετο σὺν αὐτοῖς. Ἤδη δὲ αὐτοῦ οὐ μακρὰν ἀπέχοντος ἀπὸ τῆς οἰκίας, ἔπεμψε πρὸς αὐτὸν ὁ ἑκατόνταρχος φίλους, λέγων αὐτῷ, Κύριε, μὴ σκύλλου· οὐ γάρ εἰμι ἱκανὸς ἵνα ὑπὸ τὴν στέγην μου εἰσέλθῃς·
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 7] διὸ οὐδὲ ἐμαυτὸν ἠξίωσα πρός σε ἐλθεῖν· ἀλλὰ εἰπὲ λόγῳ, καὶ ἰαθήσεται ὁ παῖς μου.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 8] Καὶ γὰρ ἐγὼ ἄνθρωπός εἰμι ὑπὸ ἐξουσίαν τασσόμενος, ἔχων ὑπ᾿ ἐμαυτὸν στρατιώτας, καὶ λέγω τούτῳ, Πορεύθητι, καὶ πορεύεται· καὶ ἄλλῳ, Ἔρχου, καὶ ἔρχεται· καὶ τῷ δούλῳ μου, Ποίησον τοῦτο, καὶ ποιεῖ.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 9] Ἀκούσας δὲ ταῦτα ὁ Ἰησοῦς ἐθαύμασεν αὐτόν, καὶ στραφεὶς τῷ ἀκολουθοῦντι αὐτῷ ὄχλῳ εἶπε, Λέγω ὑμῖν, οὐδὲ ἐν τῷ Ἰσραὴλ τοσαύτην πίστιν εὗρον.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 10] Καὶ ὑποστρέψαντες οἱ πεμφθέντες εἰς τὸν οἶκον εὗρον τὸν ἀσθενοῦντα δοῦλον ὑγιαίνοντα.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 11] Καὶ ἐγένετο ἐν τῇ ἑξῆς, ἐπορεύετο εἰς πόλιν καλουμένην Ναΐν· καὶ συνεπορεύοντο αὐτῷ οἱ μαθηταὶ αὐτοῦ ἱκανοί, καὶ ὄχλος πολύς.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 12] Ὡς δὲ ἤγγισε τῇ πύλῃ τῆς πόλεως, καὶ ἰδού, ἐξεκομίζετο τεθνηκώς, υἱὸς μονογενὴς τῇ μητρὶ αὐτοῦ, καὶ + 7:12 αὕτη ἦν χήρα ¦ αὐτῇ χήρᾳ ELZ αὕτη ἦν χήρα· καὶ ὄχλος τῆς πόλεως ἱκανὸς + 7:12 ἦν ¦ — ST ἦν σὺν αὐτῇ.
[GRCGTR | EL | NT | Luke | Chapter 7 | Verse 13] Καὶ ἰδὼν αὐτὴν ὁ Κύριος ἐσπλαγχνίσθη ἐπ᾿ αὐτῇ, καὶ εἶπεν αὐτῇ, Μὴ κλαῖε.
