[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 1] Τῇ δὲ μιᾷ τῶν σαββάτων, ὄρθρου βαθέος, ἦλθον ἐπὶ τὸ μνῆμα, φέρουσαι ἃ ἡτοίμασαν ἀρώματα, καί τινες σὺν αὐταῖς.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 2] Εὗρον δὲ τὸν λίθον ἀποκεκυλισμένον ἀπὸ τοῦ μνημείου.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 3] Καὶ εἰσελθοῦσαι οὐχ εὗρον τὸ σῶμα τοῦ Κυρίου Ἰησοῦ.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 4] Καὶ ἐγένετο ἐν τῷ διαπορεῖσθαι αὐτὰς περὶ τούτου, καὶ ἰδού, δύο ἄνδρες ἐπέστησαν αὐταῖς ἐν ἐσθήσεσιν ἀστραπτούσαις·
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 5] ἐμφόβων δὲ γενομένων αὐτῶν, καὶ κλινουσῶν τὸ πρόσωπον εἰς τὴν γῆν, εἶπον πρὸς αὐτάς, Τί ζητεῖτε τὸν ζῶντα μετὰ τῶν νεκρῶν;
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 6] Οὐκ ἔστιν ὧδε, ἀλλ᾿ ἠγέρθη· μνήσθητε ὡς ἐλάλησεν ὑμῖν, ἔτι ὢν ἐν τῇ Γαλιλαίᾳ,
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 7] λέγων ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου παραδοθῆναι εἰς χεῖρας ἀνθρώπων ἁμαρτωλῶν, καὶ σταυρωθῆναι, καὶ τῇ τρίτῃ ἡμέρᾳ ἀναστῆναι.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 8] Καὶ ἐμνήσθησαν τῶν ῥημάτων αὐτοῦ,
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 9] καὶ ὑποστρέψασαι ἀπὸ τοῦ μνημείου, ἀπήγγειλαν ταῦτα πάντα τοῖς ἕνδεκα καὶ πᾶσι τοῖς λοιποῖς.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 10] Ἦσαν δὲ ἡ Μαγδαληνὴ Μαρία καὶ Ἰωάννα καὶ Μαρία Ἰακώβου, καὶ αἱ λοιπαὶ σὺν αὐταῖς, αἳ ἔλεγον πρὸς τοὺς ἀποστόλους ταῦτα.
[GRCGTR | EL | NT | Luke | Chapter 24 | Verse 11] Καὶ ἐφάνησαν ἐνώπιον αὐτῶν ὡσεὶ λῆρος τὰ ῥήματα αὐτῶν, καὶ ἠπίστουν αὐταῖς.
