[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 1] Ἐγένετο δὲ ἐν τῷ τὸν ὄχλον ἐπικεῖσθαι αὐτῷ τοῦ ἀκούειν τὸν λόγον τοῦ Θεοῦ, καὶ αὐτὸς ἦν ἑστὼς παρὰ τὴν λίμνην Γεννησαρέτ·
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 2] καὶ εἶδε δύο πλοῖα ἑστῶτα παρὰ τὴν λίμνην· οἱ δὲ ἁλιεῖς ἀποβάντες ἀπ᾿ αὐτῶν ἀπέπλυναν τὰ δίκτυα.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 3] Ἐμβὰς δὲ εἰς ἓν τῶν πλοίων, ὃ ἦν τοῦ Σίμωνος, ἠρώτησεν αὐτὸν ἀπὸ τῆς γῆς ἐπαναγαγεῖν ὀλίγον. Καὶ καθίσας ἐδίδασκεν ἐκ τοῦ πλοίου τοὺς ὄχλους.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 4] Ὡς δὲ ἐπαύσατο λαλῶν, εἶπε πρὸς τὸν Σίμωνα, Ἐπανάγαγε εἰς τὸ βάθος, καὶ χαλάσατε τὰ δίκτυα ὑμῶν εἰς ἄγραν.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 5] Καὶ ἀποκριθεὶς ὁ Σίμων εἶπεν αὐτῷ, Ἐπιστάτα, δι᾿ ὅλης τῆς νυκτὸς κοπιάσαντες οὐδὲν ἐλάβομεν· ἐπὶ δὲ τῷ ῥήματί σου χαλάσω τὸ δίκτυον.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 6] Καὶ τοῦτο ποιήσαντες, συνέκλεισαν ἰχθύων πλῆθος πολύ· διερρήγνυτο δὲ τὸ δίκτυον αὐτῶν·
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 7] καὶ κατένευσαν τοῖς μετόχοις τοῖς ἐν τῷ ἑτέρῳ πλοίῳ, τοῦ ἐλθόντας συλλαβέσθαι αὐτοῖς· καὶ ἦλθον καὶ ἔπλησαν ἀμφότερα τὰ πλοῖα, ὥστε βυθίζεσθαι αὐτά.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 8] Ἰδὼν δὲ Σίμων Πέτρος προσέπεσε τοῖς γόνασι τοῦ Ἰησοῦ, λέγων, Ἔξελθε ἀπ᾿ ἐμοῦ, ὅτι ἀνὴρ ἁμαρτωλός εἰμι, Κύριε.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 9] Θάμβος γὰρ περιέσχεν αὐτὸν καὶ πάντας τοὺς σὺν αὐτῷ, ἐπὶ τῇ ἄγρᾳ τῶν ἰχθύων ᾗ συνέλαβον·
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 10] ὁμοίως δὲ καὶ Ἰάκωβον καὶ Ἰωάννην, υἱοὺς Ζεβεδαίου, οἳ ἦσαν κοινωνοὶ τῷ Σίμωνι. Καὶ εἶπε πρὸς τὸν Σίμωνα ὁ Ἰησοῦς, Μὴ φοβοῦ· ἀπὸ τοῦ νῦν ἀνθρώπους ἔσῃ ζωγρῶν.
[GRCGTR | EL | NT | Luke | Chapter 5 | Verse 11] Καὶ καταγαγόντες τὰ πλοῖα ἐπὶ τὴν γῆν, ἀφέντες ἅπαντα, ἠκολούθησαν αὐτῷ.
