[WEB | EN | NT | Mark | Chapter 3 | Verse 1] He entered again into the synagogue, and there was a man there whose hand was withered.
[WEB | EN | NT | Mark | Chapter 3 | Verse 2] They watched him, whether he would heal him on the Sabbath day, that they might accuse him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 3] He said to the man whose hand was withered, “Stand up.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 4] He said to them, “Is it lawful on the Sabbath day to do good or to do harm? To save a life or to kill?” But they were silent.
[WEB | EN | NT | Mark | Chapter 3 | Verse 5] When he had looked around at them with anger, being grieved at the hardening of their hearts, he said to the man, “Stretch out your hand.” He stretched it out, and his hand was restored as healthy as the other.
[WEB | EN | NT | Mark | Chapter 3 | Verse 6] The Pharisees went out, and immediately conspired with the Herodians against him, how they might destroy him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 7] Jesus withdrew to the sea with his disciples; and a great multitude followed him from Galilee, from Judea,
[WEB | EN | NT | Mark | Chapter 3 | Verse 8] from Jerusalem, from Idumaea, beyond the Jordan, and those from around Tyre and Sidon. A great multitude, hearing what great things he did, came to him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 9] He spoke to his disciples that a little boat should stay near him because of the crowd, so that they wouldn’t press on him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 10] For he had healed many, so that as many as had diseases pressed on him that they might touch him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 11] The unclean spirits, whenever they saw him, fell down before him and cried, “You are the Son of God!”
[WEB | EN | NT | Mark | Chapter 3 | Verse 12] He sternly warned them that they should not make him known.
[WEB | EN | NT | Mark | Chapter 3 | Verse 13] He went up into the mountain and called to himself those whom he wanted, and they went to him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 14] He appointed twelve, that they might be with him, and that he might send them out to preach
[WEB | EN | NT | Mark | Chapter 3 | Verse 15] and to have authority to heal sicknesses and to cast out demons:
[WEB | EN | NT | Mark | Chapter 3 | Verse 16] Simon (to whom he gave the name Peter);
[WEB | EN | NT | Mark | Chapter 3 | Verse 17] James the son of Zebedee; and John, the brother of James, (whom he called Boanerges, which means, Sons of Thunder);
[WEB | EN | NT | Mark | Chapter 3 | Verse 18] Andrew; Philip; Bartholomew; Matthew; Thomas; James, the son of Alphaeus; Thaddaeus; Simon the Zealot;
[WEB | EN | NT | Mark | Chapter 3 | Verse 19] and Judas Iscariot, who also betrayed him. Then he came into a house.
[WEB | EN | NT | Mark | Chapter 3 | Verse 20] The multitude came together again, so that they could not so much as eat bread.
[WEB | EN | NT | Mark | Chapter 3 | Verse 21] When his friends heard it, they went out to seize him; for they said, “He is insane.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 22] The scribes who came down from Jerusalem said, “He has Beelzebul,” and, “By the prince of the demons he casts out the demons.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 23] He summoned them and said to them in parables, “How can Satan cast out Satan?
[WEB | EN | NT | Mark | Chapter 3 | Verse 24] If a kingdom is divided against itself, that kingdom cannot stand.
[WEB | EN | NT | Mark | Chapter 3 | Verse 25] If a house is divided against itself, that house cannot stand.
[WEB | EN | NT | Mark | Chapter 3 | Verse 26] If Satan has risen up against himself, and is divided, he can’t stand, but has an end.
[WEB | EN | NT | Mark | Chapter 3 | Verse 27] But no one can enter into the house of the strong man to plunder unless he first binds the strong man; then he will plunder his house.
[WEB | EN | NT | Mark | Chapter 3 | Verse 28] “Most certainly I tell you, all sins of the descendants of man will be forgiven, including their blasphemies with which they may blaspheme;
[WEB | EN | NT | Mark | Chapter 3 | Verse 29] but whoever may blaspheme against the Holy Spirit never has forgiveness, but is subject to eternal condemnation.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 30] —because they said, “He has an unclean spirit.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 31] His mother and his brothers came, and standing outside, they sent to him, calling him.
[WEB | EN | NT | Mark | Chapter 3 | Verse 32] A multitude was sitting around him, and they told him, “Behold, your mother, your brothers, and your sisters are outside looking for you.”
[WEB | EN | NT | Mark | Chapter 3 | Verse 33] He answered them, “Who are my mother and my brothers?”
[WEB | EN | NT | Mark | Chapter 3 | Verse 34] Looking around at those who sat around him, he said, “Behold, my mother and my brothers!
[WEB | EN | NT | Mark | Chapter 3 | Verse 35] For whoever does the will of God is my brother, my sister, and mother.”
