[WEB | EN | NT | Mark | Chapter 1 | Verse 1] The beginning of the Good News of Jesus Christ, the Son of God.
[WEB | EN | NT | Mark | Chapter 1 | Verse 2] As it is written in the prophets, “Behold, I send my messenger before your face, who will prepare your way before you:
[WEB | EN | NT | Mark | Chapter 1 | Verse 3] the voice of one crying in the wilderness, ‘Make ready the way of the Lord! Make his paths straight!’”
[WEB | EN | NT | Mark | Chapter 1 | Verse 4] John came baptizing in the wilderness and preaching the baptism of repentance for forgiveness of sins.
[WEB | EN | NT | Mark | Chapter 1 | Verse 5] All the country of Judea and all those of Jerusalem went out to him. They were baptized by him in the Jordan river, confessing their sins.
[WEB | EN | NT | Mark | Chapter 1 | Verse 6] John was clothed with camel’s hair and a leather belt around his waist. He ate locusts and wild honey.
[WEB | EN | NT | Mark | Chapter 1 | Verse 7] He preached, saying, “After me comes he who is mightier than I, the strap of whose sandals I am not worthy to stoop down and loosen.
[WEB | EN | NT | Mark | Chapter 1 | Verse 8] I baptized you in water, but he will baptize you in the Holy Spirit.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 9] In those days, Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan.
[WEB | EN | NT | Mark | Chapter 1 | Verse 10] Immediately coming up from the water, he saw the heavens parting and the Spirit descending on him like a dove.
[WEB | EN | NT | Mark | Chapter 1 | Verse 11] A voice came out of the sky, “You are my beloved Son, in whom I am well pleased.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 12] Immediately the Spirit drove him out into the wilderness.
[WEB | EN | NT | Mark | Chapter 1 | Verse 13] He was there in the wilderness forty days, tempted by Satan. He was with the wild animals; and the angels were serving him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 14] Now after John was taken into custody, Jesus came into Galilee, preaching the Good News of God’s Kingdom,
[WEB | EN | NT | Mark | Chapter 1 | Verse 15] and saying, “The time is fulfilled, and God’s Kingdom is at hand! Repent, and believe in the Good News.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 16] Passing along by the sea of Galilee, he saw Simon and Andrew, the brother of Simon, casting a net into the sea, for they were fishermen.
[WEB | EN | NT | Mark | Chapter 1 | Verse 17] Jesus said to them, “Come after me, and I will make you into fishers for men.”
[WEB | EN | NT | Mark | Chapter 1 | Verse 18] Immediately they left their nets, and followed him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 19] Going on a little further from there, he saw James the son of Zebedee, and John his brother, who were also in the boat mending the nets.
[WEB | EN | NT | Mark | Chapter 1 | Verse 20] Immediately he called them, and they left their father, Zebedee, in the boat with the hired servants, and went after him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 21] They went into Capernaum, and immediately on the Sabbath day he entered into the synagogue and taught.
[WEB | EN | NT | Mark | Chapter 1 | Verse 22] They were astonished at his teaching, for he taught them as having authority, and not as the scribes.
[WEB | EN | NT | Mark | Chapter 1 | Verse 23] Immediately there was in their synagogue a man with an unclean spirit, and he cried out,
[WEB | EN | NT | Mark | Chapter 1 | Verse 24] saying, “Ha! What do we have to do with you, Jesus, you Nazarene? Have you come to destroy us? I know who you are: the Holy One of God!”
[WEB | EN | NT | Mark | Chapter 1 | Verse 25] Jesus rebuked him, saying, “Be quiet, and come out of him!”
[WEB | EN | NT | Mark | Chapter 1 | Verse 26] The unclean spirit, convulsing him and crying with a loud voice, came out of him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 27] They were all amazed, so that they questioned among themselves, saying, “What is this? A new teaching? For with authority he commands even the unclean spirits, and they obey him!”
[WEB | EN | NT | Mark | Chapter 1 | Verse 28] The report of him went out immediately everywhere into all the region of Galilee and its surrounding area.
[WEB | EN | NT | Mark | Chapter 1 | Verse 29] Immediately, when they had come out of the synagogue, they came into the house of Simon and Andrew, with James and John.
[WEB | EN | NT | Mark | Chapter 1 | Verse 30] Now Simon’s wife’s mother lay sick with a fever, and immediately they told him about her.
[WEB | EN | NT | Mark | Chapter 1 | Verse 31] He came and took her by the hand and raised her up. The fever left her immediately, and she served them.
[WEB | EN | NT | Mark | Chapter 1 | Verse 32] At evening, when the sun had set, they brought to him all who were sick and those who were possessed by demons.
[WEB | EN | NT | Mark | Chapter 1 | Verse 33] All the city was gathered together at the door.
[WEB | EN | NT | Mark | Chapter 1 | Verse 34] He healed many who were sick with various diseases and cast out many demons. He didn’t allow the demons to speak, because they knew him.
[WEB | EN | NT | Mark | Chapter 1 | Verse 35] Early in the morning, while it was still dark, he rose up and went out, and departed into a deserted place, and prayed there.
