[WEB | EN | NT | Mark | Chapter 10 | Verse 1] He arose from there and came into the borders of Judea and beyond the Jordan. Multitudes came together to him again. As he usually did, he was again teaching them.
[WEB | EN | NT | Mark | Chapter 10 | Verse 2] Pharisees came to him testing him, and asked him, “Is it lawful for a man to divorce his wife?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 3] He answered, “What did Moses command you?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 4] They said, “Moses allowed a certificate of divorce to be written, and to divorce her.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 5] But Jesus said to them, “For your hardness of heart, he wrote you this commandment.
[WEB | EN | NT | Mark | Chapter 10 | Verse 6] But from the beginning of the creation, God made them male and female.
[WEB | EN | NT | Mark | Chapter 10 | Verse 7] For this cause a man will leave his father and mother, and will join to his wife,
[WEB | EN | NT | Mark | Chapter 10 | Verse 8] and the two will become one flesh, so that they are no longer two, but one flesh.
[WEB | EN | NT | Mark | Chapter 10 | Verse 9] What therefore God has joined together, let no man separate.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 10] In the house, his disciples asked him again about the same matter.
[WEB | EN | NT | Mark | Chapter 10 | Verse 11] He said to them, “Whoever divorces his wife and marries another commits adultery against her.
[WEB | EN | NT | Mark | Chapter 10 | Verse 12] If a woman herself divorces her husband and marries another, she commits adultery.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 13] They were bringing to him little children, that he should touch them, but the disciples rebuked those who were bringing them.
[WEB | EN | NT | Mark | Chapter 10 | Verse 14] But when Jesus saw it, he was moved with indignation and said to them, “Allow the little children to come to me! Don’t forbid them, for God’s Kingdom belongs to such as these.
[WEB | EN | NT | Mark | Chapter 10 | Verse 15] Most certainly I tell you, whoever will not receive God’s Kingdom like a little child, he will in no way enter into it.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 16] He took them in his arms and blessed them, laying his hands on them.
[WEB | EN | NT | Mark | Chapter 10 | Verse 17] As he was going out into the way, one ran to him, knelt before him, and asked him, “Good Teacher, what shall I do that I may inherit eternal life?”
[WEB | EN | NT | Mark | Chapter 10 | Verse 18] Jesus said to him, “Why do you call me good? No one is good except one—God.
[WEB | EN | NT | Mark | Chapter 10 | Verse 19] You know the commandments: ‘Do not murder,’ ‘Do not commit adultery,’ ‘Do not steal,’ ‘Do not give false testimony,’ ‘Do not defraud,’ ‘Honor your father and mother.’”
[WEB | EN | NT | Mark | Chapter 10 | Verse 20] He said to him, “Teacher, I have observed all these things from my youth.”
[WEB | EN | NT | Mark | Chapter 10 | Verse 21] Jesus looking at him loved him, and said to him, “One thing you lack. Go, sell whatever you have and give to the poor, and you will have treasure in heaven; and come, follow me, taking up the cross.”
