[WEB | EN | NT | Mark | Chapter 9 | Verse 1] He said to them, “Most certainly I tell you, there are some standing here who will in no way taste death until they see God’s Kingdom come with power.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 2] After six days Jesus took with him Peter, James, and John, and brought them up onto a high mountain privately by themselves, and he was changed into another form in front of them.
[WEB | EN | NT | Mark | Chapter 9 | Verse 3] His clothing became glistening, exceedingly white, like snow, such as no launderer on earth can whiten them.
[WEB | EN | NT | Mark | Chapter 9 | Verse 4] Elijah and Moses appeared to them, and they were talking with Jesus.
[WEB | EN | NT | Mark | Chapter 9 | Verse 5] Peter answered Jesus, “Rabbi, it is good for us to be here. Let’s make three tents: one for you, one for Moses, and one for Elijah.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 6] For he didn’t know what to say, for they were very afraid.
[WEB | EN | NT | Mark | Chapter 9 | Verse 7] A cloud came, overshadowing them, and a voice came out of the cloud, “This is my beloved Son. Listen to him.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 8] Suddenly looking around, they saw no one with them any more, except Jesus only.
[WEB | EN | NT | Mark | Chapter 9 | Verse 9] As they were coming down from the mountain, he commanded them that they should tell no one what things they had seen, until after the Son of Man had risen from the dead.
[WEB | EN | NT | Mark | Chapter 9 | Verse 10] They kept this saying to themselves, questioning what the “rising from the dead” meant.
[WEB | EN | NT | Mark | Chapter 9 | Verse 11] They asked him, saying, “Why do the scribes say that Elijah must come first?”
[WEB | EN | NT | Mark | Chapter 9 | Verse 12] He said to them, “Elijah indeed comes first, and restores all things. How is it written about the Son of Man, that he should suffer many things and be despised?
[WEB | EN | NT | Mark | Chapter 9 | Verse 13] But I tell you that Elijah has come, and they have also done to him whatever they wanted to, even as it is written about him.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 14] Coming to the disciples, he saw a great multitude around them, and scribes questioning them.
[WEB | EN | NT | Mark | Chapter 9 | Verse 15] Immediately all the multitude, when they saw him, were greatly amazed, and running to him, greeted him.
[WEB | EN | NT | Mark | Chapter 9 | Verse 16] He asked the scribes, “What are you asking them?”
[WEB | EN | NT | Mark | Chapter 9 | Verse 17] One of the multitude answered, “Teacher, I brought to you my son, who has a mute spirit;
[WEB | EN | NT | Mark | Chapter 9 | Verse 18] and wherever it seizes him, it throws him down; and he foams at the mouth, grinds his teeth, and becomes rigid. I asked your disciples to cast it out, and they weren’t able.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 19] He answered him, “Unbelieving generation, how long shall I be with you? How long shall I bear with you? Bring him to me.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 20] They brought him to him, and when he saw him, immediately the spirit convulsed him and he fell on the ground, wallowing and foaming at the mouth.
[WEB | EN | NT | Mark | Chapter 9 | Verse 21] He asked his father, “How long has it been since this has been happening to him?” He said, “From childhood.
[WEB | EN | NT | Mark | Chapter 9 | Verse 22] Often it has cast him both into the fire and into the water to destroy him. But if you can do anything, have compassion on us and help us.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 23] Jesus said to him, “If you can believe, all things are possible to him who believes.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 24] Immediately the father of the child cried out with tears, “I believe. Help my unbelief!”
[WEB | EN | NT | Mark | Chapter 9 | Verse 25] When Jesus saw that a multitude came running together, he rebuked the unclean spirit, saying to him, “You mute and deaf spirit, I command you, come out of him, and never enter him again!”
[WEB | EN | NT | Mark | Chapter 9 | Verse 26] After crying out and convulsing him greatly, it came out of him. The boy became like one dead, so much that most of them said, “He is dead.”
[WEB | EN | NT | Mark | Chapter 9 | Verse 27] But Jesus took him by the hand and raised him up; and he arose.
