[WEB | EN | NT | Mark | Chapter 12 | Verse 1] He began to speak to them in parables. “A man planted a vineyard, put a hedge around it, dug a pit for the wine press, built a tower, rented it out to a farmer, and went into another country.
[WEB | EN | NT | Mark | Chapter 12 | Verse 2] When it was time, he sent a servant to the farmer to get from the farmer his share of the fruit of the vineyard.
[WEB | EN | NT | Mark | Chapter 12 | Verse 3] They took him, beat him, and sent him away empty.
[WEB | EN | NT | Mark | Chapter 12 | Verse 4] Again, he sent another servant to them; and they threw stones at him, wounded him in the head, and sent him away shamefully treated.
[WEB | EN | NT | Mark | Chapter 12 | Verse 5] Again he sent another, and they killed him, and many others, beating some, and killing some.
[WEB | EN | NT | Mark | Chapter 12 | Verse 6] Therefore still having one, his beloved son, he sent him last to them, saying, ‘They will respect my son.’
[WEB | EN | NT | Mark | Chapter 12 | Verse 7] But those farmers said among themselves, ‘This is the heir. Come, let’s kill him, and the inheritance will be ours.’
[WEB | EN | NT | Mark | Chapter 12 | Verse 8] They took him, killed him, and cast him out of the vineyard.
[WEB | EN | NT | Mark | Chapter 12 | Verse 9] What therefore will the lord of the vineyard do? He will come and destroy the farmers, and will give the vineyard to others.
[WEB | EN | NT | Mark | Chapter 12 | Verse 10] Haven’t you even read this Scripture: ‘The stone which the builders rejected was made the head of the corner.
[WEB | EN | NT | Mark | Chapter 12 | Verse 11] This was from the Lord. It is marvelous in our eyes’?”
[WEB | EN | NT | Mark | Chapter 12 | Verse 12] They tried to seize him, but they feared the multitude; for they perceived that he spoke the parable against them. They left him and went away.
[WEB | EN | NT | Mark | Chapter 12 | Verse 13] They sent some of the Pharisees and the Herodians to him, that they might trap him with words.
[WEB | EN | NT | Mark | Chapter 12 | Verse 14] When they had come, they asked him, “Teacher, we know that you are honest, and don’t defer to anyone; for you aren’t partial to anyone, but truly teach the way of God. Is it lawful to pay taxes to Caesar, or not?
[WEB | EN | NT | Mark | Chapter 12 | Verse 15] Shall we give, or shall we not give?” But he, knowing their hypocrisy, said to them, “Why do you test me? Bring me a denarius, that I may see it.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 16] They brought it. He said to them, “Whose is this image and inscription?” They said to him, “Caesar’s.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 17] Jesus answered them, “Render to Caesar the things that are Caesar’s, and to God the things that are God’s.” They marveled greatly at him.
[WEB | EN | NT | Mark | Chapter 12 | Verse 18] Some Sadducees, who say that there is no resurrection, came to him. They asked him, saying,
[WEB | EN | NT | Mark | Chapter 12 | Verse 19] “Teacher, Moses wrote to us, ‘If a man’s brother dies and leaves a wife behind him, and leaves no children, that his brother should take his wife and raise up offspring for his brother.’
[WEB | EN | NT | Mark | Chapter 12 | Verse 20] There were seven brothers. The first took a wife, and dying left no offspring.
[WEB | EN | NT | Mark | Chapter 12 | Verse 21] The second took her, and died, leaving no children behind him. The third likewise;
[WEB | EN | NT | Mark | Chapter 12 | Verse 22] and the seven took her and left no children. Last of all the woman also died.
[WEB | EN | NT | Mark | Chapter 12 | Verse 23] In the resurrection, when they rise, whose wife will she be of them? For the seven had her as a wife.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 24] Jesus answered them, “Isn’t this because you are mistaken, not knowing the Scriptures nor the power of God?
[WEB | EN | NT | Mark | Chapter 12 | Verse 25] For when they will rise from the dead, they neither marry nor are given in marriage, but are like angels in heaven.
[WEB | EN | NT | Mark | Chapter 12 | Verse 26] But about the dead, that they are raised, haven’t you read in the book of Moses about the Bush, how God spoke to him, saying, ‘I am the God of Abraham, the God of Isaac, and the God of Jacob’?
[WEB | EN | NT | Mark | Chapter 12 | Verse 27] He is not the God of the dead, but of the living. You are therefore badly mistaken.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 28] One of the scribes came and heard them questioning together, and knowing that he had answered them well, asked him, “Which commandment is the greatest of all?”
[WEB | EN | NT | Mark | Chapter 12 | Verse 29] Jesus answered, “The greatest is: ‘Hear, Israel, the Lord our God, the Lord is one.
[WEB | EN | NT | Mark | Chapter 12 | Verse 30] You shall love the Lord your God with all your heart, with all your soul, with all your mind, and with all your strength.’ This is the first commandment.
[WEB | EN | NT | Mark | Chapter 12 | Verse 31] The second is like this: ‘You shall love your neighbor as yourself.’ There is no other commandment greater than these.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 32] The scribe said to him, “Truly, teacher, you have said well that he is one, and there is none other but he;
[WEB | EN | NT | Mark | Chapter 12 | Verse 33] and to love him with all the heart, with all the understanding, all the soul, and with all the strength, and to love his neighbor as himself, is more important than all whole burnt offerings and sacrifices.”
[WEB | EN | NT | Mark | Chapter 12 | Verse 34] When Jesus saw that he answered wisely, he said to him, “You are not far from God’s Kingdom.” No one dared ask him any question after that.
