[IRV | PA | NT | Romans | Chapter 3 | Verse 1] ਸੋ ਯਹੂਦੀ ਹੋਣ ਦਾ ਕੀ ਵਾਧਾ ਅਤੇ ਸੁੰਨਤ ਦਾ ਕੀ ਲਾਭ ਹੈ?
[IRV | PA | NT | Romans | Chapter 3 | Verse 2] ਹਰ ਪਰਕਾਰ ਨਾਲ ਬਹੁਤ ਕੁਝ l ਪਹਿਲਾਂ ਤਾਂ ਇਹ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਉਨ੍ਹਾਂ ਨੂੰ ਸੌਂਪਿਆ ਗਿਆ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 3] ਫੇਰ ਭਾਵੇਂ ਕਈ ਬੇਵਫ਼ਾ ਨਿੱਕਲੇ ਤਾਂ ਕੀ ਹੋਇਆ? ਭਲਾ ਉਹਨਾਂ ਦੀ ਬੇਵਫ਼ਾਈ ਪਰਮੇਸ਼ੁਰ ਦੀ ਵਫ਼ਾਦਾਰੀ ਨੂੰ ਵਿਅਰਥ ਕਰ ਸਕਦੀ ਹੈ?
[IRV | PA | NT | Romans | Chapter 3 | Verse 4] ਕਦੇ ਨਹੀਂ! ਸਗੋਂ ਪਰਮੇਸ਼ੁਰ ਸੱਚਾ ਠਹਿਰੇ ਅਤੇ ਹਰ ਮਨੁੱਖ ਝੂਠਾ। ਜਿਵੇਂ ਲਿਖਿਆ ਹੋਇਆ ਹੈ ਤੂੰ ਆਪਣੇ ਬੋਲ ਵਿੱਚ ਧਰਮੀ ਠਹਿਰੇ ਅਤੇ ਆਪਣੇ ਨਿਆਂ ਵਿੱਚ ਜਿੱਤ ਜਾਵੇਂ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 5] ਪਰ ਜੇ ਸਾਡਾ ਕੁਧਰਮ ਪਰਮੇਸ਼ੁਰ ਦੇ ਧਰਮ ਨੂੰ ਪਰਗਟ ਕਰਦਾ ਹੈ ਤਾਂ ਕੀ ਆਖੀਏ? ਭਲਾ, ਪਰਮੇਸ਼ੁਰ ਅਨਿਆਈਂ ਹੈ ਜੋ ਕ੍ਰੋਧ ਪਾਉਂਦਾ ਹੈ? (ਮੈਂ ਲੋਕਾਂ ਵਾਂਗੂੰ ਆਖਦਾ ਹਾਂ)
[IRV | PA | NT | Romans | Chapter 3 | Verse 6] ਕਦੇ ਨਹੀਂ! ਤਾਂ ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਸੰਸਾਰ ਦਾ ਨਿਆਂ ਕਿਵੇਂ ਕਰੇਗਾ?
[IRV | PA | NT | Romans | Chapter 3 | Verse 7] ਜੇਕਰ ਮੇਰੇ ਝੂਠ ਕਰਕੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸੱਚ ਦੀ ਵਡਿਆਈ ਬਹੁਤੀ ਪਰਗਟ ਹੋਈ, ਤਾਂ ਫਿਰ ਕਿਉਂ ਮੈਂ ਅਜੇ ਤੱਕ ਪਾਪੀਆਂ ਵਾਂਗੂੰ ਦੋਸ਼ੀ ਠਹਿਰਾਇਆ ਜਾਂਦਾ ਹਾਂ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 8] ਅਤੇ ਇਹ ਕਿਉਂ ਨਾ ਬੋਲੀਏ, ਜਿਵੇਂ ਸਾਡੇ ਉੱਤੇ ਇਹ ਦੋਸ਼ ਲਾਇਆ ਵੀ ਜਾਂਦਾ ਹੈ, ਅਤੇ ਜਿਵੇਂ ਕਈ ਆਖਦੇ ਹਨ, ਜੋ ਅਸੀਂ ਇਸ ਤਰ੍ਹਾਂ ਕਹਿੰਦੇ ਹਾਂ, ਕਿ ਆਓ, ਬੁਰਿਆਈ ਕਰੀਏ ਤਾਂ ਜੋ ਇਸ ਤੋਂ ਭਲਿਆਈ ਨਿੱਕਲੇ। ਸੋ ਏਹੋ ਜਿਹਿਆਂ ਉੱਤੇ ਸਜ਼ਾ ਦਾ ਹੁਕਮ ਪੱਕਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 9] ਤਾਂ ਫੇਰ ਕੀ? ਭਲਾ, ਅਸੀਂ ਉਹਨਾਂ ਨਾਲੋਂ ਚੰਗੇ ਹਾਂ? ਕਦੇ ਵੀ ਨਹੀਂ! ਕਿਉਂ ਜੋ ਅਸੀਂ ਤਾਂ ਪਹਿਲਾਂ ਹੀ ਕਹਿ ਬੈਠੇ ਹਾਂ ਜੋ ਯਹੂਦੀ ਅਤੇ ਯੂਨਾਨੀ ਸਾਰਿਆਂ ਦੇ ਸਾਰੇ ਪਾਪ ਦੇ ਹੇਠ ਹਨ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 10] ਜਿਵੇਂ ਲਿਖਿਆ ਹੋਇਆ ਹੈ ਕੋਈ ਇੱਕ ਵੀ ਧਰਮੀ ਨਹੀਂ,
[IRV | PA | NT | Romans | Chapter 3 | Verse 11] ਕੋਈ ਸਮਝਣ ਵਾਲਾ ਨਹੀਂ, ਕੋਈ ਪਰਮੇਸ਼ੁਰ ਦਾ ਖੋਜੀ ਨਹੀਂ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 12] ਸਭ ਦੇ ਸਭ ਭਟਕ ਗਏ, ਉਹ ਸਾਰੇ ਦੇ ਸਾਰੇ ਨਿਕੰਮੇ ਹੋ ਗਏ ਹਨ, ਕੋਈ ਭਲਾ ਕਰਨ ਵਾਲਾ ਨਹੀਂ, ਇੱਕ ਵੀ ਨਹੀਂ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 13] ਉਹਨਾਂ ਦਾ ਸੰਘ ਖੁੱਲੀ ਹੋਈ ਕਬਰ ਹੈ, ਉਹਨਾਂ ਨੇ ਆਪਣੀਆਂ ਜੀਭਾਂ ਨਾਲ ਵਲ-ਛਲ ਕੀਤਾ ਹੈ ਅਤੇ, ਉਹਨਾਂ ਦੇ ਬੁੱਲ੍ਹਾਂ ਵਿੱਚ ਜ਼ਹਿਰੀਲੇ ਸੱਪਾਂ ਦਾ ਜ਼ਹਿਰ ਹੈ।
[IRV | PA | NT | Romans | Chapter 3 | Verse 14] ਉਹਨਾਂ ਦਾ ਮੂੰਹ ਸਰਾਪ ਅਤੇ ਕੁੱੜਤਣ ਨਾਲ ਭਰਿਆ ਹੋਇਆ ਹੈ,
