[IRV | PA | NT | Romans | Chapter 14 | Verse 1] ਜੋ ਵਿਸ਼ਵਾਸ ਵਿੱਚ ਕਮਜ਼ੋਰ ਹੈ, ਉਹ ਨੂੰ ਆਪਣੀ ਸੰਗਤ ਵਿੱਚ ਰਲਾ ਲਉ ਪਰ ਉਹ ਦੇ ਭਰਮਾਂ ਦੇ ਉੱਤੇ ਫ਼ੈਸਲੇ ਕਰਨ ਦੇ ਲਈ ਨਹੀਂ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 2] ਕਿਉਂਕਿ ਇੱਕ ਨੂੰ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਸਭ ਕੁਝ ਖਾਣਾ ਯੋਗ ਹੈ, ਪਰ ਜਿਹੜਾ ਵਿਸ਼ਵਾਸ ਵਿੱਚ ਕਮਜ਼ੋਰ ਹੈ ਉਹ ਸਾਗ ਪੱਤ ਹੀ ਖਾਂਦਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 3] ਜਿਹੜਾ ਖਾਣ ਵਾਲਾ ਹੈ ਉਹ ਨਾ ਖਾਣ ਵਾਲੇ ਨੂੰ ਤੁੱਛ ਨਾ ਜਾਣੇ ਅਤੇ ਜਿਹੜਾ ਨਾ ਖਾਣ ਵਾਲਾ ਹੈ ਉਹ ਖਾਣ ਵਾਲੇ ਉੱਤੇ ਦੋਸ਼ ਨਾ ਲਾਵੇ ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਨੂੰ ਕਬੂਲ ਕਰ ਲਿਆ ਹੈ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 4] ਤੂੰ ਦੂਜੇ ਦੇ ਸੇਵਕ ਉੱਤੇ ਦੋਸ਼ ਲਾਉਣ ਵਾਲਾ ਕੌਣ ਹੁੰਦਾ ਹੈਂ? ਉਹ ਤਾਂ ਆਪਣੇ ਹੀ ਮਾਲਕ ਦੇ ਅੱਗੇ ਸਥਿਰ ਰਹਿੰਦਾ ਜਾਂ ਡਿੱਗ ਪੈਂਦਾ ਹੈ, ਪਰ ਉਹ ਸਥਿਰ ਰਹੇਗਾ ਕਿਉਂ ਜੋ ਪ੍ਰਭੂ ਉਸ ਨੂੰ ਸਥਿਰ ਰੱਖ ਸਕਦਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 5] ਕੋਈ ਤਾਂ ਇੱਕ ਦਿਨ ਨੂੰ ਦੂਜੇ ਦਿਨ ਨਾਲੋਂ ਚੰਗਾ ਸਮਝਦਾ ਹੈ, ਅਤੇ ਕੋਈ ਜਣਾ ਸਾਰਿਆਂ ਦਿਨਾਂ ਨੂੰ ਇੱਕੋ ਜਿਹਾ ਸਮਝਦਾ ਹੈ। ਹਰ ਕੋਈ ਆਪੋ ਆਪਣੇ ਮਨ ਵਿੱਚ ਪੱਕਾ ਭਰੋਸਾ ਕਰ ਲਵੇ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 6] ਜਿਹੜਾ ਦਿਨ ਨੂੰ ਮੰਨਦਾ ਹੈ, ਉਹ ਪ੍ਰਭੂ ਦੇ ਲਈ ਮੰਨਦਾ ਹੈ ਅਤੇ ਜਿਹੜਾ ਖਾਂਦਾ ਹੈ ਉਹ ਪ੍ਰਭੂ ਦੇ ਲਈ ਖਾਂਦਾ ਹੈ ਕਿਉਂ ਜੋ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕਰਦਾ ਹੈ, ਅਤੇ ਜਿਹੜਾ ਨਹੀਂ ਖਾਂਦਾ ਉਹ ਪ੍ਰਭੂ ਦੇ ਲਈ ਨਹੀਂ ਖਾਂਦਾ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਧੰਨਵਾਦ ਕਰਦਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 7] ਸਾਡੇ ਵਿੱਚੋਂ ਤਾਂ ਕੋਈ ਆਪਣੇ ਲਈ ਨਹੀਂ ਜਿਉਂਦਾ, ਨਾ ਕੋਈ ਆਪਣੇ ਲਈ ਮਰਦਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 8] ਇਸ ਲਈ ਜੇ ਅਸੀਂ ਜਿਉਂਦੇ ਹਾਂ ਤਾਂ ਪ੍ਰਭੂ ਦੇ ਲਈ ਜਿਉਂਦੇ ਹਾਂ ਅਤੇ ਜੇ ਅਸੀਂ ਮਰੀਏ ਤਾਂ ਪ੍ਰਭੂ ਦੇ ਲਈ ਮਰਦੇ ਹਾਂ। ਸੋ ਗੱਲ ਕਾਹਦੀ, ਭਾਵੇਂ ਅਸੀਂ ਜੀਵੀਏ ਜਾਂ ਮਰੀਏ ਪਰ ਹਾਂ ਅਸੀਂ ਪ੍ਰਭੂ ਦੇ ਹੀ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 9] ਕਿਉਂ ਜੋ ਇਸੇ ਕਾਰਨ ਮਸੀਹ ਮਰਿਆ ਅਤੇ ਫੇਰ ਜੀ ਉੱਠਿਆ ਤਾਂ ਜੋ ਮੁਰਦਿਆਂ, ਨਾਲੇ ਜਿਉਂਦਿਆਂ ਦਾ ਪ੍ਰਭੂ ਹੋਵੇ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 10] ਪਰ ਤੂੰ ਆਪਣੇ ਭਰਾ ਉੱਤੇ ਕਿਉਂ ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈਂ, ਜਾਂ ਫੇਰ ਤੂੰ ਆਪਣੇ ਭਰਾ ਨੂੰ ਕਿਉਂ ਤੁੱਛ ਜਾਣਦਾ ਹੈਂ? ਕਿਉਂ ਜੋ ਅਸੀਂ ਸਾਰੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਿਆਂ ਦੇ ਸਿੰਘਾਸਣ ਦੇ ਸਾਹਮਣੇ ਖੜ੍ਹੇ ਹੋਵਾਂਗੇ।
[IRV | PA | NT | Romans | Chapter 14 | Verse 11] ਕਿਉਂ ਜੋ ਇਹ ਲਿਖਿਆ ਹੋਇਆ ਹੈ, ਪ੍ਰਭੂ ਕਹਿੰਦਾ ਹੈ, ਮੈਨੂੰ ਆਪਣੀ ਜੀਵਨ ਦੀ ਸਹੁੰ, ਕਿ ਹਰ ਇੱਕ ਗੋਡਾ ਮੇਰੇ ਅੱਗੇ ਝੁਕੇਗਾ, ਅਤੇ ਹਰ ਇੱਕ ਜ਼ੁਬਾਨ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਇਕਰਾਰ ਕਰੇਗੀ।
