[IRV | PA | NT | Romans | Chapter 16 | Verse 1] ਮੈਂ ਤੁਹਾਨੂੰ ਸਾਡੀ ਭੈਣ ਫ਼ੀਬੀ ਦੇ ਲਈ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ ਜਿਹੜੀ ਉਸ ਕਲੀਸਿਯਾ ਦੀ ਸੇਵਿਕਾ ਹੈ ਜੋ ਕੰਖਰਿਯਾ ਵਿੱਚ ਹੈ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 2] ਤੁਸੀਂ ਉਹ ਦਾ ਆਦਰ ਕਰਕੇ ਪ੍ਰਭੂ ਵਿੱਚ ਉਸ ਨੂੰ ਕਬੂਲ ਕਰੋ, ਜਿਸ ਤਰ੍ਹਾਂ ਸੰਤਾਂ ਨੂੰ ਚਾਹੀਦਾ ਹੈ ਅਤੇ ਜਿਸ ਕੰਮ ਵਿੱਚ ਉਹ ਨੂੰ ਤੁਹਾਡੀ ਲੋੜ ਪਵੇ ਤੁਸੀਂ ਉਹ ਦੀ ਸਹਾਇਤਾ, ਕਰੋ ਕਿਉਂ ਜੋ ਉਹ ਆਪ ਵੀ ਬਹੁਤਿਆਂ ਦੀ ਸਗੋਂ ਮੇਰੀ ਵੀ ਮਦਦਗਾਰ ਹੈ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 3] ਪਰਿਸਕਾ ਅਤੇ ਅਕੂਲਾ ਨੂੰ ਸੁੱਖ-ਸਾਂਦ ਆਖਣਾ ਜਿਹੜੇ ਮਸੀਹ ਯਿਸੂ ਵਿੱਚ ਮੇਰੇ ਸਹਿਕਰਮੀ ਹਨ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 4] ਜਿਨ੍ਹਾਂ ਨੇ ਮੇਰੀ ਜਾਨ ਦੇ ਬਦਲੇ ਆਪਣਾ ਹੀ ਸਿਰ ਦਿੱਤਾ ਹੋਇਆ ਸੀ ਅਤੇ ਕੇਵਲ ਮੈਂ ਹੀ ਨਹੀਂ ਸਗੋਂ ਪਰਾਈਆਂ ਕੌਮਾਂ ਦੀਆਂ ਸਾਰੀਆਂ ਕਲੀਸਿਯਾਂਵਾਂ ਉਹਨਾਂ ਦਾ ਧੰਨਵਾਦ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 5] ਅਤੇ ਉਸ ਕਲੀਸਿਯਾ ਨੂੰ ਜਿਹੜੀ ਉਹਨਾਂ ਦੇ ਘਰ ਵਿੱਚ ਹੈ ਸੁੱਖ-ਸਾਂਦ ਆਖਣਾ। ਮੇਰੇ ਪਿਆਰੇ ਇਪੈਨੇਤੁਸ ਨੂੰ ਜਿਹੜਾ ਮਸੀਹ ਦੇ ਲਈ ਅਸਿਯਾ ਦਾ ਪਹਿਲਾ ਫਲ ਹੈ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 6] ਮਰਿਯਮ ਨੂੰ ਜਿਸ ਨੇ ਤੁਹਾਡੇ ਲਈ ਬਹੁਤ ਮਿਹਨਤ ਕੀਤੀ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 7] ਅੰਦਰੁਨਿਕੁਸ ਅਤੇ ਯੂਨਿਆਸ ਮੇਰੇ ਰਿਸ਼ਤੇਦਾਰਾਂ ਨੂੰ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ, ਜਿਹੜੇ ਕੈਦ ਵਿੱਚ ਮੇਰੇ ਸਾਥੀ ਸਨ ਅਤੇ ਰਸੂਲਾਂ ਵਿੱਚ ਪ੍ਰਸਿੱਧ ਹਨ ਅਤੇ ਮੇਰੇ ਤੋਂ ਪਹਿਲਾਂ ਮਸੀਹ ਵਿੱਚ ਹੋਏ l
[IRV | PA | NT | Romans | Chapter 16 | Verse 8] ਅੰਪਲਿਯਾਤੁਸ ਨੂੰ ਜਿਹੜਾ ਪ੍ਰਭੂ ਵਿੱਚ ਮੇਰਾ ਪਿਆਰਾ ਹੈ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 9] ਉਰਬਾਨੁਸ ਨੂੰ ਜਿਹੜਾ ਮਸੀਹ ਵਿੱਚ ਸਾਡਾ ਸਹਿਕਰਮੀ ਹੈ ਅਤੇ ਮੇਰੇ ਪਿਆਰੇ ਸਤਾਖੁਸ ਨੂੰ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 10] ਅਪਿੱਲੇਸ ਨੂੰ ਜਿਹੜਾ ਮਸੀਹ ਵਿੱਚ ਹੋ ਕੇ ਪਰਵਾਨ ਹੈ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ। ਅਰਿਸਤੁਬੂਲੁਸ ਦੇ ਘਰ ਦਿਆਂ ਨੂੰ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
[IRV | PA | NT | Romans | Chapter 16 | Verse 11] ਹੇਰੋਦਿਯੋਨ ਮੇਰੇ ਰਿਸ਼ਤੇਦਾਰ ਨੂੰ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ। ਨਰਕਿੱਸੁਸ ਦੇ ਘਰ ਦਿਆਂ ਨੂੰ ਜਿਹੜੇ ਪ੍ਰਭੂ ਵਿੱਚ ਹਨ ਸੁੱਖ-ਸਾਂਦ ਆਖੋ।
