[IRV | PA | NT | Romans | Chapter 5 | Verse 1] ਸੋ ਜਦੋਂ ਅਸੀਂ ਵਿਸ਼ਵਾਸ ਦੇ ਦੁਆਰਾ ਧਰਮੀ ਠਹਿਰਾਏ ਗਏ ਤਾਂ ਅਸੀਂ ਆਪਣੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਰਾਹੀਂ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਮੇਲ ਰੱਖੀਏ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 2] ਜਿਸ ਦੇ ਰਾਹੀਂ ਅਸੀਂ ਵੀ ਵਿਸ਼ਵਾਸ ਦੇ ਦੁਆਰਾ ਉਸ ਕਿਰਪਾ ਤੱਕ ਪਹੁੰਚੇ ਜਿਹ ਦੇ ਵਿੱਚ ਅਸੀਂ ਖੜੇ ਹਾਂ, ਤਾਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਮਹਿਮਾ ਦੀ ਆਸ ਉੱਤੇ ਘਮੰਡ ਕਰੀਏ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 3] ਕੇਵਲ ਇਹੋ ਨਹੀਂ ਸਗੋਂ ਬਿਪਤਾ ਵਿੱਚ ਵੀ ਘਮੰਡ ਕਰੀਏ ਕਿਉਂ ਜੋ ਇਹ ਜਾਣਦੇ ਹਾਂ ਕਿ ਬਿਪਤਾ ਧੀਰਜ ਪੈਦਾ ਕਰਦੀ ਹੈ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 4] ਅਤੇ ਧੀਰਜ ਤੋਂ ਦ੍ਰਿੜ੍ਹਤਾ ਅਤੇ ਦ੍ਰਿੜ੍ਹਤਾ ਆਸ ਪੈਦਾ ਕਰਦੀ ਹੈ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 5] ਅਤੇ ਆਸ ਸ਼ਰਮਿੰਦਿਆਂ ਨਹੀਂ ਕਰਦੀ ਇਸ ਲਈ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਪਿਆਰ ਪਵਿੱਤਰ ਆਤਮਾ ਦੇ ਵਸੀਲੇ ਨਾਲ ਜੋ ਸਾਨੂੰ ਦਿੱਤਾ ਗਿਆ ਸਾਡਿਆਂ ਦਿਲਾਂ ਵਿੱਚ ਪਾਇਆ ਹੋਇਆ ਹੈ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 6] ਜਦੋਂ ਅਸੀਂ ਨਿਰਬਲ ਹੀ ਸੀ, ਤਦੋਂ ਮਸੀਹ ਸਮੇਂ ਸਿਰ ਪਾਪੀਆਂ ਦੇ ਲਈ ਮਰਿਆ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 7] ਇਹ ਗੱਲ ਤਾਂ ਔਖੀ ਹੈ ਜੋ ਧਰਮੀ ਦੇ ਲਈ ਕੋਈ ਮਰੇ ਪਰ ਕੀ ਜਾਣੀਏ ਜੋ ਭਲੇ ਮਨੁੱਖ ਦੇ ਲਈ ਕੋਈ ਮਰਨ ਨੂੰ ਵੀ ਤਿਆਰ ਹੋ ਜਾਵੇ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 8] ਪ੍ਰੰਤੂ ਪਰਮੇਸ਼ੁਰ ਆਪਣਾ ਪਿਆਰ ਸਾਡੇ ਉੱਤੇ ਇਸ ਤਰ੍ਹਾਂ ਪਰਗਟ ਕਰਦਾ ਹੈ, ਕਿ ਜਦੋਂ ਅਸੀਂ ਪਾਪੀ ਹੀ ਸੀ, ਤਾਂ ਮਸੀਹ ਸਾਡੇ ਲਈ ਮਰਿਆ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 9] ਸੋ ਜਦੋਂ ਅਸੀਂ ਹੁਣ ਉਹ ਦੇ ਲਹੂ ਦੇ ਵਸੀਲੇ ਨਾਲ ਧਰਮੀ ਠਹਿਰਾਏ ਗਏ, ਤਾਂ ਇਸ ਨਾਲੋਂ ਬਹੁਤ ਵੱਧ ਕੇ ਅਸੀਂ ਉਹ ਦੇ ਰਾਹੀਂ ਉਸ ਕ੍ਰੋਧ ਤੋਂ ਬਚਾਏ ਜਾਂਵਾਂਗੇ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 10] ਕਿਉਂਕਿ ਜਦੋਂ ਅਸੀਂ ਵੈਰੀ ਹੋ ਕੇ ਪਰਮੇਸ਼ੁਰ ਨਾਲ ਉਹ ਦੇ ਪੁੱਤਰ ਦੀ ਮੌਤ ਦੇ ਵਸੀਲੇ ਮਿਲਾਏ ਗਏ ਤਾਂ ਮਿਲਾਏ ਜਾ ਕੇ ਅਸੀਂ ਇਸ ਨਾਲੋਂ ਬਹੁਤ ਵੱਧ ਕੇ ਉਹ ਦੇ ਜੀਵਨ ਦੇ ਦੁਆਰਾ ਬਚ ਜਾਂਵਾਂਗੇ।
[IRV | PA | NT | Romans | Chapter 5 | Verse 11] ਅਤੇ ਕੇਵਲ ਇਹੋ ਨਹੀਂ ਸਗੋਂ ਅਸੀਂ ਪਰਮੇਸ਼ੁਰ ਉੱਤੇ ਵੀ ਆਪਣੇ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਦੇ ਵਸੀਲੇ ਨਾਲ ਜਿਸ ਕਰਕੇ ਅਸੀਂ ਹੁਣ ਮਿਲਾਏ ਗਏ ਅਭਮਾਨ ਕਰਦੇ ਹਾਂ।
