[IRV | PA | NT | Romans | Chapter 9 | Verse 1] ਮੈਂ ਮਸੀਹ ਵਿੱਚ ਸੱਚ ਕਹਿੰਦਾ ਹਾਂ, ਝੂਠ ਨਹੀਂ ਬੋਲਦਾ ਅਤੇ ਮੇਰਾ ਵਿਵੇਕ ਪਵਿੱਤਰ ਆਤਮਾ ਵਿੱਚ ਮੇਰਾ ਗਵਾਹ ਹੈ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 2] ਕਿ ਮੈਨੂੰ ਵੱਡਾ ਸੋਗ ਹੈ ਅਤੇ ਮੇਰਾ ਮਨ ਸਦਾ ਦੁੱਖੀ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 3] ਮੈਂ ਚਾਹੁੰਦਾ ਸੀ ਕਿ ਆਪਣੇ ਭੈਣ ਭਰਾਵਾਂ ਦੇ ਲਈ ਜਿਹੜੇ ਸਰੀਰ ਦੇ ਅਨੁਸਾਰ ਮੇਰੇ ਸਕੇ-ਸਬੰਧੀ ਹਨ, ਮੈਂ ਆਪ ਮਸੀਹ ਵੱਲੋਂ ਸਰਾਪੀ ਹੁੰਦਾ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 4] ਉਹ ਇਸਰਾਏਲੀ ਹਨ ਅਤੇ ਲੇਪਾਲਕਪਨ ਦਾ ਹੱਕ, ਮਹਿਮਾ, ਨੇਮ, ਬਿਵਸਥਾ ਦਾ ਦਾਨ, ਪਰਮੇਸ਼ੁਰ ਦੀ ਬੰਦਗੀ ਅਤੇ ਵਾਇਦੇ ਉਹਨਾਂ ਦੇ ਹਨ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 5] ਨਾਲੇ ਵੱਡੇ ਬਜ਼ੁਰਗ ਵੀ ਉਹਨਾਂ ਦੇ ਹਨ; ਅਤੇ ਮਸੀਹ ਵੀ ਸਰੀਰ ਦੇ ਅਨੁਸਾਰ ਉਹਨਾਂ ਵਿੱਚੋਂ ਹੀ ਹੋਇਆ ਜੋ ਸਭਨਾਂ ਉੱਤੇ ਪਰਮੇਸ਼ੁਰ ਅਤੇ ਜੁੱਗੋ-ਜੁੱਗ ਧੰਨ ਹੈ, ਆਮੀਨ!
[IRV | PA | NT | Romans | Chapter 9 | Verse 6] ਪਰ ਇਸ ਤਰ੍ਹਾਂ ਨਹੀਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦਾ ਬਚਨ ਟਲ ਗਿਆ; ਕਿਉਂਕਿ ਜਿਹੜੇ ਇਸਰਾਏਲ ਦੇ ਵਿੱਚੋਂ ਹਨ, ਉਹ ਸਾਰੇ ਇਸਰਾਏਲੀ ਨਹੀਂ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 7] ਅਤੇ ਅਬਰਾਹਾਮ ਦੀ ਅੰਸ ਹੋਣ ਕਰਕੇ ਉਹ ਸਾਰੇ ਉਹ ਦੀ ਸੰਤਾਨ ਨਹੀਂ ਹਨ, ਸਗੋਂ ਇਸਹਾਕ ਤੋਂ ਹੀ ਤੇਰੀ ਅੰਸ ਪੁਕਾਰੀ ਜਾਵੇਗੀ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 8] ਅਰਥਾਤ ਜਿਹੜੇ ਸਰੀਰਕ ਹਨ ਉਹ ਪਰਮੇਸ਼ੁਰ ਦੀ ਸੰਤਾਨ ਨਹੀਂ, ਪਰ ਵਾਇਦੇ ਦੀ ਸੰਤਾਨ ਗਿਣੀ ਜਾਂਦੀ ਹੈ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 9] ਵਾਇਦੇ ਦਾ ਬਚਨ ਤਾਂ ਇਹ ਹੈ, ਕਿ ਇਸੇ ਸਮੇਂ ਦੇ ਅਨੁਸਾਰ ਮੈਂ ਆਵਾਂਗਾ ਅਤੇ ਸਾਰਾਹ ਇੱਕ ਪੁੱਤਰ ਜਣੇਗੀ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 10] ਅਤੇ ਕੇਵਲ ਇਹੋ ਨਹੀਂ ਸਗੋਂ ਜਦੋਂ ਰਿਬਕਾਹ ਇੱਕ ਜਣੇ ਤੋਂ ਅਰਥਾਤ ਸਾਡੇ ਪਿਤਾ ਇਸਹਾਕ ਤੋਂ ਗਰਭਵਤੀ ਹੋਈ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 11] ਭਾਵੇਂ ਬਾਲਕ ਹਾਲੇ ਤੱਕ ਜੰਮੇ ਨਹੀਂ ਸਨ, ਅਤੇ ਨਾ ਹੀ ਉਨ੍ਹਾਂ ਨੇ ਕੁਝ ਭਲਾ ਬੁਰਾ ਕੀਤਾ ਸੀ, ਅਤੇ ਉਸ ਨੇ ਕਿਹਾ ਵੱਡਾ ਛੋਟੇ ਦੀ ਸੇਵਾ ਕਰੇਗਾ,
[IRV | PA | NT | Romans | Chapter 9 | Verse 12] ਤਾਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਦੀ ਯੋਜਨਾ ਜਿਹੜੀ ਚੋਣ ਦੇ ਅਨੁਸਾਰ ਹੈ, ਕਰਨੀਆਂ ਤੋਂ ਨਹੀਂ ਸਗੋਂ ਬਲਾਉਣ ਵਾਲੇ ਦੀ ਮਰਜ਼ੀ ਅਨੁਸਾਰ ਬਣੀ ਰਹੇ l
[IRV | PA | NT | Romans | Chapter 9 | Verse 13] ਜਿਵੇਂ ਲਿਖਿਆ ਹੋਇਆ ਹੈ, ਜੋ ਮੈਂ ਯਾਕੂਬ ਨਾਲ ਪਿਆਰ ਪਰ ਏਸਾਓ ਨਾਲ ਵੈਰ ਕੀਤਾ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 14] ਫੇਰ ਅਸੀਂ ਕੀ ਆਖੀਏ? ਭਲਾ, ਪਰਮੇਸ਼ੁਰ ਬੇਇਨਸਾਫ਼ੀ ਕਰਦਾ ਹੈ? ਕਦੇ ਨਹੀਂ!
[IRV | PA | NT | Romans | Chapter 9 | Verse 15] ਕਿਉਂਕਿ ਉਹ ਮੂਸਾ ਨੂੰ ਆਖਦਾ ਹੈ, ਕਿ ਮੈਂ ਜਿਸ ਦੇ ਉੱਤੇ ਦਯਾ ਕਰਨਾ ਚਾਹਾਂ ਉਸ ਉੱਤੇ ਦਯਾ ਕਰਾਂਗਾ ਅਤੇ ਜਿਸ ਦੇ ਉੱਤੇ ਮੈਂ ਰਹਿਮ ਕਰਨਾ ਚਾਹਾਂ ਉਸ ਉੱਤੇ ਰਹਿਮ ਕਰਾਂਗਾ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 16] ਸੋ ਇਹ ਤਾਂ ਨਾ ਚਾਹੁਣ ਵਾਲੇ ਦਾ, ਅਤੇ ਨਾ ਦੌੜ ਭੱਜ ਕਰਨ ਵਾਲੇ ਦਾ, ਸਗੋਂ ਦਯਾ ਕਰਨ ਵਾਲੇ ਪਰਮੇਸ਼ੁਰ ਦਾ ਕੰਮ ਹੈ।
[IRV | PA | NT | Romans | Chapter 9 | Verse 17] ਕਿਉਂ ਜੋ ਪਵਿੱਤਰ ਗ੍ਰੰਥ ਵਿੱਚ ਫ਼ਿਰਊਨ ਨੂੰ ਕਿਹਾ ਗਿਆ, ਕਿ ਮੈਂ ਇਸੇ ਕਾਰਨ ਤੈਨੂੰ ਖੜ੍ਹਾ ਕੀਤਾ ਤਾਂ ਜੋ ਤੇਰੇ ਵਿੱਚ ਆਪਣੀ ਸਮਰੱਥ ਪਰਗਟ ਕਰਾਂ ਤਾਂ ਜੋ ਸਾਰੀ ਧਰਤੀ ਤੇ ਮੇਰੇ ਨਾਮ ਦਾ ਪਰਚਾਰ ਹੋਵੇ।
