[IRV | PA | NT | Romans | Chapter 12 | Verse 1] ਸੋ ਹੇ ਭਰਾਵੋ, ਮੈਂ ਪਰਮੇਸ਼ੁਰ ਦੀ ਦਯਾ ਯਾਦ ਕਰਾ ਕੇ ਤੁਹਾਡੇ ਅੱਗੇ ਬੇਨਤੀ ਕਰਦਾ ਹਾਂ, ਕਿ ਤੁਸੀਂ ਆਪਣਿਆਂ ਸਰੀਰਾਂ ਨੂੰ ਜਿਉਂਦਾ ਅਤੇ ਪਵਿੱਤਰ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੂੰ ਭਾਉਂਦਾ ਹੋਇਆ ਬਲੀਦਾਨ ਕਰਕੇ ਚੜ੍ਹਾਵੋ, ਇਹ ਤੁਹਾਡੀ ਰੂਹਾਨੀ ਬੰਦਗੀ ਹੈ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 2] ਅਤੇ ਇਸ ਸੰਸਾਰ ਦੇ ਰੂਪ ਵਰਗੇ ਨਾ ਬਣੋ, ਸਗੋਂ ਆਪਣੀ ਬੁੱਧ ਦੇ ਨਵੇਂ ਹੋ ਜਾਣ ਦੇ ਕਾਰਨ ਤੁਹਾਡਾ ਚਾਲ-ਚਲਣ ਵੀ ਬਦਲਦਾ ਜਾਵੇ ਤਾਂ ਜੋ ਤੁਸੀਂ ਸਮਝ ਲਵੋ ਕਿ ਪਰਮੇਸ਼ੁਰ ਦੀ ਚੰਗੀ ਅਤੇ ਮਨ ਭਾਉਂਦੀ ਅਤੇ ਪੂਰੀ ਇੱਛਾ ਕੀ ਹੈ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 3] ਮੈਂ ਤਾਂ ਉਸ ਕਿਰਪਾ ਤੋਂ ਜਿਹੜੀ ਮੈਨੂੰ ਦਾਨ ਹੋਈ ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹਰੇਕ ਨੂੰ ਕਹਿੰਦਾ ਹਾਂ, ਕਿ ਕੋਈ ਆਪਣੇ ਆਪ ਨੂੰ ਜਿੰਨਾਂ ਉਸ ਨੂੰ ਚਾਹੀਦਾ ਹੈ, ਉਸ ਨਾਲੋਂ ਵੱਧ ਨਾ ਸਮਝੇ ਪਰ ਜਿਵੇਂ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਿਣ ਕੇ ਹਰੇਕ ਨੂੰ ਵਿਸ਼ਵਾਸ ਵੰਡ ਦਿੱਤਾ ਹੈ, ਉਵੇਂ ਹੀ ਸੁਰਤ ਨਾਲ ਸਮਝੇ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 4] ਜਿਵੇਂ ਇੱਕ ਸਰੀਰ ਵਿੱਚ ਬਹੁਤ ਸਾਰੇ ਅੰਗ ਹੁੰਦੇ ਹਨ, ਪਰ ਸਾਰਿਆਂ ਅੰਗਾਂ ਦਾ ਇੱਕੋ ਹੀ ਕੰਮ ਨਹੀਂ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 5] ਉਸੇ ਤਰ੍ਹਾਂ ਅਸੀਂ ਵੀ ਜੋ ਬਹੁਤ ਸਾਰੇ ਹਾਂ ਮਸੀਹ ਵਿੱਚ ਮਿਲ ਕੇ ਇੱਕ ਸਰੀਰ ਹਾਂ ਅਤੇ ਇੱਕ ਦੂਜੇ ਦੇ ਅੰਗ ਹਾਂ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 6] ਸੋ ਸਾਨੂੰ ਉਸ ਕਿਰਪਾ ਦੇ ਅਨੁਸਾਰ ਜੋ ਸਾਨੂੰ ਦਾਨ ਹੋਈ ਵੱਖੋ-ਵੱਖ ਵਰਦਾਨ ਮਿਲੇ ਹਨ। ਫੇਰ ਜੇ ਕਿਸੇ ਨੂੰ ਭਵਿੱਖਬਾਣੀ ਦਾ ਵਰਦਾਨ ਮਿਲਿਆ ਹੋਵੇ ਤਾਂ ਉਹ ਆਪਣੇ ਵਿਸ਼ਵਾਸ ਦੇ ਅਨੁਸਾਰ ਭਵਿੱਖਬਾਣੀ ਕਰੇ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 7] ਅਤੇ ਜੇ ਸੇਵਾ ਕਰਨ ਦਾ ਦਾਨ ਮਿਲਿਆ ਹੋਵੇ ਤਾਂ ਉਹ ਸੇਵਾ ਕਰਨ ਵਿੱਚ ਲੱਗਿਆ ਰਹੇ, ਜੇ ਸਿਖਾਉਣ ਵਾਲਾ ਹੋਵੇ ਤਾਂ ਸਿਖਾਉਣ ਦੇ ਕੰਮ ਵਿੱਚ ਲੱਗਿਆ ਰਹੇ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 8] ਜੇ ਉਪਦੇਸ਼ਕ ਹੋਵੇ ਤਾਂ ਉਪਦੇਸ਼ ਕਰਨ ਵਿੱਚ ਲੱਗਿਆ ਰਹੇ, ਦਾਨ ਦੇਣ ਵਾਲਾ ਖੁੱਲ੍ਹੇ ਦਿਲ ਨਾਲ ਦੇਵੇ, ਅਗਵਾਈ ਕਰਨ ਵਾਲਾ ਉਤਸ਼ਾਹ ਨਾਲ ਅਗਵਾਈ ਕਰੇ, ਦਯਾ ਕਰਨ ਵਾਲਾ ਖੁਸ਼ੀ ਨਾਲ ਦਯਾ ਕਰੇ,
[IRV | PA | NT | Romans | Chapter 12 | Verse 9] ਪਿਆਰ ਨਿਸ਼ਕਪਟ ਹੋਵੇ, ਬੁਰਿਆਈ ਤੋਂ ਨਫ਼ਰਤ ਕਰੋ, ਭਲਿਆਈ ਕਰਨ ਵਿੱਚ ਲੱਗੇ ਰਹੋ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 10] ਭਾਈਚਾਰੇ ਦੇ ਪਿਆਰ ਨਾਲ ਇੱਕ ਦੂਜੇ ਨਾਲ ਗੂੜ੍ਹਾ ਪਿਆਰ ਰੱਖੋ, ਆਦਰ ਵਿੱਚ ਦੂਜੇ ਨੂੰ ਚੰਗਾ ਸਮਝੋ।
[IRV | PA | NT | Romans | Chapter 12 | Verse 11] ਮਿਹਨਤ ਕਰਨ ਵਿੱਚ ਢਿੱਲੇ ਨਾ ਹੋਵੋ, ਆਤਮਾ ਵਿੱਚ ਸਰਗਰਮ ਰਹੋ, ਪ੍ਰਭੂ ਦੀ ਸੇਵਾ ਕਰਿਆ ਕਰੋ।
