[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 1] लेवी के पुत्र गेर्शोन, कहात और मरारी।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 2] और कहात के पुत्र, अम्राम, यिसहार, हेब्रोन और उज्जीएल।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 3] और अम्राम की सन्तान हारून, मूसा और मिर्याम, और हारून के पुत्र, नादाब, अबीहू, एलीआजर और ईतामार।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 4] एलीआजर से पीनहास, पीनहास से अबीशू,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 5] अबीशू से बुक्की, बुक्की से उज्जी,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 6] उज्जी से जरहयाह, जरहयाह से मरायोत,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 7] मरायोत से अमर्याह, अमर्याह से अहीतूब,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 8] अहीतूब से सादोक, सादोक से अहीमास,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 9] अहीमास से अजर्याह, अजर्याह से योहानान,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 10] और योहानान से अजर्याह उत्पन्न हुआ (जो सुलैमान के यरूशलेम में बनाए हुए भवन में याजक का काम करता था)।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 11] अजर्याह से अमर्याह, अमर्याह से अहीतूब,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 12] अहीतूब से सादोक, सादोक से शल्लूम,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 13] शल्लूम से हिल्किय्याह, हिल्किय्याह से अजर्याह,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 14] अजर्याह से सरायाह, और सरायाह से यहोसादाक उत्पन्न हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 15] और जब यहोवा, यहूदा और यरूशलेम को नबूकदनेस्सर के द्वारा बन्दी बना करके ले गया, तब यहोसादाक भी बन्धुआ होकर गया।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 16] लेवी के पुत्र गेर्शोम, कहात और मरारी।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 17] और गेर्शोम के पुत्रों के नाम ये थे, अर्थात् लिब्नी और शिमी।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 18] और कहात के पुत्र अम्राम, यिसहार, हेब्रोन और उज्जीएल।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 19] और मरारी के पुत्र महली और मूशी। अपने-अपने पितरों के घरानों के अनुसार लेवियों के कुल ये हुए।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 20] अर्थात्, गेर्शोम का पुत्र लिब्नी हुआ, लिब्नी का यहत, यहत का जिम्मा।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 21] जिम्मा का योआह, योआह का इद्दो, इद्दो का जेरह, और जेरह का पुत्र यातरै हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 22] फिर कहात का पुत्र अम्मीनादाब हुआ, अम्मीनादाब का कोरह, कोरह का अस्सीर,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 23] अस्सीर का एल्काना, एल्काना का एब्यासाप, एब्यासाप का अस्सीर,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 24] अस्सीर का तहत, तहत का ऊरीएल, ऊरीएल का उज्जियाह और उज्जियाह का पुत्र शाऊल हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 25] फिर एल्काना के पुत्र अमासै और अहीमोत।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 26] एल्काना का पुत्र सोपै, सोपै का नहत,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 27] नहत का एलीआब, एलीआब का यरोहाम, और यरोहाम का पुत्र एल्काना हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 28] शमूएल के पुत्र: उसका जेठा योएल और दूसरा अबिय्याह हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 29] फिर मरारी का पुत्र महली, महली का लिब्नी, लिब्नी का शिमी, शिमी का उज्जा।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 30] उज्जा का शिमा; शिमा का हग्गिय्याह और हग्गिय्याह का पुत्र असायाह हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 31] फिर जिनको दाऊद ने सन्दूक के भवन में रखे जाने के बाद, यहोवा के भवन में गाने का अधिकारी ठहरा दिया वे ये हैं।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 32] जब तक सुलैमान यरूशलेम में यहोवा के भवन को बनवा न चुका, तब तक वे मिलापवाले तम्बू के निवास के सामने गाने के द्वारा सेवा करते थे; और इस सेवा में नियम के अनुसार उपस्थित हुआ करते थे।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 33] जो अपने-अपने पुत्रों समेत उपस्थित हुआ करते थे वे ये हैं, अर्थात् कहातियों में से हेमान गवैया जो योएल का पुत्र था, और योएल शमूएल का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 34] शमूएल एल्काना का, एल्काना यरोहाम का, यरोहाम एलीएल का, एलीएल तोह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 35] तोह सूफ का, सूफ एल्काना का, एल्काना महत का, महत अमासै का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 36] अमासै एल्काना का, एल्काना योएल का, योएल अजर्याह का, अजर्याह सपन्याह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 37] सपन्याह तहत का, तहत अस्सीर का, अस्सीर एब्यासाप का, एब्यासाप कोरह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 38] कोरह यिसहार का, यिसहार कहात का, कहात लेवी का और लेवी इस्राएल का पुत्र था।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 39] और उसका भाई आसाप जो उसके दाहिने खड़ा हुआ करता था वह बेरेक्याह का पुत्र था, और बेरेक्याह शिमा का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 40] शिमा मीकाएल का, मीकाएल बासेयाह का, बासेयाह मल्किय्याह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 41] मल्किय्याह एत्नी का, एत्नी जेरह का, जेरह अदायाह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 42] अदायाह एतान का, एतान जिम्मा का, जिम्मा शिमी का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 43] शिमी यहत का, यहत गेर्शोम का, गेर्शोम लेवी का पुत्र था।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 44] और बाईं ओर उनके भाई मरारी खड़े होते थे, अर्थात् एतान जो कीशी का पुत्र था, और कीशी अब्दी का, अब्दी मल्लूक का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 45] मल्लूक हशब्याह का, हशब्याह अमस्याह का, अमस्याह हिल्किय्याह का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 46] हिल्किय्याह अमसी का, अमसी बानी का, बानी शेमेर का,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 47] शेमेर महली का, महली मूशी का, मूशी मरारी का, और मरारी लेवी का पुत्र था;
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 48] और इनके भाई जो लेवीय थे वे परमेश्वर के भवन के निवास की सब प्रकार की सेवा के लिये अर्पण किए हुए थे।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 49] परन्तु हारून और उसके पुत्र होमबलि की वेदी, और धूप की वेदी दोनों पर बलिदान चढ़ाते, और परमपवित्र स्थान का सब काम करते, और इस्राएलियों के लिये प्रायश्चित करते थे, जैसे कि परमेश्वर के दास मूसा ने आज्ञाएँ दी थीं।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 50] और हारून के वंश में ये हुए: अर्थात् उसका पुत्र एलीआजर हुआ, और एलीआजर का पीनहास, पीनहास का अबीशू,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 51] अबीशू का बुक्की, बुक्की का उज्जी, उज्जी का जरहयाह,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 52] जरहयाह का मरायोत, मरायोत का अमर्याह, अमर्याह का अहीतूब,
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 53] अहीतूब का सादोक और सादोक का अहीमास पुत्र हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 54] उनके भागों में उनकी छावनियों के अनुसार उनकी बस्तियाँ ये हैं अर्थात् कहात के कुलों में से पहली चिट्ठी जो हारून की सन्तान के नाम पर निकली;
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 55] अर्थात् चारों ओर की चराइयों समेत यहूदा देश का हेब्रोन उन्हें मिला।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 56] परन्तु उस नगर के खेत और गाँव यपुन्ने के पुत्र कालेब को दिए गए।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 57] और हारून की सन्तान को शरणनगर हेब्रोन, और चराइयों समेत लिब्ना, और यत्तीर और अपनी-अपनी चराइयों समेत एश्तमो;
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 58] अपनी-अपनी चराइयों समेत हीलेन और दबीर;
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 59] आशान और बेतशेमेश।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 60] और बिन्यामीन के गोत्र में से अपनी-अपनी चराइयों समेत गेबा, आलेमेत और अनातोत दिए गए। उनके घरानों के सब नगर तेरह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 61] और शेष कहातियों के गोत्र के कुल, अर्थात् मनश्शे के आधे गोत्र में से चिट्ठी डालकर दस नगर दिए गए।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 62] और गेर्शोमियों के कुलों के अनुसार उन्हें इस्साकार, आशेर और नप्ताली के गोत्र, और बाशान में रहनेवाले मनश्शे के गोत्र में से तेरह नगर मिले।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 63] मरारियों के कुलों के अनुसार उन्हें रूबेन, गाद और जबूलून के गोत्रों में से चिट्ठी डालकर बारह नगर दिए गए।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 64] इस्राएलियों ने लेवियों को ये नगर चराइयों समेत दिए।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 65] उन्होंने यहूदियों, शिमोनियों और बिन्यामीनियों के गोत्रों में से वे नगर दिए, जिनके नाम ऊपर दिए गए हैं।
[IRV | HI | OT | 1 Chronicles | Chapter 6 | Verse 66] और कहातियों के कई कुलों को उनके भाग के नगर एप्रैम के गोत्र में से मिले।
