[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 1] दाऊद के पुत्र जो हेब्रोन में उससे उत्पन्न हुए वे ये हैं: जेठा अम्नोन जो यिज्रेली अहीनोअम से, दूसरा दानिय्येल जो कर्मेली अबीगैल से उत्पन्न हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 2] तीसरा अबशालोम जो गशूर के राजा तल्मै की बेटी माका का पुत्र था, चौथा अदोनिय्याह जो हग्गीत का पुत्र था।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 3] पाँचवाँ शपत्याह जो अबीतल से, और छठवाँ यित्राम जो उसकी स्त्री एग्ला से उत्पन्न हुआ।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 4] दाऊद से हेब्रोन में छः पुत्र उत्पन्न हुए, और वहाँ उसने साढ़े सात वर्ष राज्य किया; यरूशलेम में तैंतीस वर्ष राज्य किया।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 5] यरूशलेम में उसके ये पुत्र उत्पन्न हुए: अर्थात् शिमा, शोबाब, नातान और सुलैमान, ये चारों अम्मीएल की बेटी बतशेबा से उत्पन्न हुए।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 6] और यिभार, एलीशामा एलीपेलेत,
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 7] नोगह, नेपेग, यापी,
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 8] एलीशामा, एल्यादा और एलीपेलेत, ये नौ पुत्र थे।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 9] ये सब दाऊद के पुत्र थे; और इनको छोड़ रखैलों के भी पुत्र थे, और इनकी बहन तामार थी।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 10] फिर सुलैमान का पुत्र रहबाम उत्पन्न हुआ; रहबाम का अबिय्याह, अबिय्याह का आसा, आसा का यहोशापात,
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 11] यहोशापात का योराम, योराम का अहज्याह, अहज्याह का योआश;
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 12] योआश का अमस्याह, अमस्याह का अजर्याह, अजर्याह का योताम;
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 13] योताम का आहाज, आहाज का हिजकिय्याह, हिजकिय्याह का मनश्शे;
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 14] मनश्शे का आमोन, और आमोन का योशिय्याह पुत्र हुआ। (मत्ती 1:7-10)
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 15] और योशिय्याह के पुत्र: उसका जेठा योहानान, दूसरा यहोयाकीम; तीसरा सिदकिय्याह, चौथा शल्लूम।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 16] यहोयाकीम का पुत्र यकोन्याह, इसका पुत्र सिदकिय्याह। (मत्ती 1:11)
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 17] और यकोन्याह का पुत्र अस्सीर, उसका पुत्र शालतीएल; (मत्ती 1:12, लूका 3:27)
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 18] और मल्कीराम, पदायाह, शेनस्सर, यकम्याह, होशामा और नदब्याह;
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 19] और पदायाह के पुत्र जरुब्बाबेल और शिमी हुए; और जरुब्बाबेल के पुत्र मशुल्लाम और हनन्याह, जिनकी बहन शलोमीत थी;
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 20] और हशूबा, ओहेल, बेरेक्याह, हसद्याह और यूशब-हेसेद, पाँच।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 21] और हनन्याह के पुत्र: पलत्याह और यशायाह, और उसका पुत्र रपायाह, उसका पुत्र अर्नान, उसका पुत्र ओबद्याह, उसका पुत्र शकन्याह।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 22] और शकन्याह का पुत्र शमायाह, और शमायाह के पुत्र हत्तूश और यिगाल, बारीह, नार्याह और शापात, छः।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 23] और नार्याह के पुत्र एल्योएनै, हिजकिय्याह और अज्रीकाम, तीन।
[IRV | HI | OT | 1 Chronicles | Chapter 3 | Verse 24] और एल्योएनै के पुत्र होदव्याह, एल्याशीब, पलायाह, अक्कूब, योहानान, दलायाह और अनानी, सात।
