[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 1] फिर दाऊद और सेनापतियों ने आसाप, हेमान और यदूतून के कुछ पुत्रों को सेवकाई के लिये अलग किया कि वे वीणा, सारंगी और झाँझ बजा-बजाकर नबूवत करें। और इस सेवकाई के काम करनेवाले मनुष्यों की गिनती यह थी:
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 2] अर्थात् आसाप के पुत्रों में से जक्कूर, यूसुफ, नतन्याह और अशरेला, आसाप के ये पुत्र आसाप ही की आज्ञा में थे, जो राजा की आज्ञा के अनुसार नबूवत करता था।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 3] फिर यदूतून के पुत्रों में से गदल्याह, सरी, यशायाह, शिमी, हशब्याह, मत्तित्याह, ये ही छः अपने पिता यदूतून की आज्ञा में होकर जो यहोवा का धन्यवाद और स्तुति कर करके नबूवत करता था, वीणा बजाते थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 4] हेमान के पुत्रों में से, बुक्किय्याह, मत्तन्याह, उज्जीएल, शबूएल, यरीमोत, हनन्याह, हनानी, एलीआता, गिद्दलती, रोममतीएजेर, योशबकाशा, मल्लोती, होतीर और महजीओत;
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 5] परमेश्वर की प्रतिज्ञानुकूल जो उसका नाम बढ़ाने की थी, ये सब हेमान के पुत्र थे जो राजा का दर्शी था; क्योंकि परमेश्वर ने हेमान को चौदह बेटे और तीन बेटियाँ दीं थीं।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 6] ये सब यहोवा के भवन में गाने के लिये अपने-अपने पिता के अधीन रहकर, परमेश्वर के भवन, की सेवकाई में झाँझ, सारंगी और वीणा बजाते थे। आसाप, यदूतून और हेमान राजा के अधीन रहते थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 7] इन सभी की गिनती भाइयों समेत जो यहोवा के गीत सीखे हुए और सब प्रकार से निपुण थे, दो सौ अट्ठासी थी।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 8] उन्होंने क्या बड़ा, क्या छोटा, क्या गुरु, क्या चेला, अपनी-अपनी बारी के लिये चिट्ठी डाली।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 9] पहली चिट्ठी आसाप के बेटों में से यूसुफ के नाम पर निकली, दूसरी गदल्याह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 10] तीसरी जक्कूर के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 11] चौथी यिस्री के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 12] पाँचवीं नतन्याह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 13] छठीं बुक्किय्याह के नाम पर निकली जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 14] सातवीं यसरेला के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 15] आठवीं यशायाह के नाम पर निकली जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 16] नौवीं मत्तन्याह के नाम पर निकली, जिसके पुत्र और भाई समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 17] दसवीं शिमी के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 18] ग्यारहवीं अजरेल के नाम पर निकली जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 19] बारहवीं हशब्याह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 20] तेरहवीं शूबाएल के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 21] चौदहवीं मत्तित्याह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 22] पन्द्रहवीं यरेमोत के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 23] सोलहवीं हनन्याह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 24] सत्रहवीं योशबकाशा के नाम पर निकली जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 25] अठारहवीं हनानी के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 26] उन्‍नीसवीं मल्लोती के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 27] बीसवीं एलियातह के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 28] इक्कीसवीं होतीर के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 29] बाईसवीं गिद्दलती के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 30] तेईसवीं महजीओत; के नाम पर निकली जिसके पुत्र और भाई उस समेत बारह थे।
[IRV | HI | OT | 1 Chronicles | Chapter 25 | Verse 31] चौबीसवीं चिट्ठी रोममतीएजेर के नाम पर निकली, जिसके पुत्र और भाई उस समेत बारह थे।
