[IRV | PA | OT | Jonah | Chapter 4 | Verse 1] ਇਹ ਗੱਲ ਯੂਨਾਹ ਨੂੰ ਬਹੁਤ ਹੀ ਬੁਰੀ ਲੱਗੀ ਅਤੇ ਉਹ ਬਹੁਤ ਹੀ ਗੁੱਸੇ ਹੋ ਗਿਆ।
[IRV | PA | OT | Jonah | Chapter 4 | Verse 2] ਉਸ ਨੇ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਇਹ ਕਹਿ ਕੇ ਪ੍ਰਾਰਥਨਾ ਕੀਤੀ, “ਹੇ ਯਹੋਵਾਹ! ਜਦ ਮੈਂ ਆਪਣੇ ਦੇਸ਼ ਵਿੱਚ ਹੀ ਸੀ, ਤਾਂ ਕੀ ਮੈਂ ਇਹੋ ਗੱਲ ਨਹੀਂ ਸੀ ਕਹਿੰਦਾ? ਇਸੇ ਕਾਰਨ ਹੀ ਮੈਂ ਤੇਰੀ ਆਗਿਆ ਸੁਣਦੇ ਸਾਰ ਹੀ ਛੇਤੀ ਨਾਲ ਤਰਸ਼ੀਸ਼ ਨੂੰ ਭੱਜਿਆ ਕਿਉਂ ਜੋ ਮੈਂ ਜਾਣਦਾ ਸੀ ਕਿ ਤੂੰ ਕਿਰਪਾਲੂ ਅਤੇ ਦਯਾਲੂ ਪਰਮੇਸ਼ੁਰ ਹੈ, ਜੋ ਕ੍ਰੋਧ ਵਿੱਚ ਧੀਰਜ ਕਰਨ ਵਾਲਾ ਅਤੇ ਕਿਰਪਾਵਾਨ ਹੈਂ ਅਤੇ ਦੁੱਖ ਦੇਣ ਨਾਲ ਪ੍ਰਸੰਨ ਨਹੀਂ ਹੁੰਦਾ।
[IRV | PA | OT | Jonah | Chapter 4 | Verse 3] ਇਸ ਲਈ ਹੁਣ ਹੇ ਯਹੋਵਾਹ, ਮੇਰੀ ਜਾਨ ਮੇਰੇ ਵਿੱਚੋਂ ਲੈ ਲੈ, ਕਿਉਂਕਿ ਮੇਰੇ ਲਈ ਮਰਨਾ ਜੀਉਣ ਨਾਲੋਂ ਚੰਗਾ ਹੈ।”
[IRV | PA | OT | Jonah | Chapter 4 | Verse 4] ਤਦ ਯਹੋਵਾਹ ਨੇ ਕਿਹਾ, “ਕੀ ਤੇਰਾ ਕ੍ਰੋਧ ਕਰਨਾ ਚੰਗਾ ਹੈ?”
[IRV | PA | OT | Jonah | Chapter 4 | Verse 5] ਤਦ ਯੂਨਾਹ ਬਾਹਰ ਨਿੱਕਲ ਕੇ ਸ਼ਹਿਰ ਦੇ ਪੂਰਬ ਵੱਲ ਜਾ ਕੇ ਬੈਠ ਗਿਆ, ਅਤੇ ਉੱਥੇ ਆਪਣੇ ਲਈ ਇੱਕ ਛੱਪਰ ਪਾ ਲਿਆ ਅਤੇ ਉਸ ਦੇ ਹੇਠ ਛਾਂ ਵਿੱਚ ਬੈਠ ਗਿਆ ਤਾਂ ਜੋ ਵੇਖੇ ਕਿ ਸ਼ਹਿਰ ਦਾ ਕੀ ਹਾਲ ਹੋਵੇਗਾ?
[IRV | PA | OT | Jonah | Chapter 4 | Verse 6] ਯਹੋਵਾਹ ਪਰਮੇਸ਼ੁਰ ਨੇ ਇੱਕ ਬੂਟਾ ਉਗਾ ਕੇ ਵਧਾਇਆ ਅਤੇ ਉਸ ਨੂੰ ਯੂਨਾਹ ਦੇ ਉੱਤੇ ਕੀਤਾ, ਤਾਂ ਜੋ ਉਸ ਦੇ ਸਿਰ ਉੱਤੇ ਛਾਂ ਕਰੇ ਅਤੇ ਉਸ ਨੂੰ ਪਰੇਸ਼ਾਨੀ ਨਾ ਹੋਵੇ, ਅਤੇ ਯੂਨਾਹ ਉਸ ਬੂਟੇ ਦੇ ਕਾਰਨ ਬਹੁਤ ਅਨੰਦ ਹੋਇਆ।
[IRV | PA | OT | Jonah | Chapter 4 | Verse 7] ਪਰ ਦੂਜੇ ਦਿਨ ਸਵੇਰੇ ਹੀ ਪਰਮੇਸ਼ੁਰ ਨੇ ਇੱਕ ਕੀੜੇ ਨੂੰ ਠਹਿਰਾਇਆ ਜਿਸ ਨੇ ਉਸ ਬੂਟੇ ਨੂੰ ਅਜਿਹਾ ਡੰਗਿਆ ਕਿ ਉਹ ਸੁੱਕ ਗਿਆ।
[IRV | PA | OT | Jonah | Chapter 4 | Verse 8] ਜਦ ਸੂਰਜ ਚੜ੍ਹਿਆ ਤਾਂ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਪੂਰਬੀ ਲੂ ਵਗਾਈ ਅਤੇ ਜਦ ਸੂਰਜ ਦੀ ਧੁੱਪ ਯੂਨਾਹ ਦੇ ਸਿਰ ਉੱਤੇ ਲੱਗੀ ਤਾਂ ਉਹ ਬੇਹੋਸ਼ ਹੋਣ ਲੱਗਾ ਅਤੇ ਇਹ ਕਹਿ ਕੇ ਆਪਣੇ ਲਈ ਮੌਤ ਮੰਗਣ ਲੱਗਾ ਕਿ “ਮੇਰੇ ਲਈ ਮਰਨਾ, ਮੇਰੇ ਜੀਉਣ ਨਾਲੋਂ ਚੰਗਾ ਹੈ!”
[IRV | PA | OT | Jonah | Chapter 4 | Verse 9] ਤਦ ਪਰਮੇਸ਼ੁਰ ਨੇ ਯੂਨਾਹ ਨੂੰ ਕਿਹਾ, “ਤੇਰਾ ਕ੍ਰੋਧ ਜੋ ਉਸ ਬੂਟੇ ਦੇ ਕਾਰਨ ਹੈ, ਕੀ ਉਹ ਚੰਗਾ ਹੈ?” ਅੱਗੋਂ ਯੂਨਾਹ ਨੇ ਕਿਹਾ, “ਹਾਂ, ਸਗੋਂ ਕ੍ਰੋਧ ਦੇ ਕਾਰਨ ਮਰਨ ਤੱਕ ਚੰਗਾ ਹੈ!”
[IRV | PA | OT | Jonah | Chapter 4 | Verse 10] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਕਿਹਾ, “ਤੈਨੂੰ ਉਸ ਬੂਟੇ ਉੱਤੇ ਤਰਸ ਆਇਆ, ਜਿਸ ਦੇ ਲਈ ਤੂੰ ਨਾ ਤਾਂ ਕੁਝ ਮਿਹਨਤ ਕੀਤੀ ਅਤੇ ਨਾ ਹੀ ਉਸ ਨੂੰ ਉਗਾਇਆ, ਜਿਹੜਾ ਇੱਕ ਹੀ ਰਾਤ ਵਿੱਚ ਉੱਗਿਆ ਅਤੇ ਇੱਕ ਹੀ ਰਾਤ ਵਿੱਚ ਸੁੱਕ ਗਿਆ।
[IRV | PA | OT | Jonah | Chapter 4 | Verse 11] ਤਦ ਕੀ ਇਸ ਵੱਡੇ ਸ਼ਹਿਰ ਨੀਨਵਾਹ ਉੱਤੇ ਜਿਸ ਦੇ ਵਿੱਚ ਇੱਕ ਲੱਖ ਵੀਹ ਹਜ਼ਾਰ ਤੋਂ ਵੱਧ ਲੋਕ ਹਨ, ਜਿਹੜੇ ਆਪਣੇ ਸੱਜੇ ਖੱਬੇ ਹੱਥ ਦਾ ਭੇਤ ਵੀ ਨਹੀਂ ਪਛਾਣ ਸਕਦੇ ਅਤੇ ਬਹੁਤ ਸਾਰੇ ਪਸ਼ੂ ਵੀ ਹਨ, ਮੈਨੂੰ ਤਰਸ ਨਹੀਂ ਆਉਣਾ ਚਾਹੀਦਾ?”
