[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 1] “మీరూ మీ కొడుకులూ మీ మనుమలూ
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 2] మీ దేవుడైన యెహోవాకు భయపడి, నేను మీకు ఆజ్ఞాపించే ఆయన కట్టడలు, ఆజ్ఞలు అన్నిటినీ మీ జీవితకాలమంతా పాటిస్తే మీరు దీర్ఘాయుష్మంతులు అవుతారు. మీరు స్వాధీనం చేసుకోడానికి నది దాటి వెళ్తున్న దేశంలో మీరు పాటించడానికి మీకు బోధించాలని మీ యెహోవా దేవుడు ఆజ్ఞాపించిన కట్టడలు, విధులు ఇవే.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 3] ఇశ్రాయేలూ, నీ పూర్వీకుల దేవుడైన యెహోవా నీతో చెప్పిన ప్రకారం పాలు తేనెలు ప్రవహించే దేశంలో సుఖశాంతులతో బాగా అభివృద్ధి చెందడానికి నువ్వు వాటిని విని, అనుసరించాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 4] ఇశ్రాయేలూ విను. మన యెహోవా దేవుడు అద్వితీయుడు.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 5] నీ పూర్ణహృదయంతో, నీ పూర్ణాత్మతో, నీ పూర్ణశక్తితో నీ దేవుడైన యెహోవాను ప్రేమించాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 6] ఈ రోజు నేను మీకు ఆజ్ఞాపించే ఈ మాటలు మీ హృదయంలో ఉంచుకోవాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 7] మీరు మీ కొడుకులకు వాటిని నేర్పించి, మీ ఇంట్లో కూర్చున్నప్పుడూ దారిలో నడిచేటప్పుడూ నిద్రపోయేటప్పుడూ లేచేటప్పుడూ వాటిని గూర్చి మాట్లాడాలి. సూచనగా వాటిని మీ చేతికి కట్టుకోవాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 8] అవి మీ రెండు కళ్ళ మధ్యలో బాసికం లాగా ఉండాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 9] మీ ఇంట్లో గుమ్మాల మీదా తలుపుల మీదా వాటిని రాయాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 10] మీ దేవుడు యెహోవా మీ పూర్వీకులైన అబ్రాహాము, ఇస్సాకు, యాకోబులతో చేసిన వాగ్దానం ప్రకారం మిమ్మల్ని ఆ దేశంలోకి తీసుకెళ్ళి, మీరు కట్టని గొప్ప, మంచి పట్టణాలను మీకు ఇస్తున్నాడు.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 11] మీరు నింపని మంచి వస్తువులతో నిండిన ఇళ్ళనూ, మీరు తవ్వని బావులనూ, మీరు నాటని ద్రాక్షతోటలనూ ఒలీవ తోటలనూ మీకిస్తున్నాడు.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 12] అక్కడ మీరు తిని, తృప్తి పొందినప్పుడు, బానిసలుగా ఉన్న ఐగుప్తు దేశం నుండి మిమ్మల్ని రప్పించిన యెహోవాను మరచిపోకుండా జాగ్రత్త వహించాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 13] మీ యెహోవా దేవునికే భయపడాలి, ఆయననే పూజించాలి, ఆయన పేరట మాత్రమే ప్రమాణం చేయాలి.
[IRV | TE | OT | Deuteronomy | Chapter 6 | Verse 14] మీరు ఇతర దేవుళ్ళను, అంటే మీ చుట్టూ ఉన్న ఇతర జాతుల ప్రజల దేవుళ్ళను పూజింపకూడదు.
