[BSB | EN | NT | Luke | Chapter 24 | Verse 1] On the first day of the week, very early in the morning, the women came to the tomb, bringing the spices they had prepared.
[BSB | EN | NT | Luke | Chapter 24 | Verse 2] They found the stone rolled away from the tomb,
[BSB | EN | NT | Luke | Chapter 24 | Verse 3] but when they entered, they did not find the body of the Lord Jesus.
[BSB | EN | NT | Luke | Chapter 24 | Verse 4] While they were puzzling over this, suddenly two men in radiant apparel stood beside them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 5] As the women bowed their faces to the ground in terror, the two men asked them, “Why do you look for the living among the dead?
[BSB | EN | NT | Luke | Chapter 24 | Verse 6] He is not here; He has risen! Remember how He told you while He was still in Galilee:
[BSB | EN | NT | Luke | Chapter 24 | Verse 7] ‘The Son of Man must be delivered into the hands of sinful men, and be crucified, and on the third day rise again.’”
[BSB | EN | NT | Luke | Chapter 24 | Verse 8] Then they remembered His words.
[BSB | EN | NT | Luke | Chapter 24 | Verse 9] And when they returned from the tomb, they reported all these things to the Eleven and to all the others.
[BSB | EN | NT | Luke | Chapter 24 | Verse 10] It was Mary Magdalene, Joanna, Mary the mother of James, and the other women with them who told this to the apostles.
[BSB | EN | NT | Luke | Chapter 24 | Verse 11] But their words seemed like nonsense to them, and they did not believe the women.
[BSB | EN | NT | Luke | Chapter 24 | Verse 12] Peter, however, got up and ran to the tomb. And after bending down and seeing only the linen cloths, he went away, wondering to himself what had happened.
[BSB | EN | NT | Luke | Chapter 24 | Verse 13] That same day two of them were going to a village called Emmaus, about seven miles from Jerusalem.
[BSB | EN | NT | Luke | Chapter 24 | Verse 14] They were talking with each other about everything that had happened.
[BSB | EN | NT | Luke | Chapter 24 | Verse 15] And as they talked and deliberated, Jesus Himself came up and walked along with them.
[BSB | EN | NT | Luke | Chapter 24 | Verse 16] But their eyes were kept from recognizing Him.
[BSB | EN | NT | Luke | Chapter 24 | Verse 17] He asked them, “What are you discussing so intently as you walk along?” They stood still, with sadness on their faces.
[BSB | EN | NT | Luke | Chapter 24 | Verse 18] One of them, named Cleopas, asked Him, “Are You the only visitor to Jerusalem who does not know the things that have happened there in recent days?”
[BSB | EN | NT | Luke | Chapter 24 | Verse 19] “What things?” He asked. “The events involving Jesus of Nazareth,” they answered. “This man was a prophet, powerful in speech and action before God and all the people.
[BSB | EN | NT | Luke | Chapter 24 | Verse 20] Our chief priests and rulers delivered Him up to the sentence of death, and they crucified Him.
[BSB | EN | NT | Luke | Chapter 24 | Verse 21] But we were hoping He was the One who would redeem Israel. And besides all this, it is the third day since these things took place.
[BSB | EN | NT | Luke | Chapter 24 | Verse 22] Furthermore, some of our women astounded us. They were at the tomb early this morning,
[BSB | EN | NT | Luke | Chapter 24 | Verse 23] but they did not find His body. They came and told us they had seen a vision of angels, who said that Jesus was alive.
[BSB | EN | NT | Luke | Chapter 24 | Verse 24] Then some of our companions went to the tomb and found it just as the women had described. But Him they did not see.”
[BSB | EN | NT | Luke | Chapter 24 | Verse 25] Then Jesus said to them, “O foolish ones, how slow are your hearts to believe all that the prophets have spoken!
[BSB | EN | NT | Luke | Chapter 24 | Verse 26] Was it not necessary for the Christ to suffer these things and then to enter His glory?”
[BSB | EN | NT | Luke | Chapter 24 | Verse 27] And beginning with Moses and all the Prophets, He explained to them what was written in all the Scriptures about Himself.
