[BSB | EN | NT | Luke | Chapter 21 | Verse 1] Then Jesus looked up and saw the rich putting their gifts into the treasury,
[BSB | EN | NT | Luke | Chapter 21 | Verse 2] and He saw a poor widow put in two small copper coins.
[BSB | EN | NT | Luke | Chapter 21 | Verse 3] “Truly I tell you,” He said, “this poor widow has put in more than all the others.
[BSB | EN | NT | Luke | Chapter 21 | Verse 4] For they all contributed out of their surplus, but she out of her poverty has put in all she had to live on.”
[BSB | EN | NT | Luke | Chapter 21 | Verse 5] As some of the disciples were remarking how the temple was adorned with beautiful stones and consecrated gifts, Jesus said,
[BSB | EN | NT | Luke | Chapter 21 | Verse 6] “As for what you see here, the time will come when not one stone will be left on another; every one will be thrown down.”
[BSB | EN | NT | Luke | Chapter 21 | Verse 7] “Teacher,” they asked, “when will these things happen? And what will be the sign that they are about to take place?”
[BSB | EN | NT | Luke | Chapter 21 | Verse 8] Jesus answered, “See to it that you are not deceived. For many will come in My name, claiming, ‘I am He,’ and, ‘The time is near.’ Do not follow them.
[BSB | EN | NT | Luke | Chapter 21 | Verse 9] When you hear of wars and rebellions, do not be alarmed. These things must happen first, but the end is not imminent.”
[BSB | EN | NT | Luke | Chapter 21 | Verse 10] Then He told them, “Nation will rise against nation, and kingdom against kingdom.
[BSB | EN | NT | Luke | Chapter 21 | Verse 11] There will be great earthquakes, famines, and pestilences in various places, along with fearful sights and great signs from heaven.
[BSB | EN | NT | Luke | Chapter 21 | Verse 12] But before all this, they will seize you and persecute you. On account of My name they will deliver you to the synagogues and prisons, and they will bring you before kings and governors.
[BSB | EN | NT | Luke | Chapter 21 | Verse 13] This will be your opportunity to serve as witnesses.
[BSB | EN | NT | Luke | Chapter 21 | Verse 14] So make up your mind not to worry beforehand how to defend yourselves.
[BSB | EN | NT | Luke | Chapter 21 | Verse 15] For I will give you speech and wisdom that none of your adversaries will be able to resist or contradict.
[BSB | EN | NT | Luke | Chapter 21 | Verse 16] You will be betrayed even by parents and brothers and relatives and friends, and some of you will be put to death.
[BSB | EN | NT | Luke | Chapter 21 | Verse 17] And you will be hated by everyone because of My name.
[BSB | EN | NT | Luke | Chapter 21 | Verse 18] Yet not even a hair of your head will perish.
[BSB | EN | NT | Luke | Chapter 21 | Verse 19] By your patient endurance you will gain your souls.
[BSB | EN | NT | Luke | Chapter 21 | Verse 20] But when you see Jerusalem surrounded by armies, you will know that her desolation is near.
[BSB | EN | NT | Luke | Chapter 21 | Verse 21] Then let those who are in Judea flee to the mountains, let those in the city get out, and let those in the country stay out of the city.
[BSB | EN | NT | Luke | Chapter 21 | Verse 22] For these are the days of vengeance, to fulfill all that is written.
[BSB | EN | NT | Luke | Chapter 21 | Verse 23] How miserable those days will be for pregnant and nursing mothers! For there will be great distress upon the land and wrath against this people.
[BSB | EN | NT | Luke | Chapter 21 | Verse 24] They will fall by the edge of the sword and be led captive into all the nations. And Jerusalem will be trodden down by the Gentiles, until the times of the Gentiles are fulfilled.
[BSB | EN | NT | Luke | Chapter 21 | Verse 25] There will be signs in the sun and moon and stars, and on the earth dismay among the nations, bewildered by the roaring of the sea and the surging of the waves.
[BSB | EN | NT | Luke | Chapter 21 | Verse 26] Men will faint from fear and anxiety over what is coming upon the earth, for the powers of the heavens will be shaken.
[BSB | EN | NT | Luke | Chapter 21 | Verse 27] At that time they will see the Son of Man coming in a cloud with power and great glory.
[BSB | EN | NT | Luke | Chapter 21 | Verse 28] When these things begin to happen, stand up and lift up your heads, because your redemption is drawing near.”
[BSB | EN | NT | Luke | Chapter 21 | Verse 29] Then Jesus told them a parable: “Look at the fig tree and all the trees.
[BSB | EN | NT | Luke | Chapter 21 | Verse 30] When they sprout leaves, you can see for yourselves and know that summer is near.
[BSB | EN | NT | Luke | Chapter 21 | Verse 31] So also, when you see these things happening, know that the kingdom of God is near.
[BSB | EN | NT | Luke | Chapter 21 | Verse 32] Truly I tell you, this generation will not pass away until all these things have happened.
[BSB | EN | NT | Luke | Chapter 21 | Verse 33] Heaven and earth will pass away, but My words will never pass away.
[BSB | EN | NT | Luke | Chapter 21 | Verse 34] But watch yourselves, or your hearts will be weighed down by dissipation, drunkenness, and the worries of life—and that day will spring upon you suddenly like a snare.
[BSB | EN | NT | Luke | Chapter 21 | Verse 35] For it will come upon all who dwell on the face of all the earth.
[BSB | EN | NT | Luke | Chapter 21 | Verse 36] So keep watch at all times, and pray that you may have the strength to escape all that is about to happen and to stand before the Son of Man.”
[BSB | EN | NT | Luke | Chapter 21 | Verse 37] Every day Jesus taught at the temple, but every evening He went out to spend the night on the Mount of Olives.
[BSB | EN | NT | Luke | Chapter 21 | Verse 38] And early in the morning all the people would come to hear Him at the temple.
