[BSB | EN | NT | Luke | Chapter 18 | Verse 1] Then Jesus told them a parable about their need to pray at all times and not lose heart:
[BSB | EN | NT | Luke | Chapter 18 | Verse 2] “In a certain town there was a judge who neither feared God nor respected men.
[BSB | EN | NT | Luke | Chapter 18 | Verse 3] And there was a widow in that town who kept appealing to him, ‘Give me justice against my adversary.’
[BSB | EN | NT | Luke | Chapter 18 | Verse 4] For a while he refused, but later he said to himself, ‘Though I neither fear God nor respect men,
[BSB | EN | NT | Luke | Chapter 18 | Verse 5] yet because this widow keeps pestering me, I will give her justice. Then she will stop wearing me out with her perpetual requests.’”
[BSB | EN | NT | Luke | Chapter 18 | Verse 6] And the Lord said, “Listen to the words of the unjust judge.
[BSB | EN | NT | Luke | Chapter 18 | Verse 7] Will not God bring about justice for His elect who cry out to Him day and night? Will He continue to defer their help?
[BSB | EN | NT | Luke | Chapter 18 | Verse 8] I tell you, He will promptly carry out justice on their behalf. Nevertheless, when the Son of Man comes, will He find faith on earth?”
[BSB | EN | NT | Luke | Chapter 18 | Verse 9] To some who trusted in their own righteousness and viewed others with contempt, He also told this parable:
[BSB | EN | NT | Luke | Chapter 18 | Verse 10] “Two men went up to the temple to pray. One was a Pharisee and the other a tax collector.
[BSB | EN | NT | Luke | Chapter 18 | Verse 11] The Pharisee stood by himself and prayed, ‘God, I thank You that I am not like the other men—swindlers, evildoers, adulterers—or even like this tax collector.
[BSB | EN | NT | Luke | Chapter 18 | Verse 12] I fast twice a week and pay tithes of all that I acquire.’
[BSB | EN | NT | Luke | Chapter 18 | Verse 13] But the tax collector stood at a distance, unwilling even to lift up his eyes to heaven. Instead, he beat his breast and said, ‘God, have mercy on me, a sinner!’
[BSB | EN | NT | Luke | Chapter 18 | Verse 14] I tell you, this man, rather than the Pharisee, went home justified. For everyone who exalts himself will be humbled, but the one who humbles himself will be exalted.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 15] Now people were even bringing their babies to Jesus for Him to place His hands on them. And when the disciples saw this, they rebuked those who brought them.
[BSB | EN | NT | Luke | Chapter 18 | Verse 16] But Jesus called the children to Him and said, “Let the little children come to Me, and do not hinder them! For the kingdom of God belongs to such as these.
[BSB | EN | NT | Luke | Chapter 18 | Verse 17] Truly I tell you, anyone who does not receive the kingdom of God like a little child will never enter it.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 18] Then a certain ruler asked Him, “Good Teacher, what must I do to inherit eternal life?”
[BSB | EN | NT | Luke | Chapter 18 | Verse 19] “Why do you call Me good?” Jesus replied. “No one is good except God alone.
[BSB | EN | NT | Luke | Chapter 18 | Verse 20] You know the commandments: ‘Do not commit adultery, do not murder, do not steal, do not bear false witness, honor your father and mother.’”
[BSB | EN | NT | Luke | Chapter 18 | Verse 21] “All these I have kept from my youth,” he said.
[BSB | EN | NT | Luke | Chapter 18 | Verse 22] On hearing this, Jesus told him, “You still lack one thing: Sell everything you own and give to the poor, and you will have treasure in heaven. Then come, follow Me.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 23] But when the ruler heard this, he became very sad, because he was extremely wealthy.
[BSB | EN | NT | Luke | Chapter 18 | Verse 24] Seeing the man’s sadness, Jesus said, “How hard it is for the rich to enter the kingdom of God!
[BSB | EN | NT | Luke | Chapter 18 | Verse 25] Indeed, it is easier for a camel to pass through the eye of a needle than for a rich man to enter the kingdom of God.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 26] Those who heard this asked, “Who then can be saved?”
[BSB | EN | NT | Luke | Chapter 18 | Verse 27] But Jesus said, “What is impossible with man is possible with God.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 28] “Look,” said Peter, “we have left all we had to follow You.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 29] “Truly I tell you,” Jesus replied, “no one who has left home or wife or brothers or parents or children for the sake of the kingdom of God
[BSB | EN | NT | Luke | Chapter 18 | Verse 30] will fail to receive many times more in this age—and in the age to come, eternal life.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 31] Then Jesus took the Twelve aside and said to them, “Look, we are going up to Jerusalem, and everything the prophets have written about the Son of Man will be fulfilled.
[BSB | EN | NT | Luke | Chapter 18 | Verse 32] He will be delivered over to the Gentiles and will be mocked and insulted and spit upon.
[BSB | EN | NT | Luke | Chapter 18 | Verse 33] They will flog Him and kill Him, and on the third day He will rise again.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 34] But the disciples did not understand any of these things. The meaning was hidden from them, and they did not comprehend what He was saying.
[BSB | EN | NT | Luke | Chapter 18 | Verse 35] As Jesus drew near to Jericho, a blind man was sitting beside the road, begging.
[BSB | EN | NT | Luke | Chapter 18 | Verse 36] When he heard the crowd going by, he asked what was happening.
[BSB | EN | NT | Luke | Chapter 18 | Verse 37] “Jesus of Nazareth is passing by,” they told him.
[BSB | EN | NT | Luke | Chapter 18 | Verse 38] So he called out, “Jesus, Son of David, have mercy on me!”
[BSB | EN | NT | Luke | Chapter 18 | Verse 39] Those who led the way admonished him to be silent, but he cried out all the louder, “Son of David, have mercy on me!”
[BSB | EN | NT | Luke | Chapter 18 | Verse 40] Jesus stopped and directed that the man be brought to Him. When he had been brought near, Jesus asked him,
[BSB | EN | NT | Luke | Chapter 18 | Verse 41] “What do you want Me to do for you?” “Lord,” he said, “let me see again.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 42] “Receive your sight!” Jesus replied. “Your faith has healed you.”
[BSB | EN | NT | Luke | Chapter 18 | Verse 43] Immediately he received his sight and followed Jesus, glorifying God. And all the people who saw this gave praise to God.
