[BSB | EN | NT | Luke | Chapter 22 | Verse 1] Now the Feast of Unleavened Bread, called the Passover, was approaching,
[BSB | EN | NT | Luke | Chapter 22 | Verse 2] and the chief priests and scribes were looking for a way to put Jesus to death; for they feared the people.
[BSB | EN | NT | Luke | Chapter 22 | Verse 3] Then Satan entered Judas Iscariot, who was one of the Twelve.
[BSB | EN | NT | Luke | Chapter 22 | Verse 4] And Judas went to discuss with the chief priests and temple officers how he might betray Jesus to them.
[BSB | EN | NT | Luke | Chapter 22 | Verse 5] They were delighted and agreed to give him money.
[BSB | EN | NT | Luke | Chapter 22 | Verse 6] Judas consented, and began to look for an opportunity to betray Jesus to them in the absence of a crowd.
[BSB | EN | NT | Luke | Chapter 22 | Verse 7] Then came the day of Unleavened Bread on which the Passover lamb was to be sacrificed.
[BSB | EN | NT | Luke | Chapter 22 | Verse 8] Jesus sent Peter and John, saying, “Go and prepare for us to eat the Passover.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 9] “Where do You want us to prepare it?” they asked.
[BSB | EN | NT | Luke | Chapter 22 | Verse 10] He answered, “When you enter the city, a man carrying a jug of water will meet you. Follow him to the house he enters,
[BSB | EN | NT | Luke | Chapter 22 | Verse 11] and say to the owner of that house, ‘The Teacher asks: Where is the guest room, where I may eat the Passover with My disciples?’
[BSB | EN | NT | Luke | Chapter 22 | Verse 12] And he will show you a large upper room, already furnished. Make preparations there.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 13] So they went and found it just as Jesus had told them. And they prepared the Passover.
[BSB | EN | NT | Luke | Chapter 22 | Verse 14] When the hour had come, Jesus reclined at the table with His apostles.
[BSB | EN | NT | Luke | Chapter 22 | Verse 15] And He said to them, “I have eagerly desired to eat this Passover with you before My suffering.
[BSB | EN | NT | Luke | Chapter 22 | Verse 16] For I tell you that I will not eat it again until it is fulfilled in the kingdom of God.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 17] After taking the cup, He gave thanks and said, “Take this and divide it among yourselves.
[BSB | EN | NT | Luke | Chapter 22 | Verse 18] For I tell you that I will not drink of the fruit of the vine from now on until the kingdom of God comes.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 19] And He took the bread, gave thanks and broke it, and gave it to them, saying, “This is My body, given for you; do this in remembrance of Me.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 20] In the same way, after supper He took the cup, saying, “This cup is the new covenant in My blood, which is poured out for you.
[BSB | EN | NT | Luke | Chapter 22 | Verse 21] Look! The hand of My betrayer is with Mine on the table.
[BSB | EN | NT | Luke | Chapter 22 | Verse 22] Indeed, the Son of Man will go as it has been determined, but woe to that man who betrays Him.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 23] Then they began to question among themselves which of them was going to do this.
[BSB | EN | NT | Luke | Chapter 22 | Verse 24] A dispute also arose among the disciples as to which of them would be considered the greatest.
[BSB | EN | NT | Luke | Chapter 22 | Verse 25] So Jesus declared, “The kings of the Gentiles lord it over them, and those in authority over them call themselves benefactors.
[BSB | EN | NT | Luke | Chapter 22 | Verse 26] But you shall not be like them. Instead, the greatest among you should be like the youngest, and the one who leads like the one who serves.
[BSB | EN | NT | Luke | Chapter 22 | Verse 27] For who is greater, the one who reclines at the table or the one who serves? Is it not the one who reclines? But I am among you as one who serves.
[BSB | EN | NT | Luke | Chapter 22 | Verse 28] You are the ones who have stood by Me in My trials.
[BSB | EN | NT | Luke | Chapter 22 | Verse 29] And I bestow on you a kingdom, just as My Father has bestowed one on Me,
[BSB | EN | NT | Luke | Chapter 22 | Verse 30] so that you may eat and drink at My table in My kingdom, and sit on thrones, judging the twelve tribes of Israel.
[BSB | EN | NT | Luke | Chapter 22 | Verse 31] Simon, Simon, Satan has asked to sift each of you like wheat.
[BSB | EN | NT | Luke | Chapter 22 | Verse 32] But I have prayed for you, Simon, that your faith will not fail. And when you have turned back, strengthen your brothers.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 33] “Lord,” said Peter, “I am ready to go with You even to prison and to death.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 34] But Jesus replied, “I tell you, Peter, the rooster will not crow today until you have denied three times that you know Me.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 35] Then Jesus asked them, “When I sent you out without purse or bag or sandals, did you lack anything?” “Nothing,” they answered.
[BSB | EN | NT | Luke | Chapter 22 | Verse 36] “Now, however,” He told them, “the one with a purse should take it, and likewise a bag; and the one without a sword should sell his cloak and buy one.
[BSB | EN | NT | Luke | Chapter 22 | Verse 37] For I tell you that this Scripture must be fulfilled in Me: ‘And He was numbered with the transgressors.’ For what is written about Me is reaching its fulfillment.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 38] So they said, “Look, Lord, here are two swords.” “That is enough,” He answered.
[BSB | EN | NT | Luke | Chapter 22 | Verse 39] Jesus went out as usual to the Mount of Olives, and the disciples followed Him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 40] When He came to the place, He told them, “Pray that you will not enter into temptation.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 41] And He withdrew about a stone’s throw beyond them, where He knelt down and prayed,
[BSB | EN | NT | Luke | Chapter 22 | Verse 42] “Father, if You are willing, take this cup from Me. Yet not My will, but Yours be done.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 43] Then an angel from heaven appeared to Him and strengthened Him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 44] And in His anguish, He prayed more earnestly, and His sweat became like drops of blood falling to the ground.
[BSB | EN | NT | Luke | Chapter 22 | Verse 45] When Jesus rose from prayer and returned to the disciples, He found them asleep, exhausted from sorrow.
[BSB | EN | NT | Luke | Chapter 22 | Verse 46] “Why are you sleeping?” He asked. “Get up and pray so that you will not enter into temptation.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 47] While He was still speaking, a crowd arrived, led by the man called Judas, one of the Twelve. He approached Jesus to kiss Him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 48] But Jesus asked him, “Judas, are you betraying the Son of Man with a kiss?”
[BSB | EN | NT | Luke | Chapter 22 | Verse 49] Those around Jesus saw what was about to happen and said, “Lord, should we strike with our swords?”
[BSB | EN | NT | Luke | Chapter 22 | Verse 50] And one of them struck the servant of the high priest, cutting off his right ear.
[BSB | EN | NT | Luke | Chapter 22 | Verse 51] But Jesus answered, “No more of this!” And He touched the man’s ear and healed him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 52] Then Jesus said to the chief priests, temple officers, and elders who had come for Him, “Have you come out with swords and clubs as you would against an outlaw?
[BSB | EN | NT | Luke | Chapter 22 | Verse 53] Every day I was with you in the temple courts, and you did not lay a hand on Me. But this hour belongs to you and to the power of darkness.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 54] Then they seized Jesus, led Him away, and took Him into the house of the high priest. And Peter followed at a distance.
[BSB | EN | NT | Luke | Chapter 22 | Verse 55] When those present had kindled a fire in the middle of the courtyard and sat down together, Peter sat down among them.
[BSB | EN | NT | Luke | Chapter 22 | Verse 56] A servant girl saw him seated in the firelight and looked intently at him. “This man also was with Him,” she said.
[BSB | EN | NT | Luke | Chapter 22 | Verse 57] But Peter denied it. “Woman, I do not know Him,” he said.
[BSB | EN | NT | Luke | Chapter 22 | Verse 58] A short time later, someone else saw him and said, “You also are one of them.” But Peter said, “Man, I am not.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 59] About an hour later, another man insisted, “Certainly this man was with Him, for he too is a Galilean.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 60] “Man, I do not know what you are talking about,” Peter replied. While he was still speaking, the rooster crowed.
[BSB | EN | NT | Luke | Chapter 22 | Verse 61] And the Lord turned and looked at Peter. Then Peter remembered the word that the Lord had spoken to him: “Before the rooster crows today, you will deny Me three times.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 62] And he went outside and wept bitterly.
[BSB | EN | NT | Luke | Chapter 22 | Verse 63] The men who were holding Jesus began to mock Him and beat Him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 64] They blindfolded Him and kept demanding, “Prophesy! Who hit You?”
[BSB | EN | NT | Luke | Chapter 22 | Verse 65] And they said many other blasphemous things against Him.
[BSB | EN | NT | Luke | Chapter 22 | Verse 66] At daybreak the council of the elders of the people, both the chief priests and scribes, met together. They led Jesus into their Sanhedrin and said,
[BSB | EN | NT | Luke | Chapter 22 | Verse 67] “If You are the Christ, tell us.” Jesus answered, “If I tell you, you will not believe.
[BSB | EN | NT | Luke | Chapter 22 | Verse 68] And if I ask you a question, you will not answer.
[BSB | EN | NT | Luke | Chapter 22 | Verse 69] But from now on the Son of Man will be seated at the right hand of the power of God.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 70] So they all asked, “Are You then the Son of God?” He replied, “You say that I am.”
[BSB | EN | NT | Luke | Chapter 22 | Verse 71] “Why do we need any more testimony?” they declared. “We have heard it for ourselves from His own lips.”
