[BSB | EN | NT | Luke | Chapter 1 | Verse 1] Many have undertaken to compose an account of the things that have been fulfilled among us,
[BSB | EN | NT | Luke | Chapter 1 | Verse 2] just as they were handed down to us by the initial eyewitnesses and servants of the word.
[BSB | EN | NT | Luke | Chapter 1 | Verse 3] Therefore, having carefully investigated everything from the beginning, it seemed good also to me to write an orderly account for you, most excellent Theophilus,
[BSB | EN | NT | Luke | Chapter 1 | Verse 4] so that you may know the certainty of the things you have been taught.
[BSB | EN | NT | Luke | Chapter 1 | Verse 5] In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah, and whose wife Elizabeth was a daughter of Aaron.
[BSB | EN | NT | Luke | Chapter 1 | Verse 6] Both of them were righteous in the sight of God, walking blamelessly in all the commandments and decrees of the Lord.
[BSB | EN | NT | Luke | Chapter 1 | Verse 7] But they had no children, because Elizabeth was barren, and they were both well along in years.
[BSB | EN | NT | Luke | Chapter 1 | Verse 8] One day while Zechariah’s division was on duty and he was serving as priest before God,
[BSB | EN | NT | Luke | Chapter 1 | Verse 9] he was chosen by lot, according to the custom of the priesthood, to enter the temple of the Lord and burn incense.
[BSB | EN | NT | Luke | Chapter 1 | Verse 10] And at the hour of the incense offering, the whole congregation was praying outside.
[BSB | EN | NT | Luke | Chapter 1 | Verse 11] Just then an angel of the Lord appeared to Zechariah, standing at the right side of the altar of incense.
[BSB | EN | NT | Luke | Chapter 1 | Verse 12] When Zechariah saw him, he was startled and gripped with fear.
[BSB | EN | NT | Luke | Chapter 1 | Verse 13] But the angel said to him, “Do not be afraid, Zechariah, because your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to give him the name John.
[BSB | EN | NT | Luke | Chapter 1 | Verse 14] He will be a joy and delight to you, and many will rejoice at his birth,
[BSB | EN | NT | Luke | Chapter 1 | Verse 15] for he will be great in the sight of the Lord. He shall never take wine or strong drink, and he will be filled with the Holy Spirit even from his mother’s womb.
[BSB | EN | NT | Luke | Chapter 1 | Verse 16] Many of the sons of Israel he will turn back to the Lord their God.
[BSB | EN | NT | Luke | Chapter 1 | Verse 17] And he will go on before the Lord in the spirit and power of Elijah, to turn the hearts of the fathers to their children and the disobedient to the wisdom of the righteous—to make ready a people prepared for the Lord.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 18] “How can I be sure of this?” Zechariah asked the angel. “I am an old man, and my wife is well along in years.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 19] “I am Gabriel,” replied the angel. “I stand in the presence of God, and I have been sent to speak to you and to bring you this good news.
[BSB | EN | NT | Luke | Chapter 1 | Verse 20] And now you will be silent and unable to speak until the day this comes to pass, because you did not believe my words, which will be fulfilled at their proper time.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 21] Meanwhile, the people were waiting for Zechariah and wondering why he took so long in the temple.
[BSB | EN | NT | Luke | Chapter 1 | Verse 22] When he came out and was unable to speak to them, they realized he had seen a vision in the temple. He kept making signs to them but remained speechless.
[BSB | EN | NT | Luke | Chapter 1 | Verse 23] And when the days of his service were complete, he returned home.
[BSB | EN | NT | Luke | Chapter 1 | Verse 24] After these days, his wife Elizabeth became pregnant and for five months remained in seclusion. She declared,
[BSB | EN | NT | Luke | Chapter 1 | Verse 25] “The Lord has done this for me. In these days He has shown me favor and taken away my disgrace among the people.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 26] In the sixth month, God sent the angel Gabriel to a town in Galilee called Nazareth,
[BSB | EN | NT | Luke | Chapter 1 | Verse 27] to a virgin pledged in marriage to a man named Joseph, who was of the house of David. And the virgin’s name was Mary.
[BSB | EN | NT | Luke | Chapter 1 | Verse 28] The angel appeared to her and said, “Greetings, you who are highly favored! The Lord is with you.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 29] Mary was greatly troubled at his words and wondered what kind of greeting this might be.
[BSB | EN | NT | Luke | Chapter 1 | Verse 30] So the angel told her, “Do not be afraid, Mary, for you have found favor with God.
[BSB | EN | NT | Luke | Chapter 1 | Verse 31] Behold, you will conceive and give birth to a son, and you are to give Him the name Jesus.
[BSB | EN | NT | Luke | Chapter 1 | Verse 32] He will be great and will be called the Son of the Most High. The Lord God will give Him the throne of His father David,
[BSB | EN | NT | Luke | Chapter 1 | Verse 33] and He will reign over the house of Jacob forever. His kingdom will never end!”
[BSB | EN | NT | Luke | Chapter 1 | Verse 34] “How can this be,” Mary asked the angel, “since I am a virgin?”
[BSB | EN | NT | Luke | Chapter 1 | Verse 35] The angel replied, “The Holy Spirit will come upon you, and the power of the Most High will overshadow you. So the Holy One to be born will be called the Son of God.
[BSB | EN | NT | Luke | Chapter 1 | Verse 36] Look, even Elizabeth your relative has conceived a son in her old age, and she who was called barren is in her sixth month.
[BSB | EN | NT | Luke | Chapter 1 | Verse 37] For no word from God will ever fail.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 38] “I am the Lord’s servant,” Mary answered. “May it happen to me according to your word.” Then the angel left her.
[BSB | EN | NT | Luke | Chapter 1 | Verse 39] In those days Mary got ready and hurried to a town in the hill country of Judah,
[BSB | EN | NT | Luke | Chapter 1 | Verse 40] where she entered the home of Zechariah and greeted Elizabeth.
[BSB | EN | NT | Luke | Chapter 1 | Verse 41] When Elizabeth heard Mary’s greeting, the baby leaped in her womb, and Elizabeth was filled with the Holy Spirit.
[BSB | EN | NT | Luke | Chapter 1 | Verse 42] In a loud voice she exclaimed, “Blessed are you among women, and blessed is the fruit of your womb!
[BSB | EN | NT | Luke | Chapter 1 | Verse 43] And why am I so honored, that the mother of my Lord should come to me?
[BSB | EN | NT | Luke | Chapter 1 | Verse 44] For as soon as the sound of your greeting reached my ears, the baby in my womb leaped for joy.
[BSB | EN | NT | Luke | Chapter 1 | Verse 45] Blessed is she who has believed that the Lord’s word to her will be fulfilled.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 46] Then Mary said: “My soul magnifies the Lord,
[BSB | EN | NT | Luke | Chapter 1 | Verse 47] and my spirit rejoices in God my Savior!
[BSB | EN | NT | Luke | Chapter 1 | Verse 48] For He has looked with favor on the humble state of His servant. From now on all generations will call me blessed.
[BSB | EN | NT | Luke | Chapter 1 | Verse 49] For the Mighty One has done great things for me. Holy is His name.
[BSB | EN | NT | Luke | Chapter 1 | Verse 50] His mercy extends to those who fear Him, from generation to generation.
[BSB | EN | NT | Luke | Chapter 1 | Verse 51] He has performed mighty deeds with His arm; He has scattered those who are proud in the thoughts of their hearts.
[BSB | EN | NT | Luke | Chapter 1 | Verse 52] He has brought down rulers from their thrones, but has exalted the humble.
[BSB | EN | NT | Luke | Chapter 1 | Verse 53] He has filled the hungry with good things, but has sent the rich away empty.
[BSB | EN | NT | Luke | Chapter 1 | Verse 54] He has helped His servant Israel, remembering to be merciful,
[BSB | EN | NT | Luke | Chapter 1 | Verse 55] as He promised to our fathers, to Abraham and his descendants forever.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 56] Mary stayed with Elizabeth for about three months and then returned home.
[BSB | EN | NT | Luke | Chapter 1 | Verse 57] When the time came for Elizabeth to have her child, she gave birth to a son.
[BSB | EN | NT | Luke | Chapter 1 | Verse 58] Her neighbors and relatives heard that the Lord had shown her great mercy, and they rejoiced with her.
[BSB | EN | NT | Luke | Chapter 1 | Verse 59] On the eighth day, when they came to circumcise the child, they were going to name him after his father Zechariah.
[BSB | EN | NT | Luke | Chapter 1 | Verse 60] But his mother replied, “No! He shall be called John.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 61] They said to her, “There is no one among your relatives who bears this name.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 62] So they made signs to his father to find out what he wanted to name the child.
[BSB | EN | NT | Luke | Chapter 1 | Verse 63] Zechariah asked for a tablet and wrote, “His name is John.” And they were all amazed.
[BSB | EN | NT | Luke | Chapter 1 | Verse 64] Immediately Zechariah’s mouth was opened and his tongue was released, and he began to speak, praising God.
[BSB | EN | NT | Luke | Chapter 1 | Verse 65] All their neighbors were filled with awe, and people throughout the hill country of Judea were talking about these events.
[BSB | EN | NT | Luke | Chapter 1 | Verse 66] And all who heard this wondered in their hearts and asked, “What then will this child become?” For the Lord’s hand was with him.
[BSB | EN | NT | Luke | Chapter 1 | Verse 67] Then his father Zechariah was filled with the Holy Spirit and prophesied:
[BSB | EN | NT | Luke | Chapter 1 | Verse 68] “Blessed be the Lord, the God of Israel, because He has visited and redeemed His people.
[BSB | EN | NT | Luke | Chapter 1 | Verse 69] He has raised up a horn of salvation for us in the house of His servant David,
[BSB | EN | NT | Luke | Chapter 1 | Verse 70] as He spoke through His holy prophets, those of ages past,
[BSB | EN | NT | Luke | Chapter 1 | Verse 71] salvation from our enemies and from the hand of all who hate us,
[BSB | EN | NT | Luke | Chapter 1 | Verse 72] to show mercy to our fathers and to remember His holy covenant,
[BSB | EN | NT | Luke | Chapter 1 | Verse 73] the oath He swore to our father Abraham, to grant us
[BSB | EN | NT | Luke | Chapter 1 | Verse 74] deliverance from hostile hands, that we may serve Him without fear,
[BSB | EN | NT | Luke | Chapter 1 | Verse 75] in holiness and righteousness before Him all the days of our lives.
[BSB | EN | NT | Luke | Chapter 1 | Verse 76] And you, child, will be called a prophet of the Most High; for you will go on before the Lord to prepare the way for Him,
[BSB | EN | NT | Luke | Chapter 1 | Verse 77] to give to His people the knowledge of salvation through the forgiveness of their sins,
[BSB | EN | NT | Luke | Chapter 1 | Verse 78] because of the tender mercy of our God, by which the Dawn will visit us from on high,
[BSB | EN | NT | Luke | Chapter 1 | Verse 79] to shine on those who live in darkness and in the shadow of death, to guide our feet into the path of peace.”
[BSB | EN | NT | Luke | Chapter 1 | Verse 80] And the child grew and became strong in spirit; and he lived in the wilderness until the time of his public appearance to Israel.
