[BSB | EN | NT | Luke | Chapter 4 | Verse 1] Then Jesus, full of the Holy Spirit, returned from the Jordan and was led by the Spirit into the wilderness,
[BSB | EN | NT | Luke | Chapter 4 | Verse 2] where for forty days He was tempted by the devil. He ate nothing during those days, and when they had ended, He was hungry.
[BSB | EN | NT | Luke | Chapter 4 | Verse 3] The devil said to Him, “If You are the Son of God, tell this stone to become bread.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 4] But Jesus answered, “It is written: ‘Man shall not live on bread alone.’”
[BSB | EN | NT | Luke | Chapter 4 | Verse 5] Then the devil led Him up to a high place and showed Him in an instant all the kingdoms of the world.
[BSB | EN | NT | Luke | Chapter 4 | Verse 6] “I will give You authority over all these kingdoms and all their glory,” he said. “For it has been relinquished to me, and I can give it to anyone I wish.
[BSB | EN | NT | Luke | Chapter 4 | Verse 7] So if You worship me, it will all be Yours.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 8] But Jesus answered, “It is written: ‘Worship the Lord your God and serve Him only.’”
[BSB | EN | NT | Luke | Chapter 4 | Verse 9] Then the devil led Him to Jerusalem and set Him on the pinnacle of the temple. “If You are the Son of God,” he said, “throw Yourself down from here.
[BSB | EN | NT | Luke | Chapter 4 | Verse 10] For it is written: ‘He will command His angels concerning You to guard You carefully;
[BSB | EN | NT | Luke | Chapter 4 | Verse 11] and they will lift You up in their hands, so that You will not strike Your foot against a stone.’”
[BSB | EN | NT | Luke | Chapter 4 | Verse 12] But Jesus answered, “It also says, ‘Do not put the Lord your God to the test.’”
[BSB | EN | NT | Luke | Chapter 4 | Verse 13] When the devil had finished every temptation, he left Him until an opportune time.
[BSB | EN | NT | Luke | Chapter 4 | Verse 14] Jesus returned to Galilee in the power of the Spirit, and the news about Him spread throughout the surrounding region.
[BSB | EN | NT | Luke | Chapter 4 | Verse 15] He taught in their synagogues and was glorified by everyone.
[BSB | EN | NT | Luke | Chapter 4 | Verse 16] Then Jesus came to Nazareth, where He had been brought up. As was His custom, He entered the synagogue on the Sabbath. And when He stood up to read,
[BSB | EN | NT | Luke | Chapter 4 | Verse 17] the scroll of the prophet Isaiah was handed to Him. Unrolling it, He found the place where it was written:
[BSB | EN | NT | Luke | Chapter 4 | Verse 18] “The Spirit of the Lord is on Me, because He has anointed Me to preach good news to the poor. He has sent Me to proclaim liberty to the captives and recovery of sight to the blind, to release the oppressed,
[BSB | EN | NT | Luke | Chapter 4 | Verse 19] to proclaim the year of the Lord’s favor.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 20] Then He rolled up the scroll, returned it to the attendant, and sat down. The eyes of everyone in the synagogue were fixed on Him,
[BSB | EN | NT | Luke | Chapter 4 | Verse 21] and He began by saying, “Today this Scripture is fulfilled in your hearing.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 22] All spoke well of Him and marveled at the gracious words that came from His lips. “Isn’t this the son of Joseph?” they asked.
[BSB | EN | NT | Luke | Chapter 4 | Verse 23] Jesus said to them, “Surely you will quote this proverb to Me: ‘Physician, heal yourself! Do here in Your hometown what we have heard that You did in Capernaum.’”
[BSB | EN | NT | Luke | Chapter 4 | Verse 24] Then He added, “Truly I tell you, no prophet is accepted in his hometown.
[BSB | EN | NT | Luke | Chapter 4 | Verse 25] But I tell you truthfully that there were many widows in Israel in the time of Elijah, when the sky was shut for three and a half years and great famine swept over all the land.
[BSB | EN | NT | Luke | Chapter 4 | Verse 26] Yet Elijah was not sent to any of them, but to the widow of Zarephath in Sidon.
[BSB | EN | NT | Luke | Chapter 4 | Verse 27] And there were many lepers in Israel in the time of Elisha the prophet. Yet not one of them was cleansed—only Naaman the Syrian.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 28] On hearing this, all the people in the synagogue were enraged.
[BSB | EN | NT | Luke | Chapter 4 | Verse 29] They got up, drove Him out of the town, and led Him to the brow of the hill on which the town was built, in order to throw Him over the cliff.
[BSB | EN | NT | Luke | Chapter 4 | Verse 30] But Jesus passed through the crowd and went on His way.
[BSB | EN | NT | Luke | Chapter 4 | Verse 31] Then He went down to Capernaum, a town in Galilee, and on the Sabbath He began to teach the people.
[BSB | EN | NT | Luke | Chapter 4 | Verse 32] They were astonished at His teaching, because His message had authority.
[BSB | EN | NT | Luke | Chapter 4 | Verse 33] In the synagogue there was a man possessed by the spirit of an unclean demon. He cried out in a loud voice,
[BSB | EN | NT | Luke | Chapter 4 | Verse 34] “Ha! What do You want with us, Jesus of Nazareth? Have You come to destroy us? I know who You are—the Holy One of God!”
[BSB | EN | NT | Luke | Chapter 4 | Verse 35] But Jesus rebuked the demon. “Be silent!” He said. “Come out of him!” At this, the demon threw the man down before them all and came out without harming him.
[BSB | EN | NT | Luke | Chapter 4 | Verse 36] All the people were overcome with amazement and asked one another, “What is this message? With authority and power He commands the unclean spirits, and they come out!”
[BSB | EN | NT | Luke | Chapter 4 | Verse 37] And the news about Jesus spread throughout the surrounding region.
[BSB | EN | NT | Luke | Chapter 4 | Verse 38] After Jesus had left the synagogue, He went to the home of Simon, whose mother-in-law was suffering from a high fever. So they appealed to Jesus on her behalf,
[BSB | EN | NT | Luke | Chapter 4 | Verse 39] and He stood over her and rebuked the fever, and it left her. And she got up at once and began to serve them.
[BSB | EN | NT | Luke | Chapter 4 | Verse 40] At sunset, all who were ill with various diseases were brought to Jesus, and laying His hands on each one, He healed them.
[BSB | EN | NT | Luke | Chapter 4 | Verse 41] Demons also came out of many people, shouting, “You are the Son of God!” But He rebuked the demons and would not allow them to speak, because they knew He was the Christ.
[BSB | EN | NT | Luke | Chapter 4 | Verse 42] At daybreak, Jesus went out to a solitary place, and the crowds were looking for Him. They came to Him and tried to keep Him from leaving.
[BSB | EN | NT | Luke | Chapter 4 | Verse 43] But Jesus told them, “I must preach the good news of the kingdom of God to the other towns as well, because that is why I was sent.”
[BSB | EN | NT | Luke | Chapter 4 | Verse 44] And He continued to preach in the synagogues of Judea.
