[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 1] પણ એ જાણી લો કે અંતના દિવસોમાં સંકટના સમયો આવશે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 2] કેમ કે માણસો સ્વાર્થી, દ્રવ્યલોભી, આપવડાઈ કરનારા, ગર્વિષ્ઠ, નિંદક, માબાપને અનાજ્ઞાંકિત, અનુપકારી, અશુદ્ધ,
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 3] પ્રેમ રહિત, ક્રૂર, બટ્ટા મૂકનારા, અસંયમી, જંગલી, શુભદ્વેષી,
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 4] વિશ્વાસઘાતી, અવિચારી, અહંકારી, ઈશ્વર પર નહિ પણ મોજશોખ પર પ્રેમ રાખનારા.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 5] ભક્તિભાવનો દેખાવ કરીને તેના પરાક્રમનો નકાર કરનારા એવા થશે; આવા લોકોથી તું દુર રહે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 6] તેઓમાંના કેટલાક લોકો એવા છે કે જેઓ બીજાના ઘરમાં ઘૂસીને મૂર્ખ, પાપથી લદાયેલી, વિવિધ પ્રકારની દુર્વાસનાઓથી ભટકી ગયેલી,
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 7] હંમેશા શિક્ષણ લેનારી પણ સત્યનું જ્ઞાન પામી શકતી નથી, એવી સ્ત્રીઓને પોતાના વશમાં કરી લે છે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 8] જેમ જન્નેસતથા જાંબ્રેસે મૂસાને વિરોધ કર્યો હતો, તેમ આવા માણસો પણ સત્યની સામા થાય છે; તેઓ ભ્રષ્ટ બુદ્ધિના, વિશ્વાસ સંબંધી નકામા થયેલા માણસો છે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 9] પણ તેઓ આગળ વધવાના નથી; કેમ કે જેમ એ બન્નેની મૂર્ખતા પ્રગટ થઈ, તેમ તેઓની મૂર્ખાઈ પણ સર્વની આગળ પ્રગટ થશે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 10] પણ મારો ઉપદેશ, આચરણ, હેતુ, વિશ્વાસ, સહનશીલતા, પ્રેમ, તથા ધીરજ,
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 11] લક્ષમાં રાખીને તથા મારી જે સતાવણી થઈ તથા દુઃખો પડ્યા, અને અંત્યોખમાં, ઇકોનિયામાં, તથા લુસ્ત્રામાં જે સતાવણી મેં સહન કરી તે બધામાં તું મારી પાછળ ચાલ્યો હતો; અને આ સઘળાં દુઃખોમાંથી પ્રભુએ મને બચાવ્યો.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 12] જેઓ ખ્રિસ્ત ઈસુમાં ભક્તિભાવથી ચાલવા ઇચ્છે છે, તેઓ સર્વની સતાવણી થશે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 13] દુષ્ટ અને છેતરનારા લોકો વધારે દુષ્ટ થતા જશે. તેઓ જે સત્ય છે તેનાથી લોકોને દૂર લઈ જશે, અને બીજાઓને પણ તે તરફ પોતાને દૂર કરવા દોરી જશે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 14] પણ તું તો, જે શીખ્યો છે તે પ્રમાણે કરવાનું ચાલુ રાખ, અને જે બાબતો પર તું વિશ્વાસ કરવાનું શીખ્યો છે તે યોગ્ય છે. મને યાદ રાખ, કેમ કે હું એ વ્યક્તિ છું જેણે તને આ બાબતો શીખવી છે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 15] એ પણ યાદ રાખ કે જયારે તું બાળક હતો, ત્યારે તું પ્રભુ તેમના શાસ્ત્રવચનમાં શું કહે છે તે શીખ્યો.એ તને શીખવી શકે કે જયારે આપણે તેમના ઉપર વિશ્વાસ કરીએ છીએ ત્યારે કેવી રીતે ખ્રિસ્ત ઈસુ આપણને બચાવે છે.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 16] દરેક શાસ્ત્રવચન ઈશ્વરનાં આત્મા તરફથી આવ્યું છે, માટે આપણે તેને એ રીતે વાંચીએ કે જેથી ઈશ્વરના વિશેનું સત્ય શીખવી શકીએ. વળી આપણે તેને એવી રીતે વાંચવું કે આપણે લોકોને સમજાવી શકીએ કે તેઓ સત્ય પર વિશ્વાસ કરે. જયારે લોકો પાપ કરે ત્યારે તેમને સુધારે. તેમ જ લોકો ને એ પણ શીખવે કે ભલું કેવી રીતે કરવું.
[IRV | GU | NT | 2 Timothy | Chapter 3 | Verse 17] આપણે આ બાબતો એ માટે કરવી જોઈએ કે જેથી જે સર્વ પ્રકારની સારી બાબતો જેની તેને જરૂર છે તે કરવા ઈશ્વર દરેક વિશ્વાસીને તાલીમ આપે.
