[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 1] Παῦλος ἀπόστολος οὐκ ἀπ᾿ ἀνθρώπων, οὐδὲ δι᾿ ἀνθρώπου, ἀλλὰ διὰ Ἰησοῦ Χριστοῦ, καὶ Θεοῦ πατρὸς τοῦ ἐγείραντος αὐτὸν ἐκ νεκρῶν,
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 2] καὶ οἱ σὺν ἐμοὶ πάντες ἀδελφοί, ταῖς ἐκκλησίαις τῆς Γαλατίας·
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 3] χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ πατρός, καὶ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 4] τοῦ δόντος ἑαυτὸν ὑπὲρ τῶν ἁμαρτιῶν ἡμῶν, ὅπως ἐξέληται ἡμᾶς ἐκ τοῦ ἐνεστῶτος αἰῶνος πονηροῦ, κατὰ τὸ θέλημα τοῦ Θεοῦ καὶ πατρὸς ἡμῶν·
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 5] ᾧ ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων. Ἀμήν.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 6] Θαυμάζω ὅτι οὕτω ταχέως μετατίθεσθε ἀπὸ τοῦ καλέσαντος ὑμᾶς ἐν χάριτι Χριστοῦ εἰς ἕτερον εὐαγγέλιον·
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 7] ὃ οὐκ ἔστιν ἄλλο, εἰ μή τινές εἰσιν οἱ ταράσσοντες ὑμᾶς καὶ θέλοντες μεταστρέψαι τὸ εὐαγγέλιον τοῦ Χριστοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 8] Ἀλλὰ καὶ ἐὰν ἡμεῖς ἢ ἄγγελος ἐξ οὐρανοῦ εὐαγγελίζηται ὑμῖν παρ᾿ ὃ εὐηγγελισάμεθα ὑμῖν, ἀνάθεμα ἔστω.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 9] Ὡς προειρήκαμεν, καὶ ἄρτι πάλιν λέγω, εἴ τις ὑμᾶς εὐαγγελίζεται παρ᾿ ὃ παρελάβετε, ἀνάθεμα ἔστω.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 10] Ἄρτι γὰρ ἀνθρώπους πείθω ἢ τὸν Θεόν; Ἢ ζητῶ ἀνθρώποις ἀρέσκειν; Εἰ γὰρ ἔτι ἀνθρώποις ἤρεσκον, Χριστοῦ δοῦλος οὐκ ἂν ἤμην.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 11] Γνωρίζω δὲ ὑμῖν, ἀδελφοί, τὸ εὐαγγέλιον τὸ εὐαγγελισθὲν ὑπ᾿ ἐμοῦ, ὅτι οὐκ ἔστι κατὰ ἄνθρωπον.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 12] Οὐδὲ γὰρ ἐγὼ παρὰ ἀνθρώπου παρέλαβον αὐτό, οὔτε ἐδιδάχθην, ἀλλὰ δι᾿ ἀποκαλύψεως Ἰησοῦ Χριστοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 13] Ἠκούσατε γὰρ τὴν ἐμὴν ἀναστροφήν ποτε ἐν τῷ Ἰουδαϊσμῷ, ὅτι καθ᾿ ὑπερβολὴν ἐδίωκον τὴν ἐκκλησίαν τοῦ Θεοῦ, καὶ ἐπόρθουν αὐτήν·
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 14] καὶ προέκοπτον ἐν τῷ Ἰουδαϊσμῷ ὑπὲρ πολλοὺς συνηλικιώτας ἐν τῷ γένει μου, περισσοτέρως ζηλωτὴς ὑπάρχων τῶν πατρικῶν μου παραδόσεων.
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 15] Ὅτε δὲ εὐδόκησεν ὁ Θεὸς ὁ ἀφορίσας με ἐκ κοιλίας μητρός μου καὶ καλέσας διὰ τῆς χάριτος αὐτοῦ,
[GRCGTR | EL | NT | Galatians | Chapter 1 | Verse 16] ἀποκαλύψαι τὸν υἱὸν αὐτοῦ ἐν ἐμοὶ ἵνα εὐαγγελίζωμαι αὐτὸν ἐν τοῖς ἔθνεσιν, εὐθέως οὐ προσανεθέμην σαρκὶ καὶ αἵματι·
