[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 1] Ἀδελφοί, ἐὰν καὶ προληφθῇ ἄνθρωπος ἔν τινι παραπτώματι, ὑμεῖς οἱ πνευματικοὶ καταρτίζετε τὸν τοιοῦτον ἐν πνεύματι πρᾳότητος, σκοπῶν σεαυτὸν μὴ καὶ σὺ πειρασθῇς.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 2] Ἀλλήλων τὰ βάρη βαστάζετε, καὶ οὕτως ἀναπληρώσατε τὸν νόμον τοῦ Χριστοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 3] Εἰ γὰρ δοκεῖ τις εἶναί τι, μηδὲν ὤν, ἑαυτὸν φρεναπατᾷ·
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 4] τὸ δὲ ἔργον ἑαυτοῦ δοκιμαζέτω ἕκαστος, καὶ τότε εἰς ἑαυτὸν μόνον τὸ καύχημα ἕξει, καὶ οὐκ εἰς τὸν ἕτερον.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 5] Ἕκαστος γὰρ τὸ ἴδιον φορτίον βαστάσει.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 6] Κοινωνείτω δὲ ὁ κατηχούμενος τὸν λόγον τῷ κατηχοῦντι ἐν πᾶσιν ἀγαθοῖς.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 7] Μὴ πλανᾶσθε, Θεὸς οὐ μυκτηρίζεται· ὃ γὰρ ἐὰν σπείρῃ ἄνθρωπος, τοῦτο καὶ θερίσει.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 8] Ὅτι ὁ σπείρων εἰς τὴν σάρκα ἑαυτοῦ, ἐκ τῆς σαρκὸς θερίσει φθοράν· ὁ δὲ σπείρων εἰς τὸ πνεῦμα, ἐκ τοῦ πνεύματος θερίσει ζωὴν αἰώνιον.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 9] Τὸ δὲ καλὸν ποιοῦντες μὴ ἐκκακῶμεν· καιρῷ γὰρ ἰδίῳ θερίσομεν, μὴ ἐκλυόμενοι.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 10] Ἄρα οὖν ὡς καιρὸν ἔχομεν, ἐργαζώμεθα τὸ ἀγαθὸν πρὸς πάντας, μάλιστα δὲ πρὸς τοὺς οἰκείους τῆς πίστεως.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 11] Ἴδετε πηλίκοις ὑμῖν γράμμασιν ἔγραψα τῇ ἐμῇ χειρί.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 12] Ὅσοι θέλουσιν εὐπροσωπῆσαι ἐν σαρκί, οὗτοι ἀναγκάζουσιν ὑμᾶς περιτέμνεσθαι, μόνον ἵνα μὴ τῷ σταυρῷ τοῦ Χριστοῦ διώκωνται.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 13] Οὐδὲ γὰρ οἱ περιτεμνόμενοι αὐτοὶ νόμον φυλάσσουσιν, ἀλλὰ θέλουσιν ὑμᾶς περιτέμνεσθαι, ἵνα ἐν τῇ ὑμετέρᾳ σαρκὶ καυχήσωνται.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 14] Ἐμοὶ δὲ μὴ γένοιτο καυχᾶσθαι εἰ μὴ ἐν τῷ σταυρῷ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ· δι᾿ οὗ ἐμοὶ κόσμος ἐσταύρωται, κἀγὼ τῷ κόσμῳ.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 15] Ἐν γὰρ Χριστῷ Ἰησοῦ οὔτε περιτομή τι ἰσχύει, οὔτε ἀκροβυστία, ἀλλὰ καινὴ κτίσις.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 16] Καὶ ὅσοι τῷ κανόνι τούτῳ στοιχήσουσιν, εἰρήνη ἐπ᾿ αὐτούς, καὶ ἔλεος, καὶ ἐπὶ τὸν Ἰσραὴλ τοῦ Θεοῦ.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 17] Τοῦ λοιποῦ, κόπους μοι μηδεὶς παρεχέτω· ἐγὼ γὰρ τὰ στίγματα τοῦ Κυρίου Ἰησοῦ ἐν τῷ σώματί μου βαστάζω.
[GRCGTR | EL | NT | Galatians | Chapter 6 | Verse 18] Ἡ χάρις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ μετὰ τοῦ πνεύματος ὑμῶν, ἀδελφοί. Ἀμήν. Πρὸς Γαλάτας ἐγράφη ἀπὸ Ῥώμης.
