[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 1] Τῇ ἐλευθερίᾳ οὖν ᾗ Χριστὸς ἡμᾶς ἠλευθέρωσε, στήκετε, καὶ μὴ πάλιν ζυγῷ δουλείας ἐνέχεσθε.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 2] Ἴδε, ἐγὼ Παῦλος λέγω ὑμῖν ὅτι ἐὰν περιτέμνησθε, Χριστὸς ὑμᾶς οὐδὲν ὠφελήσει.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 3] Μαρτύρομαι δὲ πάλιν παντὶ ἀνθρώπῳ περιτεμνομένῳ, ὅτι ὀφειλέτης ἐστὶν ὅλον τὸν νόμον ποιῆσαι.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 4] Κατηργήθητε ἀπὸ τοῦ Χριστοῦ, οἵτινες ἐν νόμῳ δικαιοῦσθε· τῆς χάριτος ἐξεπέσατε.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 5] Ἡμεῖς γὰρ πνεύματι ἐκ πίστεως ἐλπίδα δικαιοσύνης ἀπεκδεχόμεθα.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 6] Ἐν γὰρ Χριστῷ Ἰησοῦ οὔτε περιτομή τι ἰσχύει, οὔτε ἀκροβυστία, ἀλλὰ πίστις δι᾿ ἀγάπης ἐνεργουμένη.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 7] Ἐτρέχετε καλῶς· τίς ὑμᾶς ἀνέκοψε τῇ ἀληθείᾳ μὴ πείθεσθαι;
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 8] Ἡ πεισμονὴ οὐκ ἐκ τοῦ καλοῦντος ὑμᾶς.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 9] Μικρὰ ζύμη ὅλον τὸ φύραμα ζυμοῖ.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 10] Ἐγὼ πέποιθα εἰς ὑμᾶς ἐν Κυρίῳ, ὅτι οὐδὲν ἄλλο φρονήσετε· ὁ δὲ ταράσσων ὑμᾶς βαστάσει τὸ κρίμα, ὅστις ἂν ᾖ.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 11] Ἐγὼ δέ, ἀδελφοί, εἰ περιτομὴν ἔτι κηρύσσω, τί ἔτι διώκομαι; Ἄρα κατήργηται τὸ σκάνδαλον τοῦ σταυροῦ.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 12] Ὄφελον καὶ ἀποκόψονται οἱ ἀναστατοῦντες ὑμᾶς.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 13] Ὑμεῖς γὰρ ἐπ᾿ ἐλευθερίᾳ ἐκλήθητε, ἀδελφοί· μόνον μὴ τὴν ἐλευθερίαν εἰς ἀφορμὴν τῇ σαρκί, ἀλλὰ διὰ τῆς ἀγάπης δουλεύετε ἀλλήλοις.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 14] Ὁ γὰρ πᾶς νόμος ἐν ἑνὶ λόγῳ πληροῦται, ἐν τῷ, Ἀγαπήσεις τὸν πλησίον σου ὡς ἑαυτόν.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 15] Εἰ δὲ ἀλλήλους δάκνετε καὶ κατεσθίετε, βλέπετε μὴ ὑπὸ ἀλλήλων ἀναλωθῆτε.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 16] Λέγω δέ, πνεύματι περιπατεῖτε, καὶ ἐπιθυμίαν σαρκὸς οὐ μὴ τελέσητε.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 17] Ἡ γὰρ σὰρξ ἐπιθυμεῖ κατὰ τοῦ πνεύματος, τὸ δὲ πνεῦμα κατὰ τῆς σαρκός· ταῦτα δὲ ἀντίκειται ἀλλήλοις, ἵνα μὴ ἃ ἂν θέλητε, ταῦτα ποιῆτε.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 18] Εἰ δὲ πνεύματι ἄγεσθε, οὐκ ἐστὲ ὑπὸ νόμον.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 19] Φανερὰ δέ ἐστι τὰ ἔργα τῆς σαρκός, ἅτινά ἐστι μοιχεία, πορνεία, ἀκαθαρσία, ἀσέλγεια,
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 20] εἰδωλολατρεία, φαρμακεία, ἔχθραι, ἔρεις, ζῆλοι, θυμοί, ἐριθεῖαι, διχοστασίαι, αἱρέσεις,
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 21] φθόνοι, φόνοι, μέθαι, κῶμοι, καὶ τὰ ὅμοια τούτοις· ἃ προλέγω ὑμῖν, καθὼς καὶ προεῖπον, ὅτι οἱ τὰ τοιαῦτα πράσσοντες βασιλείαν Θεοῦ οὐ κληρονομήσουσιν.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 22] Ὁ δὲ καρπὸς τοῦ πνεύματός ἐστιν ἀγάπη, χαρά, εἰρήνη, μακροθυμία, χρηστότης, ἀγαθωσύνη, πίστις,
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 23] πρᾳότης, ἐγκράτεια· κατὰ τῶν τοιούτων οὐκ ἔστι νόμος.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 24] Οἱ δὲ τοῦ Χριστοῦ, τὴν σάρκα ἐσταύρωσαν σὺν τοῖς παθήμασι καὶ ταῖς ἐπιθυμίαις.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 25] Εἰ ζῶμεν πνεύματι, πνεύματι καὶ στοιχῶμεν.
[GRCGTR | EL | NT | Galatians | Chapter 5 | Verse 26] Μὴ γινώμεθα κενόδοξοι, ἀλλήλους προκαλούμενοι, ἀλλήλοις φθονοῦντες.
