[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 1] Ὦ ἀνόητοι Γαλάται, τίς ὑμᾶς ἐβάσκανε τῇ ἀληθείᾳ μὴ πείθεσθαι, οἷς κατ᾿ ὀφθαλμοὺς Ἰησοῦς Χριστὸς προεγράφη ἐν ὑμῖν ἐσταυρωμένος;
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 2] Τοῦτο μόνον θέλω μαθεῖν ἀφ᾿ ὑμῶν, ἐξ ἔργων νόμου τὸ πνεῦμα ἐλάβετε, ἢ ἐξ ἀκοῆς πίστεως;
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 3] Οὕτως ἀνόητοί ἐστε; Ἐναρξάμενοι πνεύματι, νῦν σαρκὶ ἐπιτελεῖσθε;
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 4] Τοσαῦτα ἐπάθετε εἰκῇ; Εἴγε καὶ εἰκῇ.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 5] Ὁ οὖν ἐπιχορηγῶν ὑμῖν τὸ πνεῦμα καὶ ἐνεργῶν δυνάμεις ἐν ὑμῖν, ἐξ ἔργων νόμου, ἢ ἐξ ἀκοῆς πίστεως;
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 6] Καθὼς Ἀβραὰμ ἐπίστευσε τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 7] Γινώσκετε ἄρα ὅτι οἱ ἐκ πίστεως, οὗτοί εἰσιν υἱοὶ Ἀβραάμ.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 8] Προϊδοῦσα δὲ ἡ γραφὴ ὅτι ἐκ πίστεως δικαιοῖ τὰ ἔθνη ὁ Θεός, προευηγγελίσατο τῷ Ἀβραὰμ ὅτι + 3:8 Εὐλογηθήσονται ¦ Ἐνευλογηθήσονται STΕὐλογηθήσονται ἐν σοὶ πάντα τὰ ἔθνη.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 9] Ὥστε οἱ ἐκ πίστεως εὐλογοῦνται σὺν τῷ πιστῷ Ἀβραάμ.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 10] Ὅσοι γὰρ ἐξ ἔργων νόμου εἰσίν, ὑπὸ κατάραν εἰσί· γέγραπται γάρ, Ἐπικατάρατος πᾶς ὃς οὐκ ἐμμένει ἐν πᾶσι τοῖς γεγραμμένοις ἐν τῷ βιβλίῳ τοῦ νόμου, τοῦ ποιῆσαι αὐτά.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 11] Ὅτι δὲ ἐν νόμῳ οὐδεὶς δικαιοῦται παρὰ τῷ Θεῷ, δῆλον· ὅτι Ὁ δίκαιος ἐκ πίστεως ζήσεται·
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 12] ὁ δὲ νόμος οὐκ ἔστιν ἐκ πίστεως, ἀλλ᾿ Ὁ ποιήσας αὐτὰ ἄνθρωπος ζήσεται ἐν αὐτοῖς.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 13] Χριστὸς ἡμᾶς ἐξηγόρασεν ἐκ τῆς κατάρας τοῦ νόμου, γενόμενος ὑπὲρ ἡμῶν κατάρα· γέγραπται γάρ, Ἐπικατάρατος πᾶς ὁ κρεμάμενος ἐπὶ ξύλου·
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 14] ἵνα εἰς τὰ ἔθνη ἡ εὐλογία τοῦ Ἀβραὰμ γένηται ἐν Χριστῷ Ἰησοῦ, ἵνα τὴν ἐπαγγελίαν τοῦ πνεύματος λάβωμεν διὰ τῆς πίστεως.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 15] Ἀδελφοί, κατὰ ἄνθρωπον λέγω· ὅμως ἀνθρώπου κεκυρωμένην διαθήκην οὐδεὶς ἀθετεῖ ἢ ἐπιδιατάσσεται.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 16] Τῷ δὲ Ἀβραὰμ ἐρρήθησαν αἱ ἐπαγγελίαι, καὶ τῷ σπέρματι αὐτοῦ. Οὐ λέγει, Καὶ τοῖς σπέρμασιν, ὡς ἐπὶ πολλῶν, ἀλλ᾿ ὡς ἐφ᾿ ἑνός, Καὶ τῷ σπέρματί σου, ὅς ἐστι Χριστός.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 17] Τοῦτο δὲ λέγω, διαθήκην προκεκυρωμένην ὑπὸ τοῦ Θεοῦ εἰς Χριστὸν ὁ μετὰ ἔτη τετρακόσια καὶ τριάκοντα γεγονὼς νόμος οὐκ ἀκυροῖ, εἰς τὸ καταργῆσαι τὴν ἐπαγγελίαν.
[GRCGTR | EL | NT | Galatians | Chapter 3 | Verse 18] Εἰ γὰρ ἐκ νόμου ἡ κληρονομία, οὐκέτι ἐξ ἐπαγγελίας· τῷ δὲ Ἀβραὰμ δι᾿ ἐπαγγελίας κεχάρισται ὁ Θεός.
