[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 1] Ἐνισχύσατε υἱοὶ Βενιαμὶν ἐκ μέσου τῆς Ἱερουσαλὴμ, καὶ ἐν Θεκουὲ σημάνατε σάλπιγγι, καὶ ὑπὲρ Βαιθαχαρμὰ ἄρατε σημεῖον, ὅτι κακὰ ἐκκέκυφεν ἀπὸ Βοῤῥᾶ, καὶ συντριβὴ μεγάλη γίνεται·
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 2] καὶ ἀφαιρεθήσεται τὸ ὕψος θύγατερ Σιών.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 3] Εἰς αὐτὴν ἥξουσι ποιμένες, καὶ τὰ ποίμνια αὐτῶν· καὶ πήξουσιν ἐπʼ αὐτὴν σκηνὰς κύκλῳ, καὶ ποιμανοῦσιν ἕκαστος τῇ χειρὶ αὐτοῦ.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 4] Παρασκευάσασθε ἐπʼ αὐτὴν εἰς πόλεμον, ἀνάστητε, καὶ ἀναβῶμεν ἐπʼ αὐτὴν μεσημβρίας· οὐαὶ ἡμῖν, ὅτι κέκλικεν ἡ ἡμέρα, ὅτι ἐκλείπουσιν αἱ σκιαὶ τῆς ἡμέρας.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 5] Ἀνάστητε, καὶ ἀναβῶμεν ἐπʼ αὐτὴν νυκτὶ, καὶ διαφθείρωμεν τὰ θεμέλια αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 6] Ὅτι τάδε λέγει Κύριος, ἔκκοψον τὰ ξύλα αὐτῆς, ἔκχεον ἐπὶ Ἱερουσαλὴμ δύναμιν· ὦ πόλις ψευδὴς, ὅλη καταδυναστεία ἐν αὐτῇ.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 7] Ὡς ψύχει λάκκος ὕδωρ, οὕτω ψύχει κακία αὐτῆς· ἀσέβεια καὶ ταλαιπωρία ἀκουσθήσεται ἐν αὐτῇ ἐπὶ πρόσωπον αὐτῆς διαπαντός.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 8] Πόνῳ καὶ μάστιγι παιδευθήσῃ Ἱερουσαλὴμ, μὴ ἀποστῇ ἡ ψυχή μου ἀπὸ σοῦ, μὴ ποιήσω σε ἄβατον γῆν, ἥτις οὐ κατοικισθῇ.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 9] Ὅτι τάδε λέγει Κύριος, καλαμᾶσθε, καλαμᾶσθε ὡς ἄμπελον τὰ κατάλοιπα τοῦ Ἰσραὴλ, ἐπιστρέψατε ὡς ὁ τρυγῶν ἐπὶ τὸν κάρταλλον αὐτοῦ.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 10] Πρὸς τίνα λαλήσω, καὶ διαμαρτύρωμαι, καὶ εἰσακούσεται; ἰδοὺ ἀπερίτμητα τὰ ὦτα αὐτῶν, καὶ οὐ δυνήσονται ἀκούειν· ἰδοὺ τὸ ῥῆμα Κυρίου ἐγένετο αὐτοῖς εἰς ὀνειδισμὸν, οὐ μὴ βουληθῶσιν αὐτό.
[LXX | EL | OT | Jeremiah | Chapter 6 | Verse 11] Καὶ τὸν θυμόν μου ἔπλησα, καὶ ἐπέσχον, καὶ οὐ συνετέλεσα αὐτούς· ἐκχεῶ ἐπὶ νήπια ἔξωθεν, καὶ ἐπὶ συναγωγὴν νεανίσκων ἅμα, ὅτι ἀνὴρ καὶ γυνὴ συλληφθήσονται, πρεσβύτερος μετὰ πλήρους ἡμερῶν.
