[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 1] Τάδε λέγει Κύριος, ἰδοὺ ἐγὼ ἐξεγείρω ἐπὶ Βαβυλῶνα καὶ ἐπὶ τοὺς κατοικοῦντας Χαλδαίους ἄνεμον καύσωνα διαφθείροντα.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 2] Καὶ ἐξαποστελῶ εἰς Βαβυλῶνα ὑβριστὰς, καὶ καθυβρίσουσιν αὐτὴν, καὶ λυμανοῦνται τὴν γῆν αὐτῆς· οὐαὶ ἐπὶ Βαβυλῶνα κυκλόθεν ἐν ἡμέρᾳ κακώσεως αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 3] Τεινέτω ὁ τείνων τὸ τόξον αὐτοῦ, καὶ περιθέσθω ᾧ ἐστιν ὅπλα αὐτοῦ, καὶ μὴ φείσησθε ἐπὶ τοὺς νεανίσκους αὐτῆς, καὶ ἀφανίσατε πᾶσαν τὴν δύναμιν αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 4] Καὶ πεσοῦνται τραυματίαι ἐν γῇ Χαλδαίων, καὶ κατακεκεντημένοι ἔξωθεν αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 5] Διότι οὐκ ἐχήρευσεν Ἰσραὴλ καὶ Ἰούδας ἀπὸ Θεοῦ αὐτῶν, ἀπὸ Κυρίου παντοκράτορος, ὅτι ἡ γῆ αὐτῶν ἐπλήσθη ἀδικίας ἀπὸ τῶν ἁγίων Ἰσραήλ.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 6] Φεύγετε ἐκ μέσου Βαβυλῶνος, καὶ ἀνασώζετε ἕκαστος τὴν ψυχὴν αὐτοῦ, καὶ μὴ ἀποῤῥιφῆτε ἐν τῇ ἀδικίᾳ αὐτῆς, ὅτι καιρὸς ἐκδικήσεως αὐτῆς ἐστι παρὰ Κυρίου, ἀνταπόδομα αὐτὸς ἀνταποδίδωσιν αὐτῇ.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 7] Ποτήριον χρυσοῦν Βαβυλὼν ἐν χειρὶ Κυρίου, μεθύσκον πᾶσαν τὴν γῆν, ἀπὸ τοῦ οἴνου αὐτῆς ἐπίοσαν ἔθνη, διατοῦτο ἐσαλεύθησαν.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 8] Καὶ ἄφνω ἔπεσε Βαβυλὼν, καὶ συνετρίβη· θρηνεῖτε αὐτὴν, λάβετε ῥητίνην τῇ διαφθορᾷ αὐτῆς, εἴπως ἰαθήσεται.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 9] Ἰατρεύσαμεν τὴν Βαβυλῶνα, καὶ οὐκ ἰάθη· ἐγκαταλίπωμεν αὐτὴν, καὶ ἀπέλθωμεν ἕκαστος εἰς τὴν γῆν αὐτοῦ, ὅτι ἤγγικεν εἰς οὐρανὸν τὸ κρίμα αὐτῆς, ἐξῇρεν ἕως τῶν ἄστρων.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 10] Ἐξήνεγκε Κύριος τὸ κρίμα αὐτοῦ· δεῦτε, καὶ ἀναγγείλωμεν ἐν Σιὼν τὰ ἔργα Κυρίου τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 11] Παρασκευάζετε τὰ τοξεύματα, πληροῦτε τὰς φαρέτρας· ἤγειρε Κύριος τὸ πνεῦμα βασιλέως Μήδων, ὅτι εἰς Βαβυλῶνα ἡ ὀργὴ αὐτοῦ, τοῦ ἐξολοθρεῦσαι αὐτὴν, ὅτι ἐκδίκησις Κυρίου ἐστὶν, ἐκδίκησις λαοῦ αὐτοῦ ἐστιν.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 12] Ἐπὶ τειχέων Βαβυλῶνος ἄρατε σημεῖον, ἐπιστήσατε φαρέτρας, ἐγείρατε φυλακὰς, ἑτοιμάσατε ὅπλα, ὅτι ἐνεχείρισε, καὶ ποιήσει Κύριος ἃ ἐλάλησεν ἐπὶ τοὺς κατοικοῦντας Βαβυλῶνα,
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 13] κατασκηνοῦντας ἐφʼ ὕδασι πολλοῖς, καὶ ἐπὶ πλήθει θησαυρῶν αὐτῆς· ἥκει τὸ πέρας σου ἀληθῶς εἰς τὰ σπλάγχνα σου.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 14] Ὅτι ὤμοσε Κύριος κατὰ τοῦ βραχίονος αὐτοῦ, διότι πληρώσω σε ἀνθρώπων ὡσεὶ ἀκρίδων, καὶ φθέγξονται ἐπὶ σὲ οἱ καταβαίνοντες.
[LXX | EL | OT | Jeremiah | Chapter 28 | Verse 15] Κύριος ποιῶν γῆν ἐν τῇ ἰσχύϊ αὐτοῦ, ἑτοιμάζων οἰκουμένην ἐν τῇ σοφίᾳ αὐτοῦ, ἐν τῇ συνέσει αὐτοῦ ἐξέτεινε τὸν ουρανὸν,
