[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 1] Καὶ ἐγένετο τῷ μηνὶ τῷ ἑβδόμῳ, ἦλθεν Ἰσμαὴλ υἱὸς Ναθανίου υἱοῦ Ἐλεασὰ, ἀπὸ γένους τοῦ βασιλέως, καὶ δέκα ἄνδρες μετʼ αὐτοῦ πρὸς Γοδολίαν εἰς Μασσηφὰ, καὶ ἔφαγον ἐκεῖ ἄρτον ἅμα.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 2] Καὶ ἀνέστη Ἰσμαὴλ, καὶ οἱ δέκα ἄνδρες οἳ ἦσαν μετʼ αὐτοῦ, καὶ ἐπάταξαν τὸν Γοδολίαν, ὃν κατέστησε βασιλεὺς Βαβυλῶνος ἐπὶ τῆς γῆς,
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 3] καὶ πάντας τοὺς Ἰουδαίους τοὺς ὄντας μετʼ αὐτοῦ ἐν Μασσηφὰ, καὶ πάντας τοὺς Χαλδαίους τοὺς εὑρεθέντας ἐκεῖ.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 4] Καὶ ἐγένετο τῇ ἡμέρᾳ τῇ δευτέρᾳ πατάξαντος αὐτοῦ τὸν Γοδολίαν, καὶ ἄνθρωπος οὐκ ἔγνω.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 5] Καὶ ἤλθοσαν ἄνδρες ἀπὸ Συχὲμ, καὶ ἀπὸ Σαλὴμ, καὶ ἀπὸ Σαμαρίας, ὀγδοήκοντα ἄνδρες, ἐξυρημένοι πώγωνας, καὶ διεῤῥηγμένοι τὰ ἱμάτια, καὶ κοπτόμενοι, καὶ μάννα, καὶ λίβανος ἐν χερσὶν αὐτῶν, τοῦ εἰσενεγκεῖν εἰς οἶκον Κυρίου.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 6] Καὶ ἐξῆλθεν εἰς ἀπάντησιν αὐτοῖς Ἰσμαήλ· αὐτοὶ ἐπορεύοντο, καὶ ἔκλαιον· καὶ εἶπεν αὐτοῖς, εἰσέλθετε πρὸς Γοδολίαν.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 7] Καὶ ἐγένετο, εἰσελθόντων αὐτῶν εἰς τὸ μέσον τῆς πόλεως, ἔσφαξεν αὐτοὺς εἰς τὸ φρέαρ.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 8] Καὶ δέκα ἄνδρες εὑρέθησαν ἐκεῖ, καὶ εἶπον τῷ Ἱσμαὴλ, μὴ ἀνέλῃς ἡμᾶς, ὅτι εἰσὶν ἡμῖν θησαυροὶ ἐν ἀγρῷ, πυροὶ καὶ κριθαὶ, μέλι καὶ ἔλαιον· καὶ παρῆλθε, καὶ οὐκ ἀνεῖλεν αὐτοὺς ἐν μέσῳ τῶν ἀδελφῶν αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 9] Καὶ τὸ φρέαρ εἰς ὃ ἔῤῥιψεν ἐκεῖ Ἰσμαὴλ πάντας οὓς ἐπάταξε, φρέαρ μέγα τοῦτό ἐστιν, ὃ ἐποίησεν ὁ βασιλεὺς Ἀσὰ ἀπὸ προσώπου Βαασὰ βασιλέως Ἰσραὴλ, τοῦτο ἐνέπλησεν Ἰσμαὴλ τραυματιῶν.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 10] Καὶ ἀπέστρεψεν Ἰσμαὴλ πάντα τὸν λαὸν τὸν καταλειφθέντα εἰς Μασσηφὰ, καὶ τὰς θυγατέρας τοῦ βασιλέως, ἃς παρκατέθετο ὁ ἀρχιμάγειρος τῷ Γοδολίᾳ υἱῷ Ἀχεικὰμ, καὶ ᾤχετο εἰς τὸ πέραν υἱῶν Ἀμμών.
[LXX | EL | OT | Jeremiah | Chapter 48 | Verse 11] Καὶ ἤκουσεν Ἰωάναν υἱὸς Κάρηε, καὶ πάντες οἱ ἡγεμόνες τῆς δυνάμεως οἱ μετʼ αὐτοῦ, πάντα τὰ κακὰ ἃ ἐποίησεν Ἰσμαὴλ,
