[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 1] Ὁ ΛΟΓΟΣ Ὁ ΓΕΝΟΜΕΝΟΣ ΠΡΟΣ ἹΕΡΕΜΙΑΝ ἅπασι τοῖς Ἰουδαίοις τοῖς κατοικοῦσιν ἐν γῇ Αἰγύπτου, καὶ τοῖς καθημένοις ἐν Μαγδωλῷ, καὶ ἐν Τάφνας, καὶ ἐν γῇ Παθούρης, λέγων,
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 2] Οὕτως εἶπε Κύριος ὁ Θεὸς Ἰσραὴλ, ὑμεῖς ἑωράκατε πάντα τὰ κακὰ ἃ ἐπήγαγον ἐπὶ Ἱερουσαλὴμ, καὶ ἐπὶ τὰς πόλεις Ἰούδα· καὶ ἰδού εἰσιν ἔρημοι ἀπὸ ἐνοίκων
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 3] ἀπὸ προσώπου πονηρίας αὐτῶν, ἧς ἐποίησαν παραπικράναι με, πορευθέντες θυμιᾷν θεοῖς ἑτέροις, οἷς οὐκ ἔγνωτε.
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 4] Καὶ ἀπέστειλα πρὸς ὑμᾶς τοὺς παῖδάς μου τοὺς προφήτας ὄρθρου, καὶ ἀπέστειλα, λέγων, μὴ ποιήσητε τὸ πρᾶγμα τῆς μολύνσεως ταύτης, ἧς ἐμίσησα.
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 5] Καὶ οὐκ ἤκουσάν μου, καὶ οὐκ ἔκλιναν τὸ οὖς αὐτῶν ἀποστρέψαι ἀπὸ τῶν κακῶν αὐτῶν, πρὸς τὸ μὴ θυμιᾷν θεοῖς ἑτέροις.
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 6] Καὶ ἔσταξεν ἡ ὀργή μου, καὶ ὁ θυμός μου, καὶ ἐξεκαύθη ἐν πύλαις Ἰούδα, καὶ ἔξωθεν Ἱερουσαλήμ· καὶ ἐγενήθησαν εἰς ἐρήμωσιν καὶ εἰς ἄβατον ὡς ἡ ἡμέρα αὕτη.
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 7] Καὶ νῦν οὕτως εἶπε Κύριος παντοκράτωρ, ἱνατί ὑμεῖς ποιεῖτε κακὰ μεγάλα ἐπὶ ψυχαῖς ὑμῶν; ἐκκόψαι ὑμῶν ἄνθρωπον καὶ γυναῖκα, νήπιον καὶ θηλάζοντα ἐκ μέσου Ἰούδα, πρὸς τὸ μὴ καταλειφθῆναι ὑμῶν μηδένα,
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 8] παραπικράναι με ἐν τοῖς ἔργοις τῶν χειρῶν ὑμῶν, θυμιᾷν θεοῖς ἑτέροις ἐν γῇ Αἰγύπτῳ, εἰς ἣν ἤλθετε κατοικεῖν ἐκεῖ, ἵνα κοπῆτε, καὶ ἵνα γένησθε εἰς κατάραν καὶ εἰς ὀνειδισμὸν ἐν πᾶσι τοῖς ἔθνεσι τῆς γῆς;
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 9] Μὴ ἐπιλέλησθε ὑμεῖς τῶν κακῶν τῶν πατέρων ὑμῶν, καὶ τῶν κακῶν τῶν βασιλέων Ἰούδα, καὶ τῶν κακῶν τῶν ἀρχόντων ὑμῶν, καὶ τῶν κακῶν τῶν γυναικῶν ὑμῶν, ὧν ἐποίησαν ἐν γῇ Ἰούδα, καὶ ἔξωθεν Ἱερουσαλήμ;
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 10] Καὶ οὐκ ἐπαύσαντο ἕως τῆς ἡμέρας ταύτης, καὶ οὐκ ἀντείχοντο τῶν προσταγμάτων μου, ὧν ἔδωκα κατὰ πρόσωπον τῶν πατέρων αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 51 | Verse 11] Διατοῦτο οὕτως εἶπε Κύριος, ἰδοὺ ἐγὼ ἐφίστημι τὸ πρόσωπόν μου,
