[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 15] Οὕτως εἶπε Κύριος ὁ Θεὸς Ἰσραὴλ, λάβε τὸ ποτήριον τοῦ οἴνου τοῦ ἀκράτου τούτου ἐκ χειρός μου, καὶ ποτιεῖς πάντα τὰ ἔθνη, πρὸς ἃ ἐγὼ ἀποστέλλω σε πρὸς αὐτούς.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 16] Καὶ πίονται, καὶ ἐξεμοῦνται, καὶ ἐκμανήσονται ἀπὸ προσώπου τῆς μαχαίρας, ἧς ἐγὼ ἀποστέλλω ἀναμέσον αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 17] Καὶ ἔλαβον τὸ ποτήριον ἐκ χειρὸς Κυρίου, καὶ ἐπότισα τὰ ἔθνη, πρὸς ἃ ἀπέστειλέ με Κύριος πρὸς αὐτὰ,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 18] τὴν Ἱερουσαλὴμ, καὶ τὰς πόλεις Ἰούδα, καὶ βασιλεῖς Ἰούδα καὶ ἄρχοντας αὐτοῦ, τοῦ θεῖναι αὐτὰς εἰς ἐρήμωσιν, καὶ εἰς ἄβατον, καὶ εἰς συριγμὸν,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 19] καὶ τὸν Φαραὼ βασιλέα Αἰγύπτου, καὶ τοὺς παῖδας αὐτοῦ, καὶ τοὺς μεγιστᾶνας αὐτοῦ,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 20] καὶ πάντα τὸν λαὸν αὐτοῦ, καὶ πάντας τοὺς συμμίκτους, καὶ πάντας τοὺς βασιλεῖς ἀλλοφύλων, καὶ τὴν Ἀσκάλωνα, καὶ τὴν Γάζαν, καὶ τὴν Ἀκκάρων, καὶ τὸ ἐπίλοιπον Ἀζώτου,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 21] καὶ τὴν Ἰδουμαίαν, καὶ τὴν Μωαβῖτιν, καὶ τοὺς υἱοὺς Ἀμμὼν,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 22] καὶ βασιλεῖς Τύρου, καὶ βασιλεῖς Σιδῶνος, καὶ βασιλεῖς τοὺς ἐν τῷ πέραν τῆς θαλάσσης,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 23] καὶ τὴν Δαιδὰν, καὶ τὴν Θαιμὰν, καὶ τὴν Ῥῶς, καὶ πᾶν περικεκαρμένον κατὰ πρόσωπον αὐτοῦ,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 24] καὶ πάντας τοὺς συμμίκτους τοὺς καταλύοντας ἐν τῇ ἐρήμῳ,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 25] καὶ πάντας βασιλεῖς Αἰλὰμ, καὶ πάντας βασιλεῖς Περσῶν,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 26] καὶ πάντας βασιλεῖς ἀπὸ ἀπηλιώτου τοὺς πόῤῥω καὶ τοὺς ἐγγὺς, ἕκαστον πρὸς τὸν ἀδελφὸν αὐτοῦ, καὶ πάσας βασιλείας τὰς ἐπὶ προσώπου τῆς γῆς.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 27] Καὶ ἐρεῖς αὐτοῖς, οὕτως εἶπε Κύριος παντοκράτωρ, πίετε, μεθύσθητε, καὶ ἐξεμέσετε, καὶ πεσεῖσθε, καὶ οὐ μὴ ἀναστῆτε ἀπὸ προσώπου τῆς μαχαίρας, ἧς ἐγὼ ἀποστέλλω ἀναμέσον ὑμῶν.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 28] Καὶ ἔσται ὅταν μὴ βούλωνται δέξασθαι τὸ ποτήριον ἐκ τῆς χειρός σου, ὥστε πιεῖν, καὶ ἐρεῖς, οὕτως εἶπε Κύριος, πιόντες πίεσθε,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 29] ὅτι ἐν πόλει ἐν ᾗ ὠνομάσθη τὸ ὄνομά μου ἐπʼ αὐτὴν, ἐγὼ ἄρχομαι κακῶσαι, καὶ ὑμεῖς καθάρσει οὐ μὴ καθαρισθῆτε, ὅτι μάχαιραν ἐγὼ καλῶ ἐπὶ πάντας τοὺς καθημένους ἐπὶ τῆς γῆς.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 30] Καὶ σὺ προφητεύσεις ἐπʼ αὐτοὺς τοὺς λόγους τούτους, καὶ ἐρεῖς, Κύριος ἀφʼ ὑψηλοῦ χρηματιεῖ, ἀπὸ τοῦ ἁγίου αὐτοῦ δώσει φωνὴν αὐτοῦ, λόγον χρηματιεῖ ἐπὶ τοῦ τόπου αὐτοῦ· καὶ οἵδε ὥσπερ τρυγῶντες ἀποκριθήσονται· καὶ ἐπὶ καθημένους ἐπὶ τὴν γῆν
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 31] ἥκει ὄλεθρος ἐπὶ μέρος τῆς γῆς, ὅτι κρίσις τῷ Κυρίῳ ἐν τοῖς ἔθνεσι· κρίνεται αὐτὸς πρὸς πᾶσαν σάρκα, οἱ δὲ ἀσεβεῖς ἐδόθησαν εἰς μάχαιραν, λέγει Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 32] Οὕτως εἶπε Κύριος, ἰδοὺ κακὰ ἔρχεται ἀπὸ ἔθνους ἐπὶ ἔθνος, καὶ λαίλαψ μεγάλη ἐκπορεύεται ἀπʼ ἐσχάτου τῆς γῆς.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 33] Καὶ ἔσονται τραυματίαι ὑπὸ Κυρίου ἐν ἡμέρᾳ Κυρίου, ἐκ μέρους τῆς γῆς, καὶ ἕως εἰς μέρος τῆς γῆς· οὐ μὴ κατορυγῶσιν, εἰς κόπρια ἐπὶ προσώπου τῆς γῆς ἔσονται.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 34] Ἀλαλάξατε ποιμένες, καὶ κεκράξατε, καὶ κόπτεσθε οἱ κριοὶ τῶν προβάτων, ὅτι ἐπληρώθησαν αἱ ἡμέραι ὑμῶν εἰς σφαγὴν, καὶ πεσεῖσθε ὥσπερ οἱ κριοὶ οἱ ἐκλεκτοὶ,
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 35] καὶ ἀπολεῖται φυγὴ ἀπὸ τῶν ποιμένων, καὶ σωτηρία ἀπὸ τῶν κριῶν τῶν προβάτων.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 36] Φωνὴ κραυγῆς τῶν ποιμένων, καὶ ἀλαλαγμὸς τῶν προβάτων καὶ τῶν κριῶν, ὅτι ὠλόθρευσε Κύριος τὰ βοσκήματα αὐτῶν·
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 37] Καὶ παύσεται τὰ κατάλοιπα τῆς εἰρήνης ἀπὸ προσώπου ὀργῆς θυμοῦ μου.
[LXX | EL | OT | Jeremiah | Chapter 32 | Verse 38] Ἐγκατέλιπεν ὥσπερ λέων κατάλυμα αὐτοῦ, ὅτι ἐγενήθη ἡ γῆ αὐτῶν εἰς ἄβατον ἀπὸ προσώπου τῆς μαχαίρας τῆς μεγάλης.
