[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 1] Καὶ ἐγενήθη, ὡς ἐπαύσατο Ἱερεμίας λέγων πρὸς τὸν λαὸν πάντας τοὺς λόγους Κυρίου, οὓς ἀπέστειλεν αὐτὸν Κύριος πρὸς αὐτοὺς, πάντας τοὺς λόγους τούτους,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 2] καὶ εἶπεν Ἀζαρίας υἱὸς Μαασαίου, καὶ Ἰωάναν υἱὸς Κάρηε, καὶ πάντες οἱ ἄνδρες, οἱ εἰπόντες τῷ Ἱερεμίᾳ, λέγοντες, ψεύδη, οὐκ ἀπέστειλέ σε Κύριος πρὸς ἡμᾶς, λέγων, μὴ εἰσέλθητε εἰς Αἴγυπτον οἰκεῖν ἐκεῖ,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 3] ἀλλʼ ἢ Βαροὺχ υἱὸς Νηρίου συμβάλλει σε πρὸς ἡμᾶς, ἵνα δῷς ἡμᾶς εἰς χεῖρας τῶν Χαλδαίων, τοῦ θανατῶσαι ἡμᾶς, καὶ ἀποικισθῆναι ἡμᾶς εἰς Βαβυλῶνα.
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 4] Καὶ οὐκ ἤκουσεν Ἰωάναν, καὶ πάντες ἡγεμόνες τῆς δυνάμεως, καὶ πᾶς ὁ λαὸς τῆς φωνῆς Κυρίου, κατοικῆσαι ἐν γῇ Ἰούδα.
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 5] Καὶ ἔλαβεν Ἰωάναν, καὶ πάντες οἱ ἡγεμόνες τῆς δυνάμεως πάντας τοὺς καταλοίπους Ἰούδα, τοὺς ἀποστρέψαντας κατοικεῖν ἐν τῇ γῃ,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 6] τοὺς δυνατοὺς ἄνδρας, καὶ τὰς γυναῖκας, καὶ τὰ νήπια τὰ λοιπὰ, καὶ τὰς θυγατέρας τοῦ βασιλέως, καὶ τὰς ψυχὰς ἃς κατέλιπε Ναβουζαρδὰν μετὰ Γοδολίου υἱοῦ Ἀχεικὰμ, καὶ Ἱερεμίαν τὸν προφήτην, καὶ Βαροὺχ, υἱὸν Νηρίου,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 7] καὶ εἰσῆλθον εἰς Αἴγυπτον, ὅτι οὐκ ἤκουσαν τῆς φωνῆς Κυρίου, καὶ εἰσῆλθον εἰς Τάφνας.
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 8] Καὶ ἐγένετο λόγος Κυρίου πρὸς Ἱερεμίαν ἐν Τάφνας, λέγων,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 9] λάβε σεαυτῷ λίθους μεγάλους, καὶ κατάκρυψον αὐτοὺς ἐν προθύροις, ἐν πύλῃ τῆς οἰκίας Φαραὼ ἐν Τάφνας, κατʼ ὀφθαλμοὺς ἀνδρῶν Ἰούδα,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 10] καὶ ἐρεῖς, οὕτως εἶπε Κύριος, ἰδοὺ ἐγὼ ἀποστέλλω, καὶ ἄξω Ναβουχοδονόσορ βασιλέα Βαβυλῶνος, καὶ θήσει αὐτοῦ τὸν θρόνον ἐπάνω τῶν λίθων τούτων ὧν κατέκρυψας, καὶ ἀρεῖ τᾶ ὅπλα ἐπʼ αὐτοὺς,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 11] καὶ εἰσελεύσεται, καὶ πατάξει γῆν Αἰγύπτου, οὓς εἰς θάνατον εἰς θάνατον, καὶ οὓς εἰς ἀποικισμὸν εἰς ἀποικισμὸν, καὶ οὓς εἰς ῥομφαίαν εἰς ῥομφαίαν.
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 12] Καὶ καύσει πῦρ ἐν οἰκίαις τῶν θεῶν αὐτῶν, καὶ ἐμπυριεῖ αὐτὰς, καὶ ἀποικιεῖ αὐτοὺς, καὶ φθειριεῖ γῆν Αἰγύπτου, ὥσπερ φθειρίζει ποιμὴν τὸ ἱμάτιον αὐτοῦ· καὶ ἐξελεύσεται ἐν εἰρήνῃ,
[LXX | EL | OT | Jeremiah | Chapter 50 | Verse 13] καὶ συντρίψει τοὺς στύλους Ἡλιουπόλεως τοὺς ἐν Ὢν, καὶ τὰς οἰκίας αὐτῶν κατακαύσει ἐν πυρί.
