[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 1] Τίς δῴη μοι ἐν τῇ ἐρήμῳ σταθμὸν ἔσχατον, καὶ καταλείψω τὸν λαόν μου, καὶ ἀπελεύσομαι ἀπʼ αὐτῶν; ὅτι πάντες μοιχῶνται, σύνοδος ἀθετούντων,
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 2] καὶ ἐνέτειναν τὴν γλῶσσαν αὐτῶν ὡς τόξον· ψεῦδος, καὶ οὐ πίστις ἐνίσχυσεν ἐπὶ τῆς γῆς, ὅτι ἐκ κακῶν εἰς κακὰ ἐξήλθοσαν, καὶ ἐμὲ οὐκ ἔγνωσαν, φησὶ Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 3] Ἕκαστος ἀπὸ τοῦ πλησίον αὐτοῦ φυλάξασθε, καὶ ἐπʼ ἀδελφοῖς αὐτῶν μὴ πεποίθατε, ὅτι πᾶς ἀδελφὸς πτέρνῃ πτερνιεῖ, καὶ πᾶς φίλος δολίως πορεύσεται.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 4] Ἕκαστος κατὰ τοῦ φίλου αὐτοῦ καταπαίξεται, ἀλήθειαν οὐ μὴ λαλήσωσι· μεμάθηκεν ἡ γλῶσσα αὐτῶν λαλεῖν ψευδῆ, ἠδίκησαν, καὶ οὐ διέλιπον τοῦ ἐπιστρέψαι.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 5] Τόκος ἐπὶ τόκῳ, καὶ δόλος ἐπὶ δόλῳ· οὐκ ἤθελον εἰδέναι με, φησὶ Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 6] Διατοῦτο τάδε λέγει Κύριος, ἰδοὺ ἐγὼ πυρώσω αὐτοὺς, καὶ δοκιμῶ αὐτούς· ὅτι ποιήσω ἀπὸ προσώπου πονηρίας θυγατρὸς λαοῦ μου.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 7] Βολὶς τιτρώσκουσα ἡ γλῶσσα αὐτῶν, δόλια τὰ ῥήματα τοῦ στόματος αὐτῶν· τῷ πλησίον αὐτοῦ λαλεῖ εἰρηνικὰ, καὶ ἐν ἑαυτῷ ἔχει τὴν ἔχθραν.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 8] Μὴ ἐπὶ τούτοις οὐκ ἐπισκέψομαι; λέγει Κύριος· ἢ ἐν λαῷ τοιούτῳ οὐκ ἐκδικήσει ἡ ψυχή μου;
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 9] Ἐπὶ τὰ ὄρη λάβετε κοπετὸν, καὶ ἐπὶ τὰς τρίβους τῆς ἐρήμου θρῆνον, ὅτι ἐξέλιπον παρὰ τὸ μὴ εἶναι ἀνθρώπους· οὐκ ἤκουσαν φωνὴν ὑπάρξεως ἀπὸ πετεινῶν τοῦ οὐρανοῦ, καὶ ἕως κτηνῶν, ἐξέστησαν, ᾤχοντο.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 10] Καὶ δώσω τὴν Ἱερουσαλὴμ εἰς μετοικίαν, καὶ εἰς κατοικητήριον δρακόντων, καὶ τὰς πόλεις Ἰούδα εἰς ἀφανισμὸν θήσομαι, παρὰ τὸ μὴ κατοικεῖσθαι.
[LXX | EL | OT | Jeremiah | Chapter 9 | Verse 11] Τίς ὁ ἄνθρωπος ὁ συνετὸς, καὶ συνέτω τοῦτο; καὶ ᾧ λόγος στόματος Κυρίου πρὸς αὐτὸν, ἀναγγειλάτω ὑμῖν, ἕνεκεν τίνος ἀπώλετο ἡ γῆ, ἀνήφθη, ὡς ἔρημος, παρὰ τὸ μὴ διοδεύεσθαι αὐτήν;
