[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 1] Ὁ ΛΟΓΟΣ ὁ γενόμενος παρὰ Κυρίου πρὸς Ἱερεμίαν ἐν τῷ ἐνιαυτῷ δεκάτῳ βασιλεῖ Σεδεκίᾳ, οὗτος ἐνιαυτὸς ὀκτωκαιδέκατος τῷ βασιλεῖ Ναβουχοδονόσορ βασιλεῖ Βαβυλῶνος.
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 2] Καὶ δύναμις βασιλέως Βαβυλῶνος ἐχαράκωσεν ἐπὶ Ἱερουσαλὴμ, καὶ Ἱερεμίας ἐφυλάσσετο ἐν αὐλῇ τῆς φυλακῆς, ἥ ἐστιν ἐν οἴκῳ βασιλέως,
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 3] ἐν ᾗ κατέκλεισεν αὐτὸν ὁ βασιλεὺς Σεδεκίας, λέγων, διατί σὺ προφητεύεις, λέγων, οὕτως εἶπε Κύριος, ἰδοὺ ἐγὼ δίδωμι τὴν πόλιν ταύτην ἐν χερσὶ βασιλέως Βαβυλῶνος, καὶ λήψεται αὐτὴν,
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 4] καὶ Σεδεκίας οὐ μὴ σωθῇ ἐκ χειρὸς τῶν Χαλδαίων, ὅτι παραδόσει παραδοθήσεται εἰς χεῖρας βασιλέως Βαβυλῶνος, καὶ λαλήσει στόμα αὐτοῦ πρὸς στόμα αὐτοῦ, καὶ οἱ ὀφθαλμοὶ αὐτοῦ τοὺς ὀφθαλμοὺς αὐτοῦ ὄψονται·
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 5] Καὶ εἰσελεύσεται Σεδεκίας εἰς Βαβυλῶνα, καὶ ἐκεῖ καθίεται;
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 6] ΚΑΙ Ὁ ΛΟΓΟΣ ΚΥΡΙΟΥ ἘΓΕΝΗΘΗ ΠΡΟΣ ἹΕΡΕΜΙΑΝ, ΛΕΓΩΝ,
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 7] Ἰδοὺ Ἀναμεὴλ υἱὸς Σαλῶμ ἀδελφοῦ πατρός σου ἔρχεται πρὸς σὲ, λέγων, κτῆσαι σεαυτῷ τὸν ἀγρόν μου τὸν ἐν Ἀναθὼθ, ὅτι σοὶ κρίσις παραλαβεῖν εἰς κτῆσιν.
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 8] Καὶ ἦλθε πρὸς μὲ Ἀναμεὴλ υἱὸς Σαλὼμ, ἀδελφοῦ πατρός μου, εἰς τὴν αὐλὴν τῆς φυλακῆς, καὶ εἶπε, κτῆσαι σεαυτῷ τὸν ἀγρόν μου τὸν ἐν γῇ Βενιαμὶν τὸν ἐν Ἀναθὼθ, ὅτι σοὶ κρίμα κτήσασθαι αὐτὸν, καὶ σὺ πρεσβύτερος. καὶ ἔγνων, ὅτι λόγος Κυρίου ἐστὶ,
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 9] καὶ ἐκτησάμην τὸν ἀγρὸν Ἀναμεὴλ υἱοῦ ἀδελφοῦ πατρός μου, καὶ ἔστησα αὐτῷ ἑπτὰ σίκλους καὶ δέκα ἀργυρίου,
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 10] καὶ ἔγραψα εἰς βιβλίον, καὶ ἐσφραγισάμην, καὶ διεμαρτυράμην μάρτυρας, καὶ ἔστησα τὸ ἀργύριον ἐν ζυγῷ.
[LXX | EL | OT | Jeremiah | Chapter 39 | Verse 11] Καὶ ἔλαβον τὸ βιβλίον τῆς κτήσεως τὸ ἐσφραγισμένον,
