[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 1] Ἐὰν ἐπιστραφῇ Ἰσραὴλ, λέγει Κύριος, πρὸς μὲ, ἐπιστραφήσεται· καὶ ἐὰν περιέλῃ τὰ βδελύγματα αὐτοῦ ἐκ στόματος αὐτοῦ, καὶ ἀπὸ τοῦ προσώπου μου εὐλαβηθῇ,
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 2] καὶ ὀμόσῃ, ζῇ Κύριος, μετὰ ἀληθείας ἐν κρίσει καὶ ἐν δικαιοσύνῃ, καὶ εὐλογήσουσιν ἐν αὐτῷ ἔθνη, καὶ ἐν αὐτῷ αἰνέσουσι τῷ Θεῷ ἐν Ἰερουσαλήμ.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 3] Ὅτι τάδε λέγει Κύριος τοῖς ἀνδράσιν Ἰούδα, καὶ τοῖς κατοικοῦσιν Ἱερουσαλὴμ, νεώσατε ἑαυτοῖς νεώματα, καὶ μὴ σπείρητε ἐπʼ ἀκάνθαις.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 4] Περιτμήθητε τῷ Θεῷ ὑμῶν, καὶ περιτέμεσθε τὴν σκληροκαρδίαν ὑμῶν ἄνδρες Ἰούδα, καὶ οἱ κατοικοῦντες Ἱερουσαλὴμ, μὴ ἐξέλθῃ ὡς πῦρ ὁ θυμός μου, καὶ ἐκκαυθήσεται, καὶ οὐκ ἔσται ὁ σβέσων, ἀπὸ προσώπου πονηρίας ἐπιτηδευμάτων ὑμῶν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 5] Ἀναγγείλατε ἐν τῷ Ἰούδᾳ, καὶ ἀκουσθήτω ἐν Ἱερουσαλήμ· εἴπατε, σημάνατε ἐπὶ τῆς γῆς σάλπιγγι, κεκράξατε μέγα· εἴπατε, συνάχθητε, καὶ εἰσέλθωμεν εἰς τὰς πόλεις τὰς τειχήρεις.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 6] Ἀναλαβόντες φεύγετε εἰς Σιών· σπεύσατε, μὴ στῆτε, ὅτι κακὰ ἐγὼ ἐπάγω ἀπὸ Βοῤῥα, καὶ συντριβὴν μεγάλην.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 7] Ἀνέβη λέων ἐκ τῆς μάνδρας αὐτοῦ, ἐξολοθρεύων ἔθνη ἐξῇρε, καὶ ἐξῆλθεν ἐκ τοῦ τόπου αὐτοῦ, τοῦ θεῖναι τὴν γῆν εἰς ἐρήμωσιν· καὶ αἱ πόλεις καθαιρεθήσονται, παρὰ τὸ μὴ κατοικεῖσθαι αὐτάς.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 8] Ἐπὶ τούτοις περιζώσασθε σάκκους, καὶ κόπτεσθε, καὶ ἀλαλάξατε, διότι οὐκ ἀπεστράφη ὁ θυμὸς Κυρίου ἀφʼ ὑμῶν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 9] Καὶ ἔσται ἐν ἐκείνῃ τῇ ἡμέρᾳ, λέγει Κύριος, ἀπολεῖται ἡ καρδία τοῦ βασιλέως, καὶ ἡ καρδία τῶν ἀρχόντων, καὶ οἱ ἱερεῖς ἐκστήσονται, καὶ οἱ προφῆται θαυμάσονται.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 10] Καὶ εἶπα, ὦ δέσποτα Κύριε, ἆρά γε ἀπατῶν ἠπάτησας τὸν λαὸν τοῦτον καὶ τὴν Ἱερουσαλὴμ, λέγων, εἰρήνη ἔσται, καὶ ἰδοὺ ἥψατο ἡ μάχαιρα ἕως τῆς ψυχῆς αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 11] Ἐν τῷ καιρῷ ἐκείνῳ ἐροῦσι τῷ λαῷ τούτῳ καὶ τῇ Ἱερουσαλὴμ, πνεῦμα πλανήσεως ἐν τῇ ἐρήμῳ, ὁδὸς τῆς θυγατρὸς τοῦ λαοῦ μου, οὐκ εἰς καθαρὸν, οὐδʼ εἰς ἅγιον.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 12] Πνεῦμα πληρώσεως ἥξει μοι· νῦν δὲ ἐγὼ λαλῶ κρίματά μου πρὸς αὐτούς.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 13] Ἰδοὺ ὡς νεφέλη ἀναβήσεται, καὶ ὡς καταιγὶς τὰ ἄρματα αὐτοῦ, κουφότεροι ἀετῶν οἱ ἵπποι αὐτοῦ· οὐαὶ ἡμῖν, ὅτι ταλαιπωροῦμεν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 14] Ἀπόπλυνε ἀπὸ κακίας τὴν καρδίαν σου Ἱερουσαλὴμ, ἵνα σωθῇς· ἕως πότε ὑπάρχουσιν ἐν σοὶ διαλογισμοὶ πόνων σου;
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 15] Διότι φωνὴ ἀγγέλλοντος ἐκ Δὰν ἥξει, καὶ ἀκουσθήσεται πόνος ἐξ ὄρους Ἐφραίμ.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 16] Ἀναμνήσατε ἔθνη, ἰδοὺ ἥκασιν· ἀναγγείλατε ἐν Ἱερουσαλὴμ, συστροφαὶ ἔρχονται ἐκ γῆς μακρόθεν, καὶ ἔδωκαν ἐπὶ τὰς πόλεις Ἰούδα φωνὴν αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 17] Ὡς φυλάσσοντες ἀγρὸν, ἐγένοντο ἐπʼ αὐτὴν κύκλῳ, ὅτι ἐμοῦ ἠμέλησας, λέγει Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 18] Αἱ ὁδοί σου καὶ τὰ ἐπιτηδεύματά σου ἐποίησαν ταῦτά σοι· αὕτη ἡ κακία σου, ὅτι πικρὰ, ὅτι ἥψατο ἕως τῆς καρδίας σου.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 19] Τὴν κοιλίαν μου, τὴν κοιλίαν μου ἀλγῶ, καὶ τὰ αἰσθητήρια τῆς καρδίας μου, μαιμάσσει ἡ ψυχή μου, σπαράσσεται ἡ καρδία μου· οὐ σιωπήσομαι, ὅτι φωνὴν σάλπιγγος ἤκουσεν ἡ ψυχή μου, κραυγὴν πολέμου
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 20] καὶ ταλαιπωρίας συντριμμὸν ἐπικαλεῖται, ὅτι τεταλαιπώρηκε πᾶσα ἡ γῆ, ἄφνω τεταλαιπώρηκεν ἡ σκηνὴ, διεσπάσθησαν αἱ δέῤῥεις μου.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 21] Ἕως πότε ὄψομαι φεύγοντας ἀκούων φωνὴν σαλπίγγων;
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 22] Διότι οἱ ἡγούμενοι τοῦ λαοῦ μου ἐμὲ οὐκ ᾔδεισαν· υἱοὶ ἄφρονές εἰσι καὶ οὐ συνετοὶ, σοφοί εἰσι τοῦ κακοποιῆσαι, τὸ δὲ καλῶς ποιῆσαι οὐκ ἐπέγνωσαν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 23] Ἐπέβλεψα ἐπὶ τὴν γῆν, καὶ ἰδοὺ οὐθὲν, καὶ εἰς τὸν οὐρανὸν, καὶ οὐκ ἦν τὰ φῶτα αὐτοῦ.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 24] Εἶδον τὰ ὄρη, καὶ ἦν τρέμοντα, καὶ πάντας τοὺς βουνοὺς ταρασσομένους.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 25] Ἐπέβλεψα, καὶ ἰδοὺ οὐκ ἦν ἄνθρωπος, καὶ πάντα τὰ πετεινὰ τοῦ οὐρανοῦ ἐπτοεῖτο.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 26] Εἶδον, καὶ ἰδοὺ ὁ Κάρμηλος ἔρημος, καὶ πᾶσαι αἱ πόλεις ἐμπεπυρισμέναι πυρὶ ἀπὸ προσώπου Κυρίου, καὶ ἀπὸ προσώπου ὀργῆς θυμοῦ αὐτοῦ ἠφανίσθησαν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 27] Τάδε λέγει Κύριος, ἔρημος ἔσται πᾶσα ἡ γῆ, συντέλειαν δὲ οὐ μὴ ποιήσω.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 28] Ἐπὶ τούτοις πενθείτω ἡ γῆ, καὶ συσκοτασάτω ὁ οὐρανὸς ἄνωθεν· διότι ἐλάλησα, καὶ οὐ μετανοήσω, ὥρμησα, καὶ οὐκ ἀποστρέψω ἀπʼ αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 29] Ἀπὸ φωνῆς ἱππέως, καὶ ἐντεταμένου τόξου ἀνεχώρησε πᾶσα ἡ χώρα· εἰσέδυσαν εἴς τὰ σπήλαια, καὶ εἰς τὰ ἄλση ἐκρύβησαν, καὶ ἐπὶ τὰς πέτρας ἀνέβησαν· πᾶσα πόλις ἐγκατελείφθη, οὐ κατῴκει ἐν αὐταῖς ἄνθρωπος.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 30] Καὶ σὺ τί ποιήσεις; ἐὰν περιβάλῃ κόκκινον, καὶ κοσμήσῃ κόσμῳ χρυσῷ· ἐὰν ἐγχρίσῃ στίβι τοὺς ὀφθαλμούς σου, εἰς μάταιον ὡραϊσμός σου· ἀπώσαντό σε οἱ ἐρασταί σου, τὴν ψυχήν σου ζητοῦσιν.
[LXX | EL | OT | Jeremiah | Chapter 4 | Verse 31] Ὅτι φωνὴν ὡς ὠδινούσης ἤκουσα τοῦ στεναγμοῦ σου, ὡς πρωτοτοκούσης· φωνὴ θυγατρὸς Σιὼν ἐκλυθήσεται, καὶ παρήσει τὰς χεῖρας αὐτῆς· οἴμοι ἐγὼ, ὅτι ἐκλείπει ἡ ψυχή μου ἐπὶ τοῖς ἀνῃρημένοις.
