[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 1] ΤΗ ΜΩΑΒ οὕτως εἶπε Κύριος, οὐαὶ ἐπὶ Ναβαῦ, ὅτι ὤλετο, ἐλήφθη Καριαθαὶμ, ᾐσχύνθη Ἀμὰθ καὶ Ἀγάθ.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 2] Οὐκ ἔστιν ἔτι ἰατρεία Μωὰβ, γαυρίαμα ἐν Ἐσεβὼν, ἐλογίσατο ἐπʼ αὐτὴν κακά· ἐκόψαμεν αὐτὴν ἀπὸ ἔθνους, καὶ παῦσιν παύσεται· ὄπισθέν σου βαδιεῖται μάχαιρα,
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 3] ὅτι φωνὴ κεκραγότων ἐξ Ὠρωναὶμ, ὄλεθρον καὶ σύντριμμα μέγα·
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 4] Συνετρίβη Μωὰβ, ἀναγγείλατε εἰς Ζογόρα,
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 5] ὅτι ἐπλήσθη Ἀλὼθ ἐν κλαυθμῷ· ἀναβήσεται κλαίων ἐν ὁδῷ Ὠρωναὶμ, κραυγὴν συντρίμματος ἠκούσατε.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 6] Φεύγετε καὶ σώσατε τὰς ψυχὰς ὑμῶν, καὶ ἔσεσθε ὥσπερ ὄνος ἄγριος ἐν ἐρήμῳ.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 7] Ἐπειδὴ ἐπεποίθεις ἐν ὀχυρώματί σου, καὶ σὺ συλληφθήσῃ· καὶ ἐξελεύσεται Χαμὼς ἐν ἀποικίᾳ, καὶ οἱ ἱερεῖς αὐτοῦ, καὶ οἱ ἄρχοντες αὐτοῦ ἅμα.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 8] Καὶ ἥξει ὄλεθρος ἐπὶ πᾶσαν πόλιν, οὐ μὴ σωθῇ, καὶ ἀπολεῖται ὁ αὐλῶν, καὶ ἐξολοθρευθήσεται ἡ πεδινὴ, καθὼς εἶπε Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 9] Δότε σημεῖα τῇ Μωὰβ, ὅτι ἁφῇ ἁφθήσεται, καὶ πᾶσαι αἱ πόλεις αὐτῆς εἰς ἄβατον ἔσονται· πόθεν ἔνοικος αὐτῇ;
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 10] Ἐπικατάρατος ὁ ποιῶν τὰ ἔργα Κυρίου ἀμελῶς, ἐξαίρων μάχαιραν αὐτοῦ ἀφʼ αἵματος.
[LXX | EL | OT | Jeremiah | Chapter 31 | Verse 11] Ἀνεπαύσατο Μωὰβ ἐκ παιδαρίου, καὶ πεποιθὼς ἦν ἐπὶ τῇ δόξῃ αὐτοῦ, οὐκ ἐνέχεεν ἐξ ἀγγείου εἰς ἀγγεῖον, καὶ εἰς ἀποικισμὸν οὐκ ᾤχετο· διατοῦτο ἔστη γεῦμα αὐτοῦ ἐν αὐτῷ, καὶ ὀσμὴ αὐτοῦ οὐκ ἐξέλιπε.
