[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 1] Δίκαιος εἶ Κύριε, ὅτι ἀπολογήσομαι πρὸς σέ· πλὴν κρίματα λαλήσω πρὸς σέ· τί ὅτι ὁδὸς ἀσεβῶν εὐοδοῦται; εὐθήνησαν πάντες οἱ ἀθετοῦντες ἀθετήματα;
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 2] Ἐφύτευσας αὐτοὺς, καὶ ἐῤῥιζώθησαν· ἐτεκνοποιήσαντο, καὶ ἐποίησαν καρπόν· ἐγγὺς εἶ σὺ τοῦ στόματος αὐτῶν, καὶ πόῤῥω ἀπὸ τῶν νεφρῶν αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 3] Καὶ σύ Κύριε γινώσκεις με, δεδοκίμακας τὴν καρδίαν μου ἐναντίον σου· ἅγνισον αὐτοὺς εἰς ἡμέραν σφαγῆς αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 4] Ἕως πότε πενθήσει ἡ γῆ, καὶ πᾶς ὁ χόρτος τοῦ ἀγροῦ ξηρανθήσεται ἀπὸ κακίας τῶν κατοικούντων ἐν αὐτῆ; ἠφανίσθησαν κτήνη καὶ πετεινὰ, ὅτι εἶπαν, οὐκ ὄψεται ὁ Θεὸς ὁδοὺς ἡμῶν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 5] Σοῦ οἱ πόδες τρέχουσι, καὶ ἐκλύουσί σε· πῶς παρασκευάσῃ ἐφʼ ἵπποις; καὶ ἐν γῇ εἰρήνης σου πέποιθας· πῶς ποιήσεις ἐν φρυάγματι τοῦ Ἰορδάνου;
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 6] Ὅτι καὶ οἱ ἀδελφοί σου καὶ ὁ οἶκος τοῦ πατρός σου, καὶ οὗτοι ἠθέτησάν σε, καὶ αὐτοὶ ἐβόησαν, ἐκ τῶν ὀπίσω σου ἐπισυνήχθησαν· μὴ πιστεύσῃς ἐν αὐτοῖς, ὅτι λαλήσουσι πρὸς σὲ καλά.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 7] Ἐγκαταλέλοιπα τὸν οἶκόν μου, ἀφῆκα τὴν κληρονομίαν μου, ἔδωκα τὴν ἠγαπημένην ψυχήν μου εἰς χεῖρας ἐχθρῶν αὐτῆς.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 8] Ἐγενήθη ἡ κληρονομία μου ἐμοὶ ὡς λέων ἐν δρυμῷ, ἔδωκεν ἐπʼ ἐμὲ τὴν φωνὴν αὐτῆς, διατοῦτο ἐμίσησα αὐτήν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 9] Μὴ σπήλαιον ὑαίνης ἡ κληρονομία μου ἐμοὶ, ἢ σπήλαιον κύκλῳ αὐτῆς; βαδίσατε, συναγάγετε πάντα τὰ θηρία τοῦ ἀγροῦ, καὶ ἐλθέτωσαν τοῦ φαγεῖν αὐτήν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 10] Ποιμένες πολλοὶ διέφθειραν τὸν ἀμπελῶνά μου, ἐμόλυναν τὴν μερίδα μου, ἔδωκαν τὴν μερίδα τὴν ἐπιθυμητήν μου εἰς ἔρημον ἄβατον,
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 11] ἐτέθη εἰς ἀφανισμὸν ἀπωλείας· διʼ ἐμὲ ἀφανισμῷ ἠφανίσθη πᾶσα ἡ γῆ, ὅτι οὐκ ἔστιν ἀνὴρ τιθέμενος ἐν καρδίᾳ.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 12] Ἐπὶ πᾶσαν διεκβολὴν ἐν τῇ ἐρήμῳ ἦλθον ταλαιπωροῦντες, ὅτι μάχαιρα τοῦ Κυρίου καταφάγεται ἀπʼ ἄκρου τῆς γῆς ἕως ἄκρου τῆς γῆς· οὐκ ἔστιν εἰρήνη πάσῃ σαρκί.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 13] Σπείρατε πυροὺς, καὶ ἀκάνθας θερίζετε· οἱ κλῆροι αὐτῶν οὐκ ὠφελήσουσιν αὐτούς· αἰσχύνθητε ἀπὸ καυχήσεως ὑμῶν, ἀπὸ ὀνειδισμοῦ ἔναντι Κυρίου.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 14] Ὅτι τάδε λέγει Κύριος περὶ πάντων τῶν γειτόνων τῶν πονηρῶν, τῶν ἁπτομένων τῆς κληρονομίας μου, ἧς ἐμέρισα τῷ λαῷ μου Ἰσραὴλ, ἰδοὺ ἐγὼ ἀποσπῶ αὐτοὺς ἀπὸ τῆς γῆς αὐτῶν, καὶ τὸν Ἰούδαν ἐκβαλῶ ἐκ μέσου αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 15] Καὶ ἔσται μετὰ τὸ ἐκβαλεῖν με αὐτοὺς, ἐπιστρέψω καὶ ἐλεήσω αὐτοὺς, καὶ κατοικιῶ αὐτοὺς, ἕκαστον εἰς τὴν κληρονομίαν αὐτοῦ, καὶ ἕκαστον εἰς τὴν γῆν αὐτοῦ.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 16] Καὶ ἔσται ἐὰν μαθόντες μάθωσι τὴν ὁδὸν τοῦ λαοῦ μου, τοῦ ὀμνύειν τῷ ὀνόματί μου, ζῇ Κύριος, καθὼς ἐδίδαξαν τὸν λαόν μου ὀμνύειν τῇ Βάαλ, καὶ οἰκοδομηθήσεται ἐν μέσῳ τοῦ λαοῦ μου.
[LXX | EL | OT | Jeremiah | Chapter 12 | Verse 17] Ἐὰν δὲ μὴ ἐπιστρέψωσι, καὶ ἐξαρῶ τὸ ἔθνος ἐκεῖνο ἐξάρσει καὶ ἀπωλείᾳ.
