[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 1] ΤΟ ῥῆμα τοῦ Θεοῦ ὃ ἐγένετο ἐπὶ Ἱερεμίαν τὸν του Χελκίου, ἐκ τῶν ἱερέων, ὃς κατῴκει ἐν Ἀναθὼθ ἐν γῇ Βενιαμὶν,
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 2] ὡς ἐγενήθη λόγος τοῦ Θεοῦ πρὸς αὐτὸν, ἐν ταῖς ἡμέραις Ἰωσία υἱοῦ Ἀμὼς βασιλέως Ἰούδα, ἔτους τρισκαιδεκάτου ἐν τῇ βασιλείᾳ αὐτοῦ.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 3] Καὶ ἐγένετο ἐν ταῖς ἡμέραις Ἰωακεὶμ υἱοῦ Ἰωσία βασιλέως Ἰούδα, ἕως ἑνδεκάτου ἔτους τοῦ Σεδεκία υἱοῦ Ἰωσία βασιλέως Ἰούδα, ἕως τῆς αἰχμαλωσίας Ἱερουσαλὴμ ἐν τῷ πέμπτῳ μηνί.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 4] Καὶ ἐγένετο λόγος Κυρίου πρὸς αὐτόν·
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 5] Πρὸ τοῦ με πλάσαι σε ἐν κοιλίᾳ, ἐπίσταμαί σε, καὶ πρὸ τοῦ σε ἐξελθεῖν ἐκ μήτρας, ἡγίακά σε, προφήτην εἰς ἔθνη τέθεικά σε.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 6] Καὶ εἶπα, ὁ ὢν δέσποτα, Κύριε, ἰδοὺ οὐκ ἐπίσταμαι λαλεῖν, ὅτι νεώτερος ἐγώ εἰμι.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 7] Καὶ εἶπε Κύριος πρὸς μὲ, μὴ λέγε, ὅτι νεώτερος ἐγώ εἰμι, ὅτι πρὸς πάντας οὓς ἐὰν ἐξαποστείλω σε, πορεύσῃ, καὶ κατὰ πάντα ὅσα ἐὰν ἐντείλωμαί σοι, λαλήσεις.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 8] Μὴ φοβηθῇς ἀπὸ προσώπου αὐτῶν, ὅτι μετὰ σοῦ ἐγώ εἰμι τοῦ ἐξαιρεῖσθαί σε, λέγει Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 9] Καὶ ἐξέτεινε Κύριος τὴν χεῖρα αὐτοῦ πρὸς μὲ, καὶ ἥψατο τοῦ στόματός μου, καὶ εἶπε Κύριος πρὸς μὲ, ἰδοὺ δέδωκα τοὺς λόγους μου εἰς τὸ στόμα σου.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 10] Ἰδοὺ καθέστακά σε σήμερον ἐπὶ ἔθνη καὶ ἐπὶ βασιλείας, ἐκριζοῦν, καὶ κατασκάπτειν, καὶ ἀπολύειν, καὶ ἀνοικοδομεῖν, καὶ καταφυτεύειν.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 11] Καὶ ἐγένετο λόγος Κυρίου πρὸς μὲ, λέγων, τί σὺ ὁρᾷς; καὶ εἶπα, βακτηρίαν καρυΐνην.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 12] Καὶ εἶπε Κύριος πρὸς μὲ, καλῶς ἑώρακας, διότι ἐγρήγορα ἐγὼ ἐπὶ τοὺς λόγους μου τοῦ ποιῆσαι αὐτούς.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 13] Καὶ ἐγένετο λόγος Κυρίου ἐκ δευτέρου πρὸς μὲ, λέγων, τί σὺ ὁρᾷς; καὶ εἶπα, λέβητα ὑποκαιόμενον, καὶ τὸ πρόσωπον αὐτοῦ ἀπὸ προσώπου Βοῤῥᾶ.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 14] Καὶ εἶπε Κύριος πρὸς μὲ, ἀπὸ προσώπου Βοῤῥᾶ ἐκκαυθήσεται τὰ κακὰ ἐπὶ πάντας τοὺς κατοικοῦντας τὴν γῆν.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 15] Διότι ἰδοὺ ἐγὼ συγκαλῶ πάσας τὰς βασιλείας τῆς γῆς ἀπὸ Βοῤῥᾶ, λέγει Κύριος· καὶ ἥξουσι καὶ θήσουσιν ἕκαστος τὸν θρόνον αὐτοῦ ἐπὶ τὰ πρόθυρα τῶν πυλῶν Ἱερουσαλὴμ, καὶ ἐπὶ πάντα τὰ τείχη τὰ κύκλῳ αὐτῆς, καὶ ἐπὶ πάσας τὰς πόλεις Ἰούδα.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 16] Καὶ λαλήσω πρὸς αὐτοὺς μετὰ κρίσεως, περὶ πάσης τῆς κακίας αὐτῶν, ὡς ἐγκατέλιπόν με, καὶ ἔθυσαν θεοῖς ἀλλοτρίοις, καὶ προσεκύνησαν τοῖς ἔργοις τῶν χειρῶν αὐτῶν.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 17] Καὶ σὺ περίζωσαι τὴν ὀσφύν σου, καὶ ἀνάστηθι, καὶ εἰπὸ πάντα ὅσα ἄν ἐντείλωμαί σοι· μὴ φοβηθῇς ἀπὸ προσώπου αὐτῶν, μηδὲ πτοηθῇς ἐναντίον αὐτῶν, ὅτι μετὰ σοῦ εἰμι, τοῦ ἐξαιρεῖσθαί σε, λέγει Κύριος.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 18] Ἰδοὺ τέθεικά σε ἐν τῇ σήμερον ἡμέρᾳ ὡς πόλιν ὀχυρὰν καὶ ὡς τεῖχος χαλκοῦν, ὀχυρὸν πᾶσι τοῖς βασιλεύσιν Ἰούδα, καὶ τοῖς ἄρχουσιν αὐτοῦ, καὶ τῷ λαῷ τῆς γῆς.
[LXX | EL | OT | Jeremiah | Chapter 1 | Verse 19] Καὶ πολεμήσουσί σε, καὶ οὐ μὴ δύνωνται πρὸς σὲ διότι μετὰ σοῦ ἐγώ εἰμι, τοῦ ἐξαιρεῖσθαί σε, εἶπε Κύριος.
