[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 1] Καὶ οὗτοι οἱ λόγοι τῆς βίβλου οὓς ἀπέστειλεν Ἱερεμίας ἐξ Ἱερουσαλὴμ πρὸς τοὺς πρεσβυτέρους τῆς ἀποικίας, καὶ πρὸς τοὺς ἱερεῖς, καὶ πρὸς τοὺς ψευδοπροφήτας, ἐπιστολὴν εἰς Βαβυλῶνα τῇ ἀποικίᾳ, καὶ πρὸς ἅπαντα τὸν λαὸν,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 2] ὕστερον ἐξελθόντος Ἰεχονίου τοῦ βασιλέως, καὶ τῆς βασιλίσσης, καὶ τῶν εὐνούχων, καὶ παντὸς ἐλευθέρου, καὶ δεσμώτου, καὶ τεχνίτου ἐξ Ἱερουσαλὴμ,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 3] ἐν χειρὶ Ἐλεασὰν υἱοῦ Σαφὰν, καὶ Γαμαρίου υἱοῦ Χελκίου, ὃν ἀπέστειλε Σεδεκίας βασιλεὺς Ἰούδα, πρὸς βασιλέα Βαβυλῶνος εἰς Βαβυλῶνα, λέγων,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 4] Οὕτως εἶπε Κύριος ὁ Θεὸς Ἰσραὴλ ἐπὶ τὴν ἀποικίαν ἣν ἀπῴκισα ἀπὸ Ἱερουσαλὴμ,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 5] οἰκοδομήσατε οἴκους, καὶ κατοικήσατε, καὶ φυτεύσατε παραδείσους, καὶ φάγετε τοὺς καρποὺς αὐτῶν,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 6] καὶ λάβετε γυναῖκας, καὶ τεκνοποιήσατε υἱοὺς καὶ θυγατέρας, καὶ λάβετε τοῖς υἱοῖς ὑμῶν γυναῖκας, καὶ τὰς θυγατέρας ὑμῶν δότε ἀνδράσι, καὶ πληθύνεσθε, καὶ μὴ σμικρυνθῆτε·
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 7] Καὶ ζητήσατε εἰς εἰρήνην τῆς γῆς, εἰς ἣν ἀπῴκισα ὑμᾶς ἐκεῖ· καὶ προσεύξεσθε περὶ αὐτῶν πρὸς Κύριον, ὅτι ἐν εἰρήνῃ αὐτῆς εἰρήνη ὑμῖν.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 8] Ὅτι οὕτως εἶπε Κύριος, μὴ ἀναπειθέτωσαν ὑμᾶς οἱ ψευδοπροφῆται οἱ ἐν ὑμῖν, καὶ μὴ ἀναπειθέτωσαν ὑμᾶς οἱ μάντεις ὑμῶν, καὶ μὴ ἀκούετε εἰς τὰ ἐνύπνια ὑμῶν, ἃ ὑμεῖς ἐνυπνιάζεσθε,
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 9] ὅτι ἄδικα αὐτοὶ προφητεύουσιν ὑμῖν ἐπὶ τῷ ὀνόματί μου, καὶ οὐκ ἀπέστειλα αὐτούς.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 10] Ὅτι οὕτως εἶπε Κύριος, ὅταν μέλλῃ πληροῦσθαι Βαβυλῶνι ἑβδομήκοντα ἔτη, ἐπισκέψομαι ὑμᾶς, καὶ ἐπιστήσω τοὺς λόγους μου ἐφʼ ὑμᾶς, τοῦ ἀποστρέψαι τὸν λαὸν ὑμῶν εἰς τὸν τόπον τοῦτον.
[LXX | EL | OT | Jeremiah | Chapter 36 | Verse 11] Καὶ λογιοῦμαι ἐφʼ ὑμᾶς λογισμὸν εἰρήνης, καὶ οὐ κακὰ, τοῦ δοῦναι ὑμῖν ταῦτα.
